fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,median_household_income,over_65_percent,uv_exposure,low_income_low_access_share,non_english_speaking,population_in_poverty_percent,population_over_25_no_high_school_diploma_percent,population_uninsured_percent,population_minority_percent,walkability_index,hospital_beds_per_100000,median_aqi
1001,490.1,163.48,129.9,21.59,49.5,15.19,13.7,6.326833251372544,67.8,48.43,15.0,4.9,133.2,18.07,58786.0,32.5,4563.0,13.021568232211248,1.3,22.66575603443628,7.679864843005806,7.80927047574543,26.02311328384766,5.483179347823405,192.3111486547206,
1003,452.4,165.47,128.1,22.2,40.4,13.93,14.0,5.69,70.0,47.25,17.0,4.24,88.4,17.98,55962.0,33.9,4492.0,7.937892628864565,1.8,16.681097077727234,6.79053914764372,9.391678004846788,17.10301481064094,6.812529932533961,197.90278025919767,43.0
1005,429.61700340098525,182.94,104.4287007373099,17.19989534255591,44.1,15.42,10.7,6.326833251372544,63.1,54.49,17.0,4.675681746533869,146.2,22.79,,,4642.0,10.430855519539644,2.8,35.82274434588029,17.96931191560777,9.438184288340128,54.71909214417007,5.156174850734466,295.6924798209862,
1007,467.3,187.6,140.7,22.05,47.0,14.3,10.239413048750952,6.326833251372544,78.3,54.26,16.3,4.675681746533869,112.7,16.01347697794261,,33.7,4499.0,0.4451232816932141,1.4,25.610083132207023,13.658711003843743,8.393671225529632,25.583266291230892,5.241295630350335,156.4315723607759,
1009,432.0,176.72,130.0,20.36,36.7,14.17,13.9,6.74,70.3,53.94,17.4,5.8,96.9,17.6,48695.0,33.9,4416.0,2.512124489724713,3.3,23.58929962773786,11.839667561250108,9.948922171240586,13.3148645138949,4.674447046558158,69.25807289412172,
1011,487.0,215.07,170.3,17.19989534255591,43.37105729200139,24.19,10.239413048750952,6.326833251372544,76.9,59.79,12.697543891610987,4.675681746533869,124.5,16.01347697794261,,33.9,4629.0,32.334616089426426,2.5,40.57800058979652,16.710901405681707,10.075690553425735,78.74766538877421,4.500982096949769,599.626462203873,
1013,429.61700340098525,168.18,141.6,28.25,46.9,16.02,15.8,6.326833251372544,54.84555590109751,39.12566086841053,12.697543891610987,4.675681746533869,116.3,16.01347697794261,,,4579.0,6.912684393946627,0.8,31.090945959647165,9.560985501368751,10.00202778059414,48.67180371083848,5.482813150125044,476.5284396228328,
1015,464.3,182.51,111.4,20.26,50.3,17.6,11.7,6.38,77.4,55.45,15.4,4.89,119.6,22.18,,32.7,4466.0,15.397395675201563,1.4,26.52373954725167,10.310171092683952,9.849200517826528,28.23116755886778,5.730536875768475,529.197718764214,
1017,521.1,193.01,129.4,22.87,55.1,17.64,16.1,6.326833251372544,72.3,49.31,20.6,4.675681746533869,138.9,21.67,,34.3,4584.0,8.101709776413854,1.3,27.75301403057409,12.385197594758727,9.109402578753702,44.91578663954288,5.250827765647667,344.03326652107575,
1019,429.61700340098525,186.84,104.4287007373099,18.18,39.8,11.68,10.5,6.326833251372544,71.2,54.24,17.9,4.675681746533869,99.54602668056066,16.01347697794261,,34.7,4419.0,5.005964061718419,1.6,25.588630689456497,12.629153063184177,9.44113693105435,8.665258306126368,4.323618148765598,230.45899750336085,
