fips,unhealthy_air_days,median_aqi
1003,6,43
1027,0,42
1033,1,47
1049,4,43
1051,5,43
1055,1,54
1069,4,48
1073,30,59
1079,0,34
1089,4,44
1097,8,40
1101,6,50
1103,3,50
1113,2,47
1117,7,46
1119,1,39
1121,0,48
1125,0,55
1127,0,45
2013,0,8
2020,2,32
2068,0,33
2090,35,36
2110,1,26
2122,0,5
2170,3,13
2290,0,5
4001,0,14
4003,4,45
4005,4,46
4007,3,44
4012,4,48
4013,29,61
4015,0,14
4017,2,44
4019,5,49
4021,41,69
4023,6,42
4025,1,42
4027,8,40
5001,0,48
5003,0,45
5019,4,35
5035,16,42
5045,0,45
5051,0,45
5067,0,44
5101,2,39
5107,0,46
5113,9,43
5115,0,44
5119,8,55
5131,0,46
5139,0,47
5141,0,31
5143,1,40
5145,0,48
6001,5,43
6005,11,35
6007,13,47
6009,13,41
6011,1,38
6013,9,39
6015,0,12
6017,25,42
6019,87,70
6021,0,42
6023,0,29
6025,51,53
6027,31,44
6029,125,79
6031,83,70
6033,0,35
6037,114,76
6039,28,46
6041,4,38
6043,26,49
6045,0,34
6047,39,55
6051,22,18
6053,0,36
6055,2,39
6057,22,44
6059,8,56
6061,30,50
6063,3,33
6065,146,87
6067,28,49
6069,7,40
6071,135,81
6073,25,61
6075,3,40
6077,13,45
6079,34,51
6081,2,35
6083,7,44
6085,12,42
6087,0,34
6089,15,43
6093,0,33
6095,4,39
6097,0,32
6099,38,53
6101,4,44
6103,18,50
6105,0,10
6107,112,69
6109,8,41
6111,18,47
6113,3,38
8001,0,43
8003,4,20
8005,7,47
8007,5,17
8013,12,45
8015,3,50
8019,23,74
8029,0,19
8031,3,49
8035,13,45
8041,4,45
8039,0,17
8043,0,14
8045,10,51
8051,2,42
8057,0,7
8059,26,46
8067,10,48
8069,21,51
8077,6,47
8083,1,46
8093,5,51
8097,6,49
8099,0,24
8101,0,24
8103,2,45
8107,0,16
8111,0,8
8113,1,19
8117,0,12
8119,2,51
8123,7,46
9001,29,43
9003,6,35
9005,5,38
9007,9,44
9009,17,42
9011,8,37
9013,15,43
9015,5,36
10001,12,43
10003,33,50
10005,21,47
11001,35,51
12001,1,41
12003,0,36
12005,6,43
12009,0,43
12011,1,41
12017,0,32
12021,0,39
12023,1,44
12031,5,45
12033,8,46
12047,0,39
12055,0,36
12057,10,49
12059,0,44
12061,0,39
12069,1,41
12071,1,41
12073,1,47
12077,0,36
12081,3,37
12083,2,42
12085,0,38
12086,4,44
12091,3,37
12095,5,44
12097,2,36
12099,2,42
12101,0,39
12103,0,45
12105,2,44
12107,0,15
12113,6,45
12115,5,49
12117,3,38
12111,0,39
12127,1,41
12129,2,36
13021,4,53
13049,0,30
13051,0,43
13055,0,41
13059,5,46
13063,0,53
13067,17,50
13069,0,36
13073,1,44
13077,0,45
13085,8,43
13089,11,55
13095,3,48
13097,9,45
13115,2,56
13121,17,54
13127,0,41
13135,5,47
13139,0,55
13151,5,46
13153,0,52
13185,6,53
13213,9,44
13215,3,47
13223,7,45
13231,5,41
13245,5,48
13247,10,36
13261,2,42
13295,0,52
13303,0,40
13319,1,51
15001,15,65
15003,1,38
15009,0,18
16001,4,49
16005,0,20
16009,2,32
16017,1,9
16023,0,43
16027,1,25
16031,0,45
16037,0,8
16041,3,53
16049,0,10
16055,0,37
16057,0,10
16059,14,33
16069,0,17
16077,0,20
16079,23,44
16083,1,24
17001,1,37
17019,0,34
17023,0,40
17031,24,58
17043,3,46
17049,6,44
17065,11,46
17077,0,20
17083,4,38
17085,2,37
17089,3,36
17099,0,35
17097,11,37
17115,0,46
17117,4,37
17119,26,60
17111,1,41
17113,2,40
17143,3,51
17157,0,36
17161,0,32
17163,7,44
17167,1,37
17197,2,38
17201,2,36
18003,8,56
18011,7,45
18015,4,45
18019,16,58
18035,2,45
18037,0,53
18039,2,44
18043,11,51
18051,0,49
18055,6,47
18057,8,44
18059,4,45
18063,0,41
18065,1,46
18067,1,43
18069,0,41
18071,2,45
18081,2,44
18083,4,42
18091,3,44
18089,17,63
18095,0,47
18097,13,60
18105,0,49
18109,0,40
18123,6,48
18127,5,52
18129,3,43
18145,0,44
18147,0,52
18141,10,52
18157,2,52
18163,8,56
18167,2,52
18169,2,38
18173,6,48
18175,0,43
18183,1,38
19013,7,41
19017,1,38
19033,0,18
19045,10,53
19055,0,15
19085,2,40
19103,4,51
19111,2,43
19113,6,47
19137,2,43
19139,16,52
19147,2,42
19153,3,41
19155,1,29
19163,6,56
19169,0,36
19171,0,31
19177,2,41
