fips,total_beds,hospital_beds_per_100000
1001,107,192.3111486547206
1003,432,197.90278025919767
1005,74,295.6924798209862
1007,35,156.4315723607759
1009,40,69.25807289412172
1011,61,599.626462203873
1013,94,476.5284396228328
1015,605,529.197718764214
1017,115,344.03326652107575
1019,60,230.45899750336085
1021,30,67.95478741477338
1023,25,196.0015680125441
1025,114,477.6669739378195
1027,53,398.9461799021453
1031,131,250.7752976760213
1033,383,696.9084920938188
1035,58,474.6705949750389
1039,210,566.0987707569549
1041,93,672.645739910314
1043,190,227.96808446817445
1045,89,180.55301969853733
1047,175,458.307144353656
1049,134,187.5962480750385
1051,138,169.27115276108236
1053,142,386.1318830727396
1055,743,723.3185035192415
1057,61,371.81518956479334
1059,125,395.73242156583404
1061,83,314.59652048667704
1063,20,243.27940639824837
1065,39,264.33509556730377
1069,790,750.1020708514133
1071,170,328.4072249589491
1073,4755,721.969587695391
1077,263,283.1915580919565
1079,98,297.2489308137948
1081,314,192.09475042976612
1083,102,105.2403503884607
1087,143,775.6142539458697
1089,1241,337.5162502787705
1091,99,517.2954331696102
1093,98,328.6605406130525
1095,240,249.6437375828245
1097,1942,469.10818716981856
1099,94,447.4911929924784
1101,1126,497.2378130368159
1103,531,444.9024733561231
1107,56,279.3156765923487
1109,97,291.51890364849436
1111,15,65.9862748548302
1113,128,220.92581725292553
1115,40,44.97970290906228
1117,331,152.9928356829212
1119,33,262.0087336244541
1121,290,361.3977369024475
1123,127,313.96786155747833
1125,1029,492.68867246976356
1127,267,418.48217924203
1129,25,153.0362389813908
1131,30,284.30629264594387
1133,49,206.6464237516869
2016,4,70.0770847932726
2020,1100,376.5962545790681
2050,37,202.5954114877074
2063,34,523.4795996920709
2066,4,138.217000691085
2070,30,608.0259424402108
2090,175,177.74617845716315
2110,73,227.42141499735195
2122,77,130.93234028805114
2130,25,180.72724643967322
2150,25,186.8041545243966
2170,125,116.43070044709388
2180,54,539.514437006694
2185,10,106.66666666666667
2188,17,220.5214684135426
2195,12,366.07687614399026
2220,52,606.8386042712102
2275,8,318.7250996015936
4001,71,99.0043785035
4003,160,126.54023188497492
4005,349,245.33580778044907
4007,50,92.85740816402331
4009,25,65.26733500417711
4012,25,118.8495364868077
4013,12574,284.9451558756965
4015,676,320.38218371738117
4017,182,165.04792737891194
4019,3932,378.63176423913507
4021,425,94.95954723287879
4023,25,53.65497703566982
4025,400,172.12000206544002
4027,456,215.16436953536763
5001,74,416.6432070266314
5003,33,165.0
5005,268,643.1022484582344
5007,537,196.33651420423385
5009,174,463.69087275149906
5011,33,305.4141601110597
5015,40,142.54151521630675
5017,35,335.47397680437075
5019,25,111.90188442773376
5021,50,339.9048266485384
5023,25,99.74863344372181
5027,49,207.45131244707875
5029,25,119.64584828906438
5031,859,787.4881968445467
5033,103,163.18641275072088
5035,266,549.8026084619995
5037,25,150.82046332046332
5039,25,351.41973573235873
5041,50,433.3506673600277
5043,49,268.30203142966656
5045,367,294.0705128205128
5047,25,140.5678942929435
5049,25,203.23550930818632
5051,605,610.8457942509818
5055,129,285.41717370621944
5057,48,221.24913574556348
5059,100,297.0267621112662
5061,20,150.74998115625235
5063,224,595.9824398031129
5065,25,183.87761106207708
5067,133,786.6098888100307
5069,327,480.01409215683395
5071,90,339.94334277620396
5075,25,151.41420870934527
5081,25,202.5111381125962
5083,66,305.28701605069614
5085,4,5.467244372155324
5091,62,142.47960473399976
5093,124,299.5458498405643
5103,98,415.3070305547315
5107,155,853.9474409123465
5109,32,298.67463132350196
5113,65,325.01625081254065
5115,170,265.9324844351281
5119,4333,1102.3257470527478
5121,50,278.8000446080071
5123,118,463.1628527691644
5125,257,212.41424911149682
5127,24,233.71311714869995
5131,1155,904.6761181170205
5133,35,206.52622883106153
5137,25,198.69655062788112
5139,166,424.67190258128886
5141,25,150.8022680661117
5143,1132,479.2589268325727
5145,658,835.820895522388
5149,77,359.39323220536755
6001,3834,230.74367591406755
6005,52,133.254747200369
6007,601,269.0916254746042
6009,25,54.551802391551014
6011,42,195.43064538644086
6013,1799,156.73626140018888
6015,49,176.9464105156724
6017,190,99.81875016417557
6019,1988,200.76671069799758
6021,47,167.49821810406272
6023,291,213.81180152974628
6025,268,148.4106767083841
6027,29,161.74010039040715
6029,1749,195.97560893621883
6031,205,135.6807201006023
6033,62,96.45902047420499
6035,25,81.69934640522877
6037,28570,284.5424245086141
6039,464,297.5789642456309
6041,550,211.99424917418605
6043,18,103.93209769617182
6045,118,135.460911491218
6047,240,87.699745305323
6049,12,135.54727211114877
6051,17,118.09656130600904
6053,746,172.2955260903004
6055,502,362.2665473544439
6057,137,137.80339378577105
6059,8331,262.7789720046241
6061,814,207.75959101478054
6063,35,185.73551263001485
6065,4198,172.19992583671606
6067,3397,220.87872931984697
6069,25,40.619364063236226
6071,4898,226.4937582426526
6073,8318,250.24293239710346
6075,3974,454.2835717159893
6077,1189,158.19269173712607
6079,776,274.67373644771817
6081,1895,247.51085064058944
6083,994,223.4235044223918
6085,4812,250.0546929684849
6087,429,157.04506351356298
6089,599,334.1384638555897
6091,39,1345.7556935817806
6093,61,140.1783252137145
6095,779,175.23811237734458
6097,1952,392.91386289480096
6099,1576,288.5205085723178
6101,92,95.51990863313088
6103,92,143.35577162802295
6105,25,199.34614464556256
6107,800,172.43051589054974
6109,84,155.1332483794116
6111,1521,179.87249275365747
6113,153,69.93518425407042
6115,221,285.0730096486249
8001,2279,446.99947434901657
8003,49,303.3492230545409
8005,1316,202.46776823902275
8007,11,80.95378274948484
8009,23,644.2577030812324
8013,1040,320.31341435620084
8014,40,57.600368642359314
8015,25,125.14391550282825
8017,25,1250.625312656328
8021,17,209.10209102091022
8029,49,159.30814747382794
8031,2960,413.4782742310841
8035,875,254.15359591030557
8037,56,101.89228529839885
8041,1723,242.50561929010456
8043,25,52.38344683080147
8045,152,255.01216340910997
8049,25,160.91658084449023
8051,24,140.1951048542555
8055,20,295.4646181119811
8059,667,115.23941982912775
8061,25,1708.8174982911823
8063,19,262.2136351090257
8065,25,318.674314850223
8067,94,167.44451173892907
8069,843,240.49777047440537
8071,25,174.544439014173
8073,15,267.4750356633381
8075,25,112.19818687730007
8077,495,323.6097854369059
8081,25,190.11406844106463
8083,25,95.18008071270845
8085,75,177.38883632923367
8087,75,262.08197924310724
8089,25,136.7315685845548
8095,40,921.0223347916186
8097,25,139.04338153503895
8099,25,207.72746157041962
8101,1274,760.9968222110721
8103,41,643.743130789763
8105,17,150.44247787610618
8107,39,154.04668799620808
8115,15,650.477016478751
8117,35,113.8766878151944
8119,15,60.04563468235859
8123,431,136.6566367248065
8125,28,279.63647258563867
9001,2436,257.96722672523526
9003,4005,448.9140315618509
9005,272,150.1576102857963
9007,526,323.2109719679001
9009,3644,425.83375889442146
9011,493,184.73552467886745
9013,223,147.73397285139816
9015,364,312.0258535707244
10001,531,296.44268774703556
10003,2479,444.0217371835517
10005,591,256.678639212331
11001,4351,619.8235262274671
12001,1988,741.5005315081778
12003,1163,4055.232051326755
12005,812,450.92072236166956
12007,5,18.035566136421025
12009,1905,320.7065307970862
12011,7128,366.992693612072
12013,25,174.53225356045797
12015,767,412.5297161236191
12017,332,224.41833741161838
12019,572,265.683205291369
12021,1059,279.1654035244962
12023,562,792.6880871110609
12027,49,131.11771159455193
12031,4280,451.16697289097885
12033,1897,599.0066026505332
12035,99,87.72396193311712
12037,25,209.8371663589055
12039,953,2081.3768100115753
12045,19,126.05320772241757
12049,50,185.00018500018498
12051,25,60.28163580246914
12053,740,388.0440482433141
12055,330,315.56601067186875
12057,4936,340.0952762860714
12059,20,102.40655401945725
12061,603,384.1645218011774
12063,187,394.4398742854732
12069,866,243.17987167066818
12071,2127,281.13723779689917
12073,1208,413.8928195763081
12075,40,97.61097147319359
12079,50,269.4401034649997
12081,895,227.24560552701936
12083,1083,300.65794952944117
12085,584,364.04438349333
12086,10180,376.2666658781576
12087,200,266.1804437227997
12089,62,72.2930901797999
12091,580,279.61239936364075
12093,100,240.32106894811469
12095,5401,393.14768551679157
12097,1107,304.40019138440215
12099,4721,318.54375371527544
12101,1493,276.5403743389796
12103,4125,424.8263361431948
12105,1806,255.90341983889138
12107,99,134.175430987748
12109,335,131.1616616420657
12111,1031,321.26987292545664
12113,285,158.6974558292081
12115,1704,398.3486298583805
12117,954,204.4161604474014
12119,347,267.0504394403485
12121,2,4.515692029803567
12123,158,727.8087429176838
12125,160,1046.983379138856
12127,1642,300.6736775027604
12131,136,191.4171909527228
12133,59,235.1159639754523
13001,49,265.8997178207076
13005,25,224.4165170556553
13009,365,809.8154064607738
13013,56,68.8857726277462
13015,119,111.7832719621252
13017,75,444.0760258156196
13019,63,328.0224929709466
13021,1354,884.8169592095461
13023,25,194.25019425019423
13027,25,160.79238487265243
13031,195,250.90389737387252
13033,40,177.24996676563123
13035,25,102.19515186199567
13037,25,396.7624186637042
13039,40,74.12898443291327
13043,25,230.755030459664
13045,326,274.6604657432683
13047,179,266.44438159598695
13051,1602,553.0832145113568
13053,57,544.4126074498568
13057,211,83.14287965954765
13059,597,470.2564748881467
13063,578,201.00153011545416
13065,25,376.05294825511436
13067,1534,202.73493926542284
13069,88,204.31855119572788
13071,178,391.1228301472204
13075,120,696.9855375500958
13077,264,181.02153744883054
13081,73,324.3147185570216
13083,13,80.33121176543285
13087,80,300.8084226358338
13089,3310,438.24400525892804
13091,94,453.5585042219542
13095,939,1058.6723189320826
13097,198,136.49242053452636
13099,25,244.66627520062633
13103,25,40.16644976783792
13105,25,130.45293258192444
13107,72,319.64483906770255
13109,49,459.1884546902821
13111,50,193.8209869364655
13113,282,248.36186852673853
13115,514,525.5355043198201
13117,370,156.37877475116755
13119,200,868.9984792526614
13121,5252,499.453188150825
13123,50,161.36319628219195
13127,401,471.7203086768304
13129,69,119.46810720964056
13131,60,242.9838415745353
13133,25,140.3863432165319
13135,1015,109.56224754807246
13137,53,117.2462613927971
13139,691,343.04040032963655
13143,25,84.43663874628479
13147,82,315.61525730341407
13151,315,136.96009461116378
13153,276,177.7010887410908
13155,34,362.5119948821836
13157,90,127.71935799736046
13159,17,120.79010942162853
13161,35,232.35743211843592
13163,37,238.87920459681064
13165,25,284.51120974166383
13173,25,237.32675147142587
13175,368,776.3057969791579
13179,64,103.16091490836409
13185,488,419.11436325535055
13187,52,157.53279408646128
13189,25,116.80059801906185
13193,49,373.84603646906237
13199,109,517.0777988614801
13201,25,436.68122270742356
13205,23,104.20442189198985
13207,25,91.05809506465124
13211,50,265.50552251486835
13213,42,105.55681218427203
13215,1338,684.6861599238555
13217,101,91.95611599217008
13223,112,68.1099489175383
13225,25,90.90247981964949
13227,52,162.48984438472593
13233,25,59.17019715509692
13235,49,438.0867232901207
13237,25,114.12398429653976
13241,50,296.57749569962635
13243,25,362.9500580720093
13245,2687,1329.0268970906823
13247,138,153.06971327158783
13251,25,178.86527867210415
13253,65,790.9467023606717
13255,160,242.26640219251095
13257,96,370.17043263669314
13259,25,387.83741855414206
13261,76,255.7716901124049
13267,25,98.45620667926907
13275,664,1490.6274553821977
13277,241,593.7423010593742
13279,57,211.52632946153562
13281,25,211.59542953872196
13285,276,393.75133747057566
13291,45,187.5078128255344
13293,115,436.7807360704926
13297,165,176.87920758115004
13299,231,646.2442299622325
13303,56,275.6448119708604
13305,88,293.73477085349975
13309,25,316.5759149043941
13313,255,244.905015270548
13317,25,255.18015719097681
13321,25,122.87427504177725
15001,333,165.3836602930221
15003,3115,317.96031773575504
15007,111,154.27594546136848
15009,460,276.01600892851786
16001,1515,322.7022640279633
16005,205,236.3330335938761
16007,21,346.8780971258672
16009,19,205.8281876286426
16011,163,352.46291571162914
16013,25,109.99164063531173
16017,25,55.94343000358038
16019,423,361.6311874839703
16021,20,164.52780519907864
16023,14,537.8409527468306
16027,362,161.6865424985484
16029,25,355.7199772339215
16031,25,104.83498972617102
16035,83,950.2003434459073
16039,25,92.44536478940945
16041,20,145.602795573675
16045,16,90.0343255866299
16047,18,117.80104712041886
16049,41,248.31930228332627
16053,25,103.84647337376423
16055,724,447.809198644202
16057,25,62.41885548786578
16059,18,227.01475595913735
16065,69,173.6941472624292
16067,25,120.09415381659221
16069,290,716.6155975091431
16071,11,248.3630616391962
16077,10,130.97576948264572
16079,25,196.8503937007874
16081,13,110.39402173913044
16083,224,259.866818255644
16085,25,225.52999548940008
16087,25,246.84044233807268
17001,347,528.3995736257043
17005,28,169.4915254237288
17007,373,699.9043026288631
17011,69,209.8667802177748
17019,740,352.37088464139117
17021,47,143.70891301024307
17025,20,151.32026935007943
17027,52,138.48571200298278
17029,145,283.95182610398507
17031,20391,394.4469086763812
17033,63,334.51919503000056
17037,192,183.57746586606495
17039,23,145.90205531590968
17043,1950,210.58201629580836
17045,25,144.74293654469662
17049,133,389.4468683201078
17051,110,513.5867027733682
17053,41,311.66856708475865
17055,16,41.35649296939619
17057,87,251.05326946384255
17061,25,192.4853711117955
17063,89,175.20374817906216
17065,25,306.7108330266225
17067,18,101.01010101010101
17069,25,642.6735218508998
17073,86,175.39565997715778
17075,25,91.11783358238874
17077,187,325.12126849453205
17081,181,479.165563615185
17083,43,197.46509919177075
17085,25,116.66433337999906
17089,1100,206.8617937550305
17091,482,438.48477129653213
17095,216,431.55118676576365
17097,1247,178.22382167899133
17099,269,246.79351914714033
17101,25,157.92798483891346
17103,80,233.8907730090048
17105,42,117.4595184159745
17107,25,86.75133597057395
17109,48,159.43136147739727
17111,400,130.16977392764514
17113,370,214.91136358355985
17115,544,519.6393091853889
17117,50,110.51433370908207
17119,681,257.5613741145146
17121,150,399.74416373520944
17125,25,185.3774284443126
17127,25,178.04999643900007
17131,22,141.90801780300586
17135,50,174.8374012168683
17137,121,355.75679172056925
17141,16,31.50040359892111
17143,1229,678.5893733677137
17145,42,199.127631329414
17147,16,97.48964172556667
17149,35,224.77682872005653
17157,272,850.7177931379601
17159,104,663.3922306563757
17161,451,315.82411887871933
17163,597,228.57274126484575
17165,102,429.74510216979144
17167,1060,540.9184386848538
17169,22,318.97926634768737
17173,30,138.74115525135272
17177,100,223.79876015486875
17179,120,90.54963629229422
17181,47,279.2798146057401
17183,419,546.255736337088
17185,25,219.49078138718173
17187,23,135.44549790942818
17189,50,357.9866828953963
17191,55,337.2371083450855
17195,123,221.29068240289294
17197,1094,158.6187697910988
17199,445,664.8836827085419
17201,964,339.87342887866447
17203,25,64.93000545412046
18001,35,98.46950258834121
18003,2439,649.4993608862378
18005,198,237.7521613832853
18009,15,125.77561630051987
18011,60,89.71962616822431
18017,268,710.3665809632358
18019,484,412.2306447491696
18021,25,95.30707940985857
18023,25,77.6735226495992
18027,160,480.81257324879044
