fips,total_hospitals,hospitals_per_100000
1001,1,1.7973004547170148
1003,4,1.8324331505481266
1005,1,3.995844321905219
1007,1,4.469473496022169
1009,1,1.731451822353043
1011,1,9.82994200334218
1013,2,10.13890297069857
1015,4,3.49882789265596
1017,1,2.991593621922398
1019,1,3.8409832917226807
1021,1,2.265159580492446
1023,1,7.840062720501765
1025,3,12.570183524679459
1027,1,7.527286413248024
1031,1,1.914315249435277
1033,2,3.639208835999054
1035,1,8.183975775431705
1039,3,8.087125296527928
1041,2,14.465499783017504
1043,2,2.3996640470334154
1045,1,2.028685614590307
1047,1,2.618897967735177
1049,1,1.3999720005599887
1051,2,2.4532051124794543
1053,2,5.438477226376614
1055,4,3.8940430875867644
1057,1,6.095330976472022
1059,2,6.331718745053345
1061,1,3.790319523935868
1063,1,12.16397031991242
1065,1,6.7778229632641995
1069,5,4.747481461084894
1071,1,1.9318072056408768
1073,13,1.9738390410178936
1077,1,1.0767739851405191
1079,1,3.033152355242804
1081,1,0.6117667211139048
1083,2,2.0635362821266803
1087,1,5.423875901719368
1089,7,1.903798349678802
1091,1,5.225206395652628
1093,2,6.707357971694949
1095,2,2.080364479856871
1097,7,1.6909151957717456
1099,1,4.760544606302961
1101,9,3.974369731200127
1103,4,3.351431061063074
1107,1,4.9877799391490845
1109,1,3.005349522149426
1111,1,4.399084990322013
1113,2,3.4519658945769613
1115,1,1.1244925727265571
1117,3,1.386642015253062
1119,1,7.939658594680428
1121,2,2.4923981855341206
1123,2,4.944375772558714
1125,7,3.3516236222432894
1127,1,1.567348985925206
1129,1,6.121449559255631
1131,1,9.476876421531463
1133,1,4.2172739541160595
2016,2,35.0385423966363
2020,9,3.081242082919648
2050,1,5.47555166182993
2063,2,30.792917628945347
2066,1,34.55425017277125
2070,2,40.53506282934738
2090,3,3.04707734497994
2110,1,3.1153618492787936
2122,3,5.101260011222772
2130,1,7.22908985758693
2150,1,7.472166180975865
2170,2,1.862891207153502
2180,3,29.973024278149666
2185,1,10.666666666666666
2188,1,12.971851083149565
2195,1,30.506406345332522
2220,2,23.339946318123467
2240,1,14.46968600781363
2275,1,39.8406374501992
4001,7,9.760995063725353
4003,7,5.536135144967653
4005,6,4.217807583618035
4007,3,5.571444489841399
4009,2,5.221386800334169
4012,2,9.507962918944616
4013,86,1.9488852716168203
4015,7,3.317566991156314
4017,8,7.254853950721404
4019,27,2.599963793096807
4021,7,1.5640396014827094
4023,1,2.146199081426793
4025,8,3.4424000413088005
4027,2,0.9437033751551213
5001,2,11.260627216935983
5003,1,5.0
5005,1,2.399635255441173
5007,5,1.8280867244342072
5009,1,2.6648900732844774
5011,1,9.254974548819991
5015,2,7.127075760815338
5017,2,19.169941531678326
5019,1,4.476075377109351
5021,2,13.596193065941536
5023,1,3.9899453377488725
5027,1,4.233700254022016
5029,1,4.785833931562575
5031,6,5.500499628716275
5033,1,1.584334104375931
5035,4,8.267708397924805
5037,1,6.032818532818533
5039,1,14.05678942929435
5041,2,17.33402669440111
5043,1,5.47555166182993
5045,4,3.2051282051282053
5047,1,5.62271577171774
5049,1,8.129420372327454
5051,6,6.0579748190180025
5055,1,2.212536230280771
5057,1,4.609356994699239
5059,2,5.940535242225324
5061,1,7.537499057812617
5063,1,2.6606358919781825
5065,1,7.355104442483084
5067,1,5.914360066240833
5069,2,2.935866007075437
5071,1,3.7771482530689333
5075,1,6.056568348373811
5081,1,8.100445524503847
5083,3,13.876682547758916
5085,1,1.366811093038831
5091,1,2.298058140870964
5093,2,4.831384674847811
5103,1,4.2378268423952195
5107,1,5.509338328466751
5109,1,9.333582228859436
5113,1,5.000250012500625
5115,1,1.5643087319713418
5119,21,5.342451116572284
5121,1,5.576000892160143
5123,1,3.9251089217725794
5125,2,1.6530291759649558
5127,1,9.7380465478625
5131,8,6.266154930680662
5133,1,5.900749395173187
5137,1,7.947862025115245
5139,1,2.558264473381258
5141,1,6.032090722644468
5143,10,4.233736102761243
5145,4,5.080978088281994
5149,2,9.334889148191365
6001,28,1.6851389998940771
6005,1,2.5625912923147887
6007,8,3.581918475535497
6009,1,2.1820720956620407
6011,1,4.6531106044390675
6013,11,0.9583651336309492
6015,1,3.6111512350137223
6017,3,1.5760855289080353
6019,16,1.6158286575291556
6021,1,3.563791874554526
6023,6,4.408490753190645
6025,2,1.1075423634954036
6027,2,11.154489682097045
6029,19,2.1289517265798503
6031,2,1.3237143424449005
6033,2,3.111581305619516
6035,1,3.2679738562091503
6037,158,1.5735982874470082
6039,2,1.282667949334616
6041,5,1.927220447038055
6043,1,5.774005427565101
6045,3,3.4439214785902883
6047,3,1.0962468163165375
6049,2,22.591212018524793
6051,1,6.946856547412296
6053,7,1.6167140517856606
6055,3,2.164939526022573
6057,2,2.011728376434614
6059,51,1.6086577328334928
6061,4,1.0209316511782827
6063,3,15.920186796858417
6065,27,1.1075269170060347
6067,18,1.170390676407785
6069,1,1.6247745625294492
6071,35,1.6184731601659537
6073,46,1.3838873395367588
6075,26,2.972162270914877
6077,10,1.3304683913971915
6079,6,2.1237660034617387
6081,12,1.5673510330802498
6083,11,2.472493509704537
6085,23,1.1951907602400567
6087,5,1.8303620456126222
6089,7,3.904790061751466
6091,1,34.50655624568668
6093,2,4.596010662744738
6095,8,1.7996211797416644
6097,11,2.2141662355752105
6099,11,2.0137852755682077
6101,4,4.153039505788299
6103,2,3.1164298180004986
6105,1,7.973845785822503
6107,5,1.077690724315936
6109,2,3.6936487709383714
6111,13,1.5373717329372434
6113,3,1.3712781226288318
6115,2,2.5798462411640264
8001,10,1.9613842665599672
8003,1,6.190800470500836
8005,11,1.6923597649158437
8007,1,7.359434795407712
8009,1,28.011204481792713
8011,1,17.61493746697199
8013,7,2.1559556735513516
8014,1,1.4400092160589828
8015,1,5.00575662011313
8017,1,50.02501250625313
8021,1,12.300123001230013
