fips,non_english_speaking
1001,1.3
1003,1.8
1005,2.8
1007,1.4
1009,3.3
1011,2.5
1013,0.8
1015,1.4
1017,1.3
1019,1.6
1021,3.5
1023,0.3
1025,0.3
1027,0.1
1029,1.0
1031,2.6
1033,1.1
1035,0.0
1037,0.5
1039,0.3
1041,1.2
1043,1.4
1045,2.2
1047,0.3
1049,5.3
1051,1.6
1053,0.8
1055,1.9
1057,0.2
1059,9.4
1061,0.7
1063,0.6
1065,0.4
1067,0.8
1069,1.0
1071,0.9
1073,2.4
1075,0.1
1077,1.5
1079,1.1
1081,2.9
1083,2.1
1085,0.0
1087,0.1
1089,2.5
1091,0.5
1093,1.2
1095,7.2
1097,1.5
1099,0.2
1101,2.7
1103,3.6
1105,0.0
1107,3.0
1109,2.9
1111,0.8
1113,1.5
1115,1.0
1117,2.6
1119,2.6
1121,1.3
1123,1.0
1125,2.0
1127,1.1
1129,0.2
1131,0.8
1133,1.2
2013,21.3
2016,20.2
2020,5.7
2050,9.7
2060,2.3
2063,3.2
2066,0.3
2068,3.0
2070,5.7
2090,2.7
2100,0.9
2105,2.3
2110,4.7
2122,1.3
2130,4.4
2150,17.5
2158,2.7
2164,3.8
2170,1.8
2180,4.6
2185,6.8
2188,3.4
2195,10.3
2198,0.3
2220,3.1
2230,1.5
2240,5.0
2275,0.2
2282,7.9
2290,1.9
4001,15.2
4003,8.0
4005,5.1
4007,3.4
4009,4.9
4011,3.8
4012,7.4
4013,8.4
4015,3.3
4017,7.5
4019,7.9
4021,6.1
4023,31.6
4025,3.5
4027,19.8
5001,0.8
5003,1.9
5005,0.4
5007,6.3
5009,0.8
5011,3.8
5013,1.2
5015,7.3
5017,1.9
5019,1.9
5021,0.3
5023,0.2
5025,0.2
5027,1.4
5029,1.0
5031,2.4
5033,3.2
5035,1.2
5037,1.2
5039,0.2
5041,5.3
5043,0.3
5045,1.4
5047,0.1
5049,0.6
5051,2.9
5053,0.4
5055,0.6
5057,5.2
5059,1.4
5061,5.0
5063,2.2
5065,0.1
5067,0.2
5069,1.4
5071,5.8
5073,1.6
5075,0.2
5077,1.2
5079,2.1
5081,0.3
5083,1.2
5085,1.4
5087,1.3
5089,0.3
5091,0.7
5093,1.9
5095,0.9
5097,2.1
5099,0.0
5101,0.1
5103,0.1
5105,0.3
5107,0.0
5109,3.1
5111,0.9
5113,2.4
5115,4.0
5117,0.0
5119,3.2
5121,1.3
5123,2.9
5125,1.9
5127,2.8
5129,0.0
5131,6.9
5133,15.0
5135,0.3
5137,0.1
5139,1.6
5141,0.6
5143,8.2
5145,1.6
5147,0.0
5149,7.5
6001,16.6
6003,7.8
6005,3.2
6007,5.5
6009,1.7
6011,20.1
6013,12.9
6015,4.5
6017,3.5
6019,18.3
6021,14.8
6023,3.5
6025,33.2
6027,3.5
6029,18.2
6031,21.1
6033,5.8
6035,7.3
6037,23.2
6039,19.8
6041,8.1
6043,2.5
6045,8.4
6047,22.0
6049,5.7
6051,8.2
6053,26.0
6055,14.6
6057,2.3
6059,18.6
6061,4.4
6063,2.0
6065,15.0
6067,13.0
6069,16.6
6071,14.7
6073,13.3
6075,19.0
6077,16.4
6079,5.5
6081,16.8
6083,16.7
6085,20.1
6087,11.9
6089,2.5
6091,0.3
6093,3.3
6095,11.0
6097,10.9
6099,16.0
6101,16.2
6103,5.8
6105,1.3
6107,26.5
6109,2.0
6111,14.5
6113,12.6
6115,8.3
8001,10.9
8003,9.1
8005,8.7
8007,1.1
8009,2.7
8011,6.7
8013,4.2
8014,3.1
8015,2.2
8017,2.3
8019,1.7
8021,7.1
8023,11.8
8025,5.6
8027,1.4
8029,2.9
8031,8.9
8033,3.4
8035,2.1
8037,10.8
8039,0.9
8041,3.5
8043,4.0
8045,10.7
8047,2.0
8049,1.7
8051,1.2
8053,0.0
8055,1.4
8057,3.3
8059,2.9
8061,0.7
8063,7.3
8065,7.5
8067,1.2
8069,2.8
8071,3.0
8073,7.4
8075,3.1
8077,1.7
8079,0.5
8081,4.8
8083,2.2
8085,6.9
8087,10.8
8089,4.8
8091,0.6
8093,0.1
8095,13.1
8097,5.1
8099,8.4
8101,2.2
8103,1.6
8105,6.0
8107,1.9
8109,5.9
8111,7.0
8113,4.8
8115,3.2
8117,7.0
8119,0.4
8121,1.3
8123,6.8
8125,9.4
9001,11.7
9003,8.6
9005,2.8
9007,3.4
9009,8.0
9011,5.2
9013,2.8
9015,4.7
10001,4.4
10003,4.8
10005,4.7
11001,5.7
12001,3.9
12003,0.4
12005,2.9
12007,0.7
12009,3.3
12011,15.7
12013,2.5
12015,3.4
12017,1.8
12019,3.7
12021,14.2
12023,1.8
12027,13.5
12029,1.3
12031,5.8
12033,2.8
12035,6.8
12037,1.6
12039,4.2
12041,2.9
12043,12.1
12045,1.6
