fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,median_household_income,language_isolation_percent,over_65_percent,below_poverty_percent,uninsured_percent,uv_exposure,asian_pacific_islander_percent,black_percent,hispanic_percent,white_percent
1001,490.1,163.48,129.9,21.59,49.5,15.19,67.8,48.43,133.2,18.07,13.7,6.326833251372544,15.0,4.9,58786.0,0.7,32.5,12.0,20.0,4563.0,1.1,19.1,,
1003,452.4,165.47,128.1,22.2,40.4,13.93,70.0,47.25,88.4,17.98,14.0,5.69,17.0,4.24,55962.0,1.4,33.9,,25.7,4492.0,0.8,9.5,4.5,86.3
1005,429.61700340098525,182.94,104.4287007373099,17.19989534255591,44.1,15.42,63.1,54.49,146.2,22.79,10.7,6.326833251372544,17.0,4.675681746533869,,1.5,,21.5,18.5,4642.0,,47.6,4.3,
1007,467.3,187.6,140.7,22.05,47.0,14.3,78.3,54.26,112.7,16.01347697794261,10.239413048750952,6.326833251372544,16.3,4.675681746533869,,0.7,33.7,10.5,17.5,4499.0,,22.3,,
1009,432.0,176.72,130.0,20.36,36.7,14.17,70.3,53.94,96.9,17.6,13.9,6.74,17.4,5.8,48695.0,1.5,33.9,10.2,25.2,4416.0,,1.5,9.1,95.5
1011,487.0,215.07,170.3,17.19989534255591,43.37105729200139,24.19,76.9,59.79,124.5,16.01347697794261,10.239413048750952,6.326833251372544,12.697543891610987,4.675681746533869,,1.1,33.9,31.0,14.8,4629.0,,76.2,,
1013,429.61700340098525,168.18,141.6,28.25,46.9,16.02,54.84555590109751,39.125660868410534,116.3,16.01347697794261,15.8,6.326833251372544,12.697543891610987,4.675681746533869,,,,18.9,17.1,4579.0,1.2,45.2,,
1015,464.3,182.51,111.4,20.26,50.3,17.6,77.4,55.45,119.6,22.18,11.7,6.38,15.4,4.89,,1.0,32.7,14.6,17.5,4466.0,0.9,20.6,3.7,
1017,521.1,193.01,129.4,22.87,55.1,17.64,72.3,49.31,138.9,21.67,16.1,6.326833251372544,20.6,4.675681746533869,,0.6,34.3,11.3,16.9,4584.0,1.2,39.4,,
1019,429.61700340098525,186.84,104.4287007373099,18.18,39.8,11.68,71.2,54.24,99.54602668056066,16.01347697794261,10.5,6.326833251372544,17.9,4.675681746533869,,0.7,34.7,12.5,21.7,4419.0,,4.9,,92.8
1021,429.61700340098525,166.83,104.4287007373099,19.44,41.7,16.56,63.6,45.74,115.3,16.01347697794261,11.6,6.63,14.9,4.675681746533869,,1.9,32.6,15.3,27.3,4529.0,,9.4,7.8,
1023,443.2,150.84592748038258,125.8,17.19989534255591,55.6,17.54,54.84555590109751,39.125660868410534,154.5,16.01347697794261,10.239413048750952,6.326833251372544,12.697543891610987,4.675681746533869,,,35.3,17.8,22.4,4476.0,,42.8,,
1025,474.3,169.86,153.6,15.92,65.6,22.24,58.0,39.58,134.6,31.81,10.6,10.1,14.5,4.675681746533869,,,33.4,18.4,20.4,4488.0,0.5,45.8,,
1027,468.5,177.71,118.5,17.19989534255591,58.2,19.697729027545925,85.3,55.47,138.5,16.01347697794261,10.239413048750952,6.326833251372544,12.697543891610987,4.675681746533869,,0.5,34.8,14.8,25.6,4518.0,,14.8,3.1,
1029,457.4,150.84592748038258,104.4287007373099,17.19989534255591,59.0,22.63,75.7,50.11,101.2,16.01347697794261,19.5,6.326833251372544,18.0,4.675681746533869,,,34.2,12.0,22.4,4486.0,,2.6,,94.2
1031,429.61700340098525,170.98,120.9,20.91,43.37105729200139,11.31,65.7,54.42,125.0,19.15,11.7,6.27,17.5,5.69,53155.0,1.5,32.4,11.6,21.4,4628.0,1.3,17.2,6.9,
1033,437.8,179.11,110.9,24.51,49.3,18.66,67.9,53.92,89.7,13.27,11.1,8.42,12.697543891610987,4.675681746533869,47558.0,,34.6,12.6,20.1,4408.0,0.5,15.8,,
1035,457.5,181.98,145.3,17.19989534255591,42.1,19.697729027545925,77.9,52.18,99.54602668056066,16.01347697794261,10.239413048750952,6.326833251372544,12.697543891610987,4.675681746533869,,,33.7,17.4,17.0,4551.0,,47.7,,
1037,429.61700340098525,165.85,104.4287007373099,17.19989534255591,43.37105729200139,19.697729027545925,54.84555590109751,44.4,88.4,16.01347697794261,10.239413048750952,6.326833251372544,12.697543891610987,4.675681746533869,,,39.4,8.7,21.0,4545.0,,34.2,,
1039,482.2,190.96,131.7,18.34,52.6,18.78,79.2,62.72,92.1,17.75,15.1,6.86,15.5,4.675681746533869,,,33.5,13.8,19.1,4597.0,0.5,12.9,,84.7
1041,512.5,200.01,130.2,17.19989534255591,64.3,24.42,82.1,54.13,104.2,16.01347697794261,19.7,6.326833251372544,12.697543891610987,4.675681746533869,,1.2,33.3,10.3,19.6,4607.0,1.4,23.1,,
1043,433.3,172.02,112.4,16.81,39.9,15.05,69.7,53.58,99.54602668056066,16.68,14.3,5.75,16.9,4.87,,0.5,33.1,11.7,23.6,4402.0,,1.2,4.3,95.2
