fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,cervical_cancer_incidence_rate_per_100000,cervical_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,melanoma_cancer_incidence_rate_per_100000,melanoma_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,hodgkins_lymphoma_cancer_mortality_rate_per_100000,hodgkins_lymphoma_cancer_incidence_rate_per_100000,colorectal_screening_percent,smoking_percent,hpv_vaccine_percent
1,451.5,173.42,121.6,21.54,9.4,3.46,43.6,15.46,64.9,48.55,121.1,20.97,21.6,2.38,12.3,6.4,16.2,5.02,0.31,2.42,76.07,43.94,34.9
2,417.2,152.62,120.8,18.8,7.1,1.65,42.6,15.05,55.8,36.59,83.6,18.57,14.4,2.19,11.8,5.55,17.1,5.5,,2.13,68.36,43.22,32.3
4,386.7,137.88,114.4,18.47,6.5,2.1,32.6,12.62,46.8,31.32,79.2,17.32,24.5,2.48,11.0,5.85,15.5,4.67,0.28,2.0,75.32,40.35,39.9
5,472.8,177.63,118.2,20.33,9.5,3.43,44.1,15.59,77.2,52.8,112.4,18.42,21.7,2.12,14.5,6.79,18.2,5.3,0.30,2.62,73.39,47.06,26.8
6,404.6,140.3,121.5,19.35,7.2,2.24,35.1,12.5,41.5,28.08,93.0,19.86,22.9,2.06,12.5,5.86,18.4,5.17,0.31,2.18,75.6,33.45,38.8
8,399.1,133.89,127.6,18.9,6.2,1.53,33.2,11.78,41.4,26.48,92.6,21.36,22.3,2.64,13.3,5.75,17.2,4.59,0.27,2.43,76.11,40.43,40.0
9,470.6,141.16,140.5,17.43,6.1,1.35,35.3,10.69,59.6,33.15,111.3,17.79,20.4,2.07,14.5,5.95,21.1,5.19,0.25,3.25,80.21,39.47,31.8
10,488.2,164.83,134.7,21.44,7.8,2.53,37.9,13.27,66.9,43.18,124.5,17.16,29.5,2.78,12.8,6.75,20.2,5.65,0.28,2.79,79.32,42.27,39.3
11,429.1,160.41,139.4,26.2,8.8,2.7,38.4,15.15,46.6,30.4,127.4,28.25,10.2,1.03,8.4,4.78,15.3,4.48,,2.4,78.63,34.72,53.3
12,457.1,147.29,118.3,18.82,8.9,2.6,36.3,12.89,57.7,37.45,93.9,16.56,24.8,2.38,18.3,6.19,23.8,5.03,0.27,3.14,77.86,41.89,30.4
13,467.0,159.64,126.8,21.6,7.8,2.29,41.3,14.89,62.8,40.91,124.2,21.71,26.7,2.19,14.7,5.95,18.2,5.08,0.28,2.41,74.6,37.64,33.2
15,416.5,130.11,138.9,16.07,6.8,1.6,41.3,11.78,45.7,29.29,88.2,15.04,21.8,1.41,10.9,4.61,16.4,4.47,,1.73,79.4,39.4,44.4
16,442.2,153.26,126.7,21.54,6.5,1.78,35.3,13.01,49.5,32.38,105.3,23.08,28.1,2.9,16.5,6.72,19.4,6.09,0.24,2.31,74.48,38.19,27.3
17,465.5,161.67,133.1,21.03,7.7,2.3,42.5,14.71,63.7,41.12,109.1,19.98,20.4,2.07,13.4,6.35,19.5,5.41,0.28,2.81,72.62,38.29,37.0
18,459.3,172.86,122.9,20.76,8.2,2.53,42.6,15.08,72.2,48.75,94.2,19.55,21.7,2.5,13.7,6.9,18.6,6.09,0.28,2.57,74.48,45.03,36.0
19,479.0,160.73,128.9,18.57,7.5,1.9,43.7,14.39,63.3,41.32,107.7,20.01,27.3,2.61,16.6,6.64,21.1,6.03,0.24,2.76,77.13,41.03,37.5
20,452.4,160.77,126.0,19.81,7.6,2.36,39.1,14.65,56.2,41.64,108.3,18.72,26.6,2.66,15.1,7.19,19.5,5.64,0.27,2.46,74.71,41.85,28.1
21,519.6,191.19,126.7,20.95,9.6,2.64,48.3,16.55,91.0,60.39,104.1,19.26,27.3,2.88,16.1,7.04,20.1,6.09,0.34,2.64,75.28,50.4,30.4
22,481.0,176.07,125.9,22.82,9.1,3.06,45.1,16.37,66.2,47.54,131.2,20.5,17.6,1.7,14.2,6.43,19.2,5.75,0.36,2.8,75.32,43.17,35.2
23,474.3,169.2,127.4,17.97,5.9,1.57,36.7,12.88,72.1,46.67,88.1,19.23,26.2,2.56,14.7,6.22,20.6,5.9,0.30,2.8,81.43,49.73,33.7
24,453.8,155.08,132.9,21.73,6.6,1.93,36.4,13.7,56.4,37.22,124.7,20.02,24.0,1.87,12.8,6.03,18.0,5.17,0.24,2.66,78.9,36.02,42.2
25,452.7,149.85,137.9,17.29,5.2,1.08,35.2,11.59,61.2,37.11,102.4,18.34,22.2,2.32,11.9,5.87,18.0,5.28,0.22,2.86,80.93,38.5,45.4
26,448.8,165.89,122.6,20.83,6.7,1.97,37.5,13.71,63.3,44.12,106.4,18.68,20.1,2.2,13.9,6.74,19.7,6.1,0.29,2.49,80.22,45.38,39.0
27,467.4,149.12,132.5,17.68,5.5,1.29,38.0,12.21,56.1,35.18,108.9,19.88,31.7,2.17,16.6,6.83,21.3,5.78,0.30,2.93,79.34,41.05,39.4
28,470.6,186.51,118.0,23.17,9.4,3.27,47.9,18.01,74.9,52.77,128.1,24.43,17.8,2.19,12.2,6.68,16.8,5.01,0.29,2.42,69.66,42.85,19.1
29,454.9,169.8,130.5,20.93,8.0,2.4,40.5,14.48,72.0,48.67,91.4,17.64,19.5,2.58,13.9,6.89,18.8,5.45,0.30,2.61,75.46,44.08,26.1
30,459.7,151.13,128.5,18.92,6.8,1.56,38.3,13.14,53.7,35.93,118.4,22.29,27.5,2.65,15.1,5.84,18.8,5.44,0.28,2.54,72.01,44.48,31.9
31,461.9,154.93,127.4,19.57,7.8,2.22,42.7,14.73,57.2,37.88,116.9,18.09,26.4,2.51,14.3,6.98,20.5,5.47,0.29,2.82,74.88,39.73,44.9
32,397.2,157.15,113.5,21.6,9.0,2.59,36.0,15.86,53.3,39.29,85.5,19.04,16.9,2.57,12.7,6.05,15.3,4.93,0.25,,67.62,41.46,35.9
33,482.4,155.98,144.7,18.33,4.7,1.33,36.6,12.52,63.7,41.08,109.2,18.62,32.1,2.76,13.9,5.84,20.9,5.23,0.29,3.18,81.62,45.18,38.6
34,485.9,148.4,136.6,20.86,7.7,2.07,40.8,13.73,55.3,33.66,131.3,17.62,22.2,2.07,15.7,6.01,21.8,5.29,0.27,3.22,72.6,37.06,30.0
35,374.9,140.0,111.8,19.72,8.2,2.26,33.1,13.3,38.5,26.84,82.8,19.31,16.0,2.25,13.4,5.05,15.1,4.82,0.36,2.12,69.91,40.71,38.6
36,485.2,144.74,132.8,19.08,7.8,2.11,38.7,12.6,58.7,33.59,125.0,17.82,18.3,1.73,16.5,5.99,21.7,5.18,0.29,3.11,75.79,36.31,41.7
37,468.4,161.46,134.0,20.89,7.1,2.02,37.0,13.33,67.7,44.1,117.4,19.87,26.0,2.31,14.4,6.14,17.6,5.13,0.29,2.52,77.08,43.03,33.5
38,453.8,147.04,128.6,17.97,5.5,1.21,43.1,13.03,57.7,35.07,113.5,19.32,23.6,2.09,16.2,6.95,18.9,5.59,0.42,2.81,73.19,42.73,50.9
39,465.3,172.33,128.9,21.88,7.9,2.26,41.4,15.14,67.9,46.72,104.2,19.31,23.8,2.65,12.3,6.69,19.2,6.04,0.30,2.77,74.42,45.77,31.2
40,449.8,179.4,122.8,22.66,9.2,3.21,41.7,16.71,67.4,50.0,93.9,20.11,22.2,2.77,14.3,7.52,18.1,6.11,0.36,2.13,70.26,44.52,26.9
41,434.3,156.95,125.5,19.73,7.0,2.06,34.6,12.76,54.1,36.62,93.3,20.87,27.5,2.5,13.2,6.16,19.0,5.95,0.28,2.39,78.71,43.12,36.6
42,484.6,163.43,132.3,21.01,7.3,2.05,41.1,14.54,63.5,40.76,103.7,18.57,24.3,2.45,15.0,6.54,21.0,5.86,0.26,3.11,75.73,42.86,37.7
44,473.6,158.63,137.9,17.62,7.1,1.51,33.6,12.34,70.3,42.24,98.6,18.21,23.7,2.34,14.5,6.59,20.1,5.2,,3.0,80.64,42.16,52.9
45,454.1,165.14,129.9,21.63,7.9,2.49,37.8,13.96,64.4,42.72,114.5,21.49,23.6,2.17,13.2,6.41,16.8,5.11,0.28,2.3,77.34,43.59,28.0
46,459.1,156.86,128.3,18.95,7.3,1.69,41.8,15.69,59.0,39.29,114.8,19.16,25.4,2.7,16.2,6.29,19.2,5.36,,2.44,75.16,44.17,34.7
