latitude,longitude,oil_barrels_spilled,spill_count
18.44801,-66.07476,66.0,1
21.30438,-158.0937,14.0,1
21.31668,-158.09993,3.0,1
21.31774,-157.89055,1300.0,1
23.336784,-94.95822,1413.0,1
25.964238,-97.381096,1330.0,1
26.650465,-98.460842,25.0,1
27.5529182,-97.9228261,1.7,1
27.68402,-97.83324,1000.0,1
27.72222,-97.76397,1967.0,1
27.770422,-97.54975,6.5,1
27.783128,-97.825896,1.0,1
27.79952,-97.5645,181.0,1
27.80113016,-97.45456557,0.1,1
27.80859,-97.43599,0.36,1
27.8125,-97.5036,15.0,1
27.8144306,-97.5037194,0.71,1
27.815402,-97.403012,3.48,1
27.8189044,-97.5079139,0.4,1
27.8215,-97.395,1300.0,1
27.826919,-97.198572,24.2,1
27.829677,-97.197331,5.0,1
27.829994,-97.50026,5.0,1
27.831131,-97.518106,0.22,1
27.83125,-97.51745,0.38,1
27.83146,-97.51851,1.2,1
27.832444,-97.501889,0.5,1
27.83668,-97.52718,0.44,1
27.839803,-97.531604,0.18,1
27.86028,-82.59958,286.0,1
27.8608333,-82.1983333,7.1,1
27.87527711,-91.9863888,1.49,1
27.91036,-97.40839,15.0,1
27.943,-90.998,0.02,1
27.9469444,-90.9969444,0.39,1
27.959521,-97.360576,500.0,1
27.97348,-82.32001,803.0,1
28.00917,-97.572805,1.0,1
28.05529,-97.32797,3.0,1
28.059821,-97.687843,15.0,1
28.059862,-97.687872,150.0,1
28.0684416,-81.785888,0.96,1
28.10406,-90.79238,0.5,1
28.10406,-90.79237,1.4,1
28.16015,-97.25506,0.8,1
28.260372,-92.250136,0.1,1
28.279502,-97.29544,0.12,1
28.29088,-98.90041,5.6,1
28.33034,-99.70332,790.0,1
28.3445,-97.1422,1.0,1
28.3448,-98.1212,1.0,1
28.3563889,-99.571389,220.0,1
28.37,-99.641,1.0,1
28.40632,-98.13716,770.0,1
28.408293,-98.212383,3.0,1
28.41922,-97.9921,0.4,1
28.422635,-81.369965,0.23,1
28.422698,-81.370474,0.1,2
28.43916,-98.334664,1.7,1
28.4601,-98.44885,400.0,1
28.4622222,-98.2225,0.24,1
28.46343,-99.14065,4.4,1
28.480925,-96.37387,0.14,1
28.488488,-98.160559,2752.0,1
28.5088889,-99.2227778,0.48,1
28.510104,-99.223506,139.20000000000002,2
28.524255,-99.221245,15.0,1
28.525786,-99.222804,1.0,1
28.526987,-99.223782,1.0,1
28.54022,-99.18709,16.1,1
28.558649,-98.163536,1.98,1
28.560826,-95.191378,1.0,1
28.57446,-96.93008,8000.0,1
28.58189,-97.78703,0.21,1
28.605919,-97.800378,1.6,1
28.60758,-97.81663,100.0,1
28.61171,-97.09409,200.0,1
28.617778,-92.068889,0.0,1
28.618056,-92.069167,0.11,1
28.63112,-98.789953,1.0,1
28.68555,-91.04555,5.7,1
28.69666,-96.55023,167.93,1
28.711239,-89.437681,0.52,1
28.7692347,-96.5543421,0.38,1
28.804167,-96.793611,2.0,2
28.809202,-96.978674,0.48,1
28.8239,-97.9906,12.66,1
28.84642,-98.08712,50.0,1
28.84754,-98.08785,2.0,1
28.85030001,-97.00220001,2.0,1
28.8559,-94.8926,13.1,1
28.885881,-96.433027,28546.0,1
28.894955,-97.759029,1187.69,1
28.91382,-96.628799,4.5,1
28.920722,-98.141111,0.71,1
28.928655,-97.786325,0.95,1
28.9351,-95.3198,0.71,1
28.93564,-95.320507,1.0,1
28.948749,-95.432151,0.01,1
28.949113,-95.430507,300.0,1
28.94921,-95.429876,5.0,1
28.949425,-95.430279,0.2,1
28.949448,-95.430748,0.35,3
28.949612,-95.430288,0.1,1
28.949672,-95.431631,0.25,1
28.949889,-95.432381,100.0,1
28.950662,-95.431357,0.01,1
28.95081,-95.43176,3.0,1
28.950953,-95.432542,1.0,1
28.951037,-95.433298,1.0,1
28.951204,-95.433627,0.5,1
28.9598,-95.31151,132.0,1
29.013562,-96.257299,0.5,1
29.04464,-97.49499,12.5,1
29.04718,-95.35215,0.2,1
29.06023333,-95.35065556,3.0,1
