fips,mass
01001,42.9
01003,5361.85
01005,340.75
01007,0.8
01009,43.5
01011,20.8
01013,282.65
01015,1.2
01017,70.25
01019,27.1
01021,46.0
01023,1.1
01025,28.8
01027,0.1
01029,0.1
01031,945.3
01033,155.0
01035,128.1
01039,644.25
01041,50.900000000000006
01043,4.4
01045,1200.55
01047,252.8
01049,30.6
01051,23.5
01053,2208.45
01055,1.2
01057,450.7
01059,75.0
01061,1880.5
01063,1.1
01065,1.1
01067,1547.15
01069,2432.0
01071,13.5
01073,0.1
01075,0.7
01077,148.5
01079,541.1
01081,70.25
01083,336.4
01085,72.8
01087,71.6
01089,226.8
01091,26.8
01093,21.0
01095,2.8
01097,1092.5
01099,1245.2
01101,12.0
01103,23.95
01105,92.5
01107,70.85
01109,259.05
01111,0.1
01113,357.79999999999995
01115,0.0
01117,1.0
01119,29.3
01121,1.9
01123,70.25
01125,1.4
01127,0.5
01129,811.75
01131,13.95
01133,1.1
04001,28.5
04003,278.9
04005,18.4
04007,5.4
04009,39.1
04011,25.8
04012,1062.5
04013,1516.0
04015,82.2
04017,24.95
04019,57.5
04021,1177.1
04023,19.7
04025,9.299999999999999
04027,416.4
06005,21.2
06007,36.6
06011,270.1
06019,360.7
06021,61.0
06025,17344.7
06029,310.6
06031,128.7
06035,140.3
06037,49.8
06039,9.6
06047,1087.0
06049,1068.3
06065,1362.4
06067,66.3
06071,229.3
06077,809.8
06083,58.5
06089,86.9
06093,366.5
06095,331.1
06099,480.4
06101,584.5
06103,37.1
06107,114.7
06113,662.9
08001,0.3
08003,0.3
08007,0.4
08009,4.7
08011,16.3
08015,0.1
08017,0.1
08019,0.0
08021,0.3
08023,0.4
08025,2.9
08027,3.3
08029,0.3
08033,0.2
08037,0.3
08043,3.4
08045,0.9
08047,0.0
08049,0.5
08051,0.5
08053,0.0
08055,5.4
08057,0.5
08061,0.1
08063,1.3
08065,0.0
08067,0.9
08071,9.4
08073,0.1
08077,0.6
08079,0.0
08081,2.2
08083,1.5
08085,0.6
08089,25.0
08091,0.2
08093,0.5
08095,0.1
08097,0.1
08099,47.9
08101,7.2
08103,0.9
08105,0.2
08107,0.8
08109,0.5
08113,0.3
08117,0.0
08119,0.1
08121,0.1
08125,1.3
09001,0.6
09003,6.0
09005,20.8
09007,0.9
09009,3.7
09011,7.7
09013,3.5
09015,5.5
10001,387.3
10003,64.0
10005,510.9
12001,48.9
12013,512.4
12023,384.8
12029,93.2
12031,34.7
12033,680.3
12035,70.1
12039,26.7
12041,697.3
12045,80.0
12047,727.0
12057,1.9
12059,443.3
12063,3144.6
12065,156.3
12067,918.7
12073,80.0
12075,1251.6
12079,698.8
12083,497.4
12091,160.5
12101,70.1
12103,4.2
12107,0.2
12109,70.1
12113,1421.0
12119,70.1
12121,1159.1
12127,5.5
12131,193.6
12133,155.5
13001,2557.8
13003,1118.4
13005,727.1
13007,2037.7
13011,2.7
13015,0.5
13017,546.2
13019,1957.85
13021,11.399999999999999
13023,153.25
13025,17.8
13027,1330.05
13029,33.0
13031,1822.55
13033,1504.5
13035,1.4
13037,2345.3
13043,88.4
13045,1.4
13055,0.6
13059,1.4
13061,706.0
13065,23.9
13069,2381.2
13071,2750.15
13073,1.4
13075,1083.0
13077,1.4
13079,22.3
13081,1178.25
13085,1.4
13087,4643.15
13091,253.70000000000002
13093,1846.3
13095,354.1
13097,1.7
13099,2841.7
13101,242.3
13103,377.6
13105,17.8
13107,398.25
13109,339.8
13111,0.5
13115,1.0
13119,5.0
13121,0.0
13123,1.0
13125,17.2
13129,1.8
13131,1379.4499999999998
13135,1.4
13137,0.7
13139,3.4
13145,1.6
13147,20.0
13149,2.6
13151,1.4
13153,31.5
13155,1913.6
13157,1.1
13161,1290.7
13163,658.15
13165,374.7
13167,173.8
13171,2.4
13173,531.3
13175,243.85000000000002
13177,1798.3000000000002
13185,465.5
13189,1.4
13193,524.55
13195,12.5
13197,165.89999999999998
13199,1.6
13201,2138.95
13205,3834.45
13209,157.7
13211,6.7
13213,0.6
13217,2.0
13219,0.0
13221,4.5
13225,13.55
13229,972.3
13231,1.4
13233,0.3
13235,270.75
13237,1.4
13239,29.2
13243,1783.35
13245,1.4
13249,180.0
13251,880.35
13253,2222.7
13255,3.0
13259,122.75
13261,2182.7
13267,594.7
13269,146.10000000000002
13271,202.39999999999998
13273,2163.3
13275,1782.95
13277,1670.4
13279,758.2
13281,1.4
13283,65.9
13285,1.4
13287,1168.4
13289,102.4
13291,1.4
13293,1.4
13295,1.3
13297,1.4
13299,433.6
13303,233.8
13305,311.6
13307,1202.7
13309,14.149999999999999
13311,1.4
13313,0.1
13315,1043.55
13319,7.8
13321,3458.15
16001,2.5
16003,5.9
16005,11.2
16007,16.2
16009,2.0
16011,42.1
16013,14.7
16015,2.1
16017,0.7
16019,73.3
16021,2.6
16023,13.5
16025,12.3
16027,2.4
16029,60.2
16031,43.7
16033,5.0
16035,0.6
16037,7.0
16039,9.7
16041,9.1
16043,62.0
16045,6.8
16047,3.6
16049,18.8
16051,43.3
16053,13.9
16055,0.8
16057,7.0
16059,5.4
16061,5.0
16063,4.8
16065,38.4
16067,47.5
16069,10.6
16071,7.8
16073,25.0
16075,4.6
16077,7.2
16079,2.4
16081,29.2
16083,33.2
16085,1.7
16087,17.1
17001,40.8
17003,67.0
17005,18.3
17007,37.0
17009,9.2
17011,31.6
17013,7.7
17015,17.4
17017,14.3
17019,384.9
17021,36.3
17023,71.6
17025,97.7
17027,207.1
17029,67.9
17031,4.5
17033,57.9
17035,45.6
17037,111.3
17039,17.55
17041,70.6
17043,0.3
17045,90.3
17047,98.6
17049,83.4
17051,99.8
17053,176.95
17055,190.6
17057,33.8
17059,168.1
17061,24.8
17063,88.0
17065,176.7
17067,38.9
17069,11.6
17071,16.2
17073,42.8
17075,426.25
17077,234.8
17079,67.6
17081,283.9
17083,14.9
17085,39.3
17087,46.6
17089,59.0
17091,183.0
17093,46.4
17095,39.6
17097,8.3
17099,197.8
17101,61.3
17103,27.8
17105,397.29999999999995
17107,30.15
17109,29.4
17111,64.7
17113,59.55
17115,26.299999999999997
17117,33.0
17119,31.5
17121,65.1
17123,16.55
17125,21.2
17127,118.4
17129,12.8
17131,26.9
17133,164.8
17135,37.6
17137,25.3
17139,53.1
17141,27.0
17143,19.799999999999997
17145,191.9
17147,175.5
17149,31.2
17151,19.4
17153,115.1
17155,4.0
17157,233.9
17159,49.0
17161,16.4
17163,237.3
17165,134.1
17167,47.4
17169,17.6
17171,12.7
17173,96.8
17175,15.3
17177,35.7
17179,24.65
17181,114.1
17183,305.1
17185,110.6
17187,29.9
17189,350.3
17191,333.4
17193,296.2
17195,23.4
17197,84.5
17199,69.4
17201,20.1
17203,24.8
18001,82.0
18003,106.9
18005,45.2
18007,114.6
18009,14.15
18011,75.5
18013,1.8
18015,59.5
18017,52.6
18019,62.6
18021,44.55
18023,78.3
18025,4.9
18027,51.1
18029,19.6
18031,57.5
18033,59.0
18035,27.299999999999997
18037,34.9
18039,50.7
18041,12.25
18043,6.8
18045,55.400000000000006
18047,69.5
18049,54.1
18051,63.7
18053,70.3
18055,31.5
18057,39.6
18059,53.7
18061,51.4
18063,44.7
18065,28.9
18067,47.8
18069,76.3
18071,89.8
18073,96.4
18075,32.0
18077,64.9
18079,93.2
18081,38.7
18083,85.6
18085,69.0
18087,62.3
18089,51.3
18091,95.1
18093,43.2
18095,65.8
18097,5.5
18099,55.8
18101,9.9
18103,61.6
18105,7.8
18107,84.75
18109,38.4
18111,72.7
18113,66.7
18115,7.1
18117,35.8
18119,19.7
18121,43.3
18123,21.4
18125,21.6
18127,57.6
18129,52.4
18131,83.4
18133,41.45
18135,36.65
18137,127.6
18139,59.2
18141,37.7
18143,35.1
18145,65.9
18147,41.3
18149,50.3
18151,36.0
18153,44.9
18155,19.2
18157,59.75
18159,49.4
18161,10.950000000000001
18163,20.2
18165,31.8
18167,32.0
18169,60.3
18171,48.75
18173,26.9
18175,85.3
18177,25.25
18179,87.5
18181,109.0
18183,58.8
19001,40.9
19003,25.2
19005,64.6
19007,34.1
19009,25.8
19011,51.3
19013,77.5
19015,32.9
19017,63.1
19019,73.1
19021,41.4
19023,95.1
19025,34.4
19027,30.2
19029,40.1
19031,39.8
19033,89.3
19035,38.7
19037,73.1
19039,31.1
19041,36.7
19043,85.4
19045,45.8
19047,36.3
19049,30.9
19051,117.0
19053,34.4
19055,60.7
19057,175.4
19059,21.8
19061,69.9
19063,24.5
19065,100.5
19067,85.4
19069,86.1
19071,46.5
19073,36.3
19075,35.2
19077,25.9
19079,30.3
19081,86.4
19083,29.9
19085,34.8
19087,241.9
19089,82.4
19091,73.7
19093,25.0
19095,40.9
19097,45.8
19099,43.8
19101,182.1
19103,43.3
19105,38.5
19107,277.9
19109,162.8
19111,186.8
19113,40.0
19115,187.8
19117,32.0
19119,36.2
19121,53.4
19123,273.5
19125,54.4
19127,37.9
19129,35.5
19131,74.0
19133,29.2
19135,30.8
19137,36.2
19139,25.4
19141,37.0
19143,26.1
19145,49.1
19147,32.6
19149,57.7
19151,37.8
19153,24.5
19155,80.8
19157,42.1
19159,61.0
19161,35.8
19163,23.0
19165,37.6
19167,50.6
19169,31.0
19171,51.2
19173,33.7
19175,50.8
19177,136.7
19179,168.4
19181,52.4
19183,283.1
19185,55.4
19187,44.5
19189,64.2
19191,96.2
19193,40.9
19195,70.2
19197,101.0
20001,9.0
20003,30.8
20005,28.5
20007,4.5
20009,2.2
20011,6.3
20013,47.2
20015,15.6
20017,7.7
20019,1.7
20021,16.2
20023,1.7
20025,3.95
20027,29.1
20029,19.3
20031,21.0
20033,2.0999999999999996
20035,16.3
20037,14.9
20039,0.8
20041,6.2
20043,25.7
20045,15.8
20047,5.4
20049,3.0
20051,0.0
20053,0.7
20055,51.349999999999994
20057,14.45
20059,25.8
20061,4.8
20063,1.4
20065,1.3
20067,4.35
20069,20.799999999999997
20071,0.2
20073,6.2
20075,9.5
20077,3.55
20079,7.6499999999999995
20081,7.15
20083,3.7
20085,20.9
20087,20.5
20089,26.2
20091,5.2
20093,33.75
20095,6.699999999999999
20097,4.65
20099,15.1
20101,0.3
20103,13.7
20105,1.9
20107,20.9
20109,0.45
20111,28.4
20113,6.6
20115,5.9
20117,65.7
20119,4.1
20121,17.4
20123,17.1
20125,14.4
20127,14.4
20129,0.6
20131,48.1
20133,10.4
20135,1.5
20137,3.9
20139,28.6
20141,9.3
20143,20.4
20145,6.4
20147,7.4
20149,17.6
20151,5.2
20153,0.8
20155,19.0
20157,26.5
20159,4.0
20161,17.4
20163,7.0
20165,0.3
20167,0.8
20169,3.6
20171,0.35
20173,12.549999999999999
20175,6.800000000000001
20177,12.9
20179,4.7
20181,2.4
20183,23.4
20185,12.5
20187,3.5
20189,1.95
20191,14.45
20193,5.3
20195,1.5
20197,8.4
20199,0.45
20201,35.1
20203,0.15000000000000002
20205,13.8
20207,7.4
20209,1.4
21001,24.9
21003,12.85
21005,2.0999999999999996
21007,90.94999999999999
21009,53.6
21011,5.449999999999999
21013,0.4
21015,5.3
21017,11.7
21019,0.8
21021,3.0
21023,6.4
21025,0.5
21027,77.05000000000001
21029,11.25
21031,50.349999999999994
21033,63.7
21035,103.15
21037,2.7
21039,80.85
21041,2.7
21043,2.7
21045,18.25
21047,187.1
21049,6.45
21051,0.6
21053,4.4
21055,43.2
21057,6.75
21059,192.1
21061,22.6
21063,1.8
21065,1.5
21067,6.9
21069,14.95
21071,0.2
21073,2.55
21075,124.45
21077,2.4
21079,5.25
21081,5.9
21083,203.89999999999998
21085,43.05
21087,32.55
21089,1.6
21091,15.3
21093,70.7
21095,0.0
21097,7.550000000000001
21099,22.450000000000003
21101,159.7
21103,12.6
21105,109.44999999999999
21107,79.4
21109,1.9
21111,2.8
21113,3.25
21115,0.2
21117,2.0
21119,0.1
21121,0.7
21123,50.8
21125,3.1
21127,0.7
21129,0.6
21131,0.1
21133,0.2
21135,7.2
21137,10.7
21139,48.25
21141,143.7
21143,10.9
21145,60.900000000000006
21147,0.5
21149,103.5
21151,7.25
21153,0.9
21155,46.0
21157,62.1
21159,0.2
21161,10.6
21163,50.95
21165,1.8
21167,8.25
21169,12.5
21171,13.8
21173,3.75
21175,1.5
21177,54.8
21179,63.75
21181,5.1499999999999995
21183,69.2
