fips,mass
06007,0.7
06013,1.1
06015,0.0
06019,0.0
06033,2.7
06037,0.0
06053,0.1
06059,0.0
06065,3.8
06067,11.3
06073,2.2
06077,32.3
06085,0.0
06087,0.2
06095,4.0
06101,0.0
06111,0.1
09001,1.4
09003,3.4
09005,1.1
09007,0.9
09009,3.2
09011,0.6
09013,0.5
09015,1.5
16001,0.1
16003,0.2
16005,0.2
16011,0.2
16013,0.2
16015,0.2
16019,0.0
16023,0.0
16025,0.0
16027,0.2
16031,0.0
16037,0.0
16039,0.0
16041,0.2
16043,0.2
16045,0.1
16047,0.2
16051,0.0
16053,0.2
16059,0.2
16065,0.0
16067,0.0
16071,0.2
16073,0.2
16075,0.2
16077,0.0
16081,0.2
16083,0.0
16087,0.2
23001,0.8
23003,0.5
23005,0.8
23007,0.2
23009,0.3
23011,0.7
23013,0.8
23015,0.8
23017,2.4
23019,1.5
23021,0.2
23023,0.8
23025,0.3
23027,0.4
23029,0.8
23031,1.3
24001,0.1
24005,0.0
24011,0.2
24013,0.2
24015,0.2
24021,0.2
24023,0.2
24025,0.3
24027,0.2
24029,0.2
24031,0.2
24035,0.0
24041,0.3
24043,3.2
25001,0.2
25003,0.2
25005,0.7
25007,0.2
25009,1.2
25011,3.0
25013,1.5
25015,1.5
25017,2.2
25019,0.2
25021,0.2
25023,0.9
25027,11.5
26005,6.0
26009,6.4
26019,5.7
26021,22.1
26027,3.9
26029,2.3
26035,0.2
26047,0.3
26051,0.2
26055,9.7
26057,0.3
26073,0.3
26077,0.8
26079,0.3
26081,71.7
26085,0.4
26089,7.8
26101,3.7
26105,18.6
26107,0.3
26111,0.3
26113,0.3
26117,4.4
26121,31.2
26123,14.7
26127,48.4
26133,0.3
26139,30.2
26159,20.3
26165,0.2
33001,0.2
33003,0.6
33005,0.3
33007,0.1
33009,0.6
33011,1.6
33013,0.6
33015,2.6
33017,0.3
33019,0.2
34001,0.3
34003,0.3
34005,0.4
34007,0.4
34009,0.4
34011,0.4
34013,0.3
34015,1.4
34019,0.8
34021,0.2
34023,0.1
34025,0.7
34027,0.5
34029,0.1
34031,0.3
34033,0.1
34035,0.1
34037,0.7
34041,0.7
36001,1.3
36003,1.6
36007,51.5
36009,1.6
36011,1.5
36013,1.3
36015,81.9
36017,0.5
36019,75.7
36021,12.0
36023,1.5
36025,0.4
36027,2.2
36029,0.6
36031,1.5
36033,0.4
36035,0.4
36037,0.1
36039,0.3
36041,1.5
36043,1.5
36045,1.8
36049,0.3
36051,1.7
36053,0.8
36055,20.6
36057,0.2
36059,0.0
