fips,mass
01001,11.2
01003,872.5
01005,88.15
01007,1.6
01009,15.4
01011,5.2
01013,45.2
01015,2.5
01017,4.8
01019,15.2
01021,3.9
01023,0.4
01025,4.6
01027,0.2
01029,0.2
01031,243.65
01033,32.4
01035,20.7
01039,166.2
01041,13.1
01043,8.9
01045,309.35
01047,65.1
01049,22.4
01051,6.2
01053,356.0
01055,2.4
01057,30.2
01059,21.049999999999997
01061,484.65
01063,0.4
01065,0.4
01067,398.5
01069,626.7
01071,26.0
01073,0.3
01075,1.3
01077,31.0
01079,161.8
01081,4.8
01083,70.3
01085,18.1
01087,17.5
01089,47.4
01091,7.5
01093,4.4
01095,5.7
01097,178.0
01099,198.9
01101,4.6
01103,9.5
01105,30.6
01107,7.2
01109,67.5
01111,0.2
01113,92.15
01115,0.1
01117,1.9
01119,8.4
01121,3.8
01123,4.8
01125,2.7
01127,1.0
01129,129.3
01131,2.5
01133,0.2
05001,781.5
05003,125.8
05007,215.7
05017,644.0
05019,11.25
05021,685.35
05025,0.1
05027,0.8
05029,83.3
05031,666.9
05033,85.1
05035,809.2
05037,574.8
05041,622.2
05043,126.7
05045,44.3
05047,13.7
05049,5.3
05053,0.5
05055,477.15
05057,1.0
05059,1.6
05063,141.55
05065,0.4
05067,712.6
05069,964.9
05071,12.5
05073,61.4
05075,414.2
05077,551.9
05079,371.6
05081,36.7
05083,17.4
05085,465.1
05087,31.4
05091,68.0
05093,1602.35
05095,415.2
05105,16.4
05107,962.5
05111,921.6
05115,39.0
05117,418.1
05119,98.9
05121,180.0
05123,540.7
05125,0.5
05131,6.5
05133,1.4
05143,31.4
05145,200.35
05147,499.2
05149,22.3
08001,37.4
08009,5.0
08017,7.8
08025,0.5
08059,5.5
08061,12.9
08063,154.0
08069,4.0
08073,12.9
08075,12.2
08087,5.5
08089,0.8
08095,7.5
08099,5.0
08101,5.0
08115,22.0
08121,11.6
08123,5.5
08125,148.5
10001,149.0
10003,38.45
10005,196.5
12001,1.5
12013,163.2
12023,26.9
12029,6.5
12031,2.4
12033,216.7
12035,2.2
12039,8.5
12041,21.4
12045,25.5
12047,50.8
12051,2.2
12057,0.1
12059,141.2
12063,1001.8
12065,49.8
12067,64.1
12073,25.5
12075,38.5
12079,48.8
12083,15.3
12091,51.1
12101,2.2
12103,0.1
12107,0.0
12109,2.2
12113,452.7
12119,2.2
12121,80.9
12127,0.2
12131,61.7
12133,49.5
13001,183.5
13003,157.35
13005,52.2
13007,1109.85
13011,1.0
13017,76.7
13019,274.2
13021,10.2
13023,136.8
13025,1.3
13027,190.8
13029,2.4
13031,46.3
13033,38.9
13035,0.6
13037,1277.9
13043,2.3
13045,0.6
13059,0.6
13061,384.6
13065,3.5999999999999996
13069,334.54999999999995
13071,386.3
13073,0.6
13075,151.8
13077,0.6
13079,20.3
13081,165.3
13085,0.6
13087,2529.35
13091,231.4
13093,261.75
13095,192.89999999999998
13097,0.7
13099,1547.75
13101,34.099999999999994
13103,10.6
13105,6.9
13107,12.05
13109,24.4
13111,0.2
13119,1.9
13121,0.0
13123,0.4
13125,1.0
13131,750.75
13135,295.1
13137,0.3
13139,1.3
13145,0.6
13147,7.7
13149,1.0
13151,0.6
13153,27.7
13155,268.1
13157,0.4
13161,180.89999999999998
13163,23.9
13165,9.2
13167,157.05
13171,1.0
13173,74.6
13175,220.5
13177,978.1
13185,66.3
13189,0.6
13193,144.9
13195,4.8
13197,46.2
13199,0.6
13201,1165.2
13205,2088.7
13209,143.75
13211,2.6
13217,0.8
13219,0.0
13221,1.7
13225,10.350000000000001
13229,69.7
13231,0.6
13235,248.95
13237,0.6
13239,15.9
13243,969.4
13245,0.6
13249,48.5
13251,22.25
