fips,mass
01001,103.6
01003,1008.0
01005,114.7
01011,23.2
01013,16.2
01023,16.2
01031,90.0
01033,2323.5
01035,15.0
01039,102.7
01041,8.7
01045,75.8
01047,537.9
01051,62.4
01053,248.0
01059,164.9
01061,153.3
01063,16.2
01065,16.2
01067,70.2
01069,173.4
01077,2225.7
01079,3159.6
01083,5041.1
01085,95.1
01087,54.4
01089,3399.3
01091,113.1
01093,315.3
01097,216.2
01099,50.5
01101,179.2
01103,616.7
01105,881.3
01109,193.0
01113,2.9
01119,149.5
01129,16.2
01131,16.2
01133,16.2
05021,780.9
05031,970.1
05055,715.4
05063,142.9
05067,318.4
05075,201.3
05093,509.9
05111,535.4
05121,126.6
05145,137.3
06037,4.1
08001,299.5
08005,20.8
08009,2120.7
08011,90.2
08017,1337.6
08025,46.3
08039,171.0
08041,13.4
08055,0.0
08061,1592.1
08063,1068.9
08071,20.8
08073,438.5
08089,172.1
08095,37.9
08099,921.0
08101,6.4
08121,575.2
08125,249.3
10001,5803.7
10003,1861.6
10005,7656.0
13003,98.5
13007,83.7
13011,39.9
13017,21.5
13019,16.0
13021,21.5
13023,258.7
13027,570.6
13031,406.8
13033,389.8
13035,21.5
13037,21.5
13043,21.5
13045,21.5
13059,21.5
13061,21.5
13065,21.5
13069,143.2
13071,154.4
13073,21.5
13075,21.5
13077,21.5
13079,21.5
13081,46.5
13085,21.5
13087,136.9
13091,162.3
13093,410.6
13095,21.5
13097,25.8
13099,135.1
13101,21.5
13103,164.4
13105,267.0
13107,247.2
13111,7.7
13119,74.2
13121,0.1
13123,14.4
13125,48.5
13131,168.7
13135,21.5
13137,10.0
13139,51.4
13145,24.1
13147,299.2
13149,38.7
13151,21.5
13153,77.4
13155,21.5
13157,17.1
13161,21.5
13163,739.1
13165,54.5
13167,191.9
13171,21.5
13173,21.5
13175,256.4
13177,341.0
13185,138.5
13189,21.5
13193,292.3
13195,187.5
13197,113.7
13199,24.7
13201,54.7
13205,124.9
13209,104.4
13211,100.7
13217,30.1
13219,0.5
13221,68.1
13225,121.3
13231,21.5
13235,58.2
13237,21.5
13243,436.4
13245,21.5
13249,26.9
13251,183.6
13253,410.5
13255,44.2
13259,43.0
13261,249.1
13269,260.1
13271,21.5
13273,164.8
13275,211.9
13277,17.6
13281,21.5
13283,74.9
13285,21.5
13287,21.5
13289,21.5
13291,21.5
13293,21.5
13297,21.0
13303,174.6
13307,54.1
13309,28.8
13311,21.5
13315,57.7
13319,21.5
13321,52.6
17001,1042.6
17003,91.3
17005,324.1
17007,504.25
17009,198.2
17011,592.7
17013,130.7
17015,340.2
17017,517.8
17019,4882.7
17021,1144.4
17023,578.6
17025,433.7
17027,1611.9
17029,595.8
17031,75.15
17033,524.5
17035,355.9
17037,2124.15
17039,525.6
17041,704.1
17043,31.1
17045,878.6
17047,760.5
17049,637.6
17051,716.5
17053,2229.8
17055,681.6
17057,865.6
17059,1305.0
17061,716.3
17063,978.5999999999999
17065,1092.4
17067,1063.1
17069,26.2
17071,544.6
17073,555.6
17075,5602.4
17077,554.7
17079,548.3
17081,820.5
17083,453.5
17085,263.5
17087,87.6
17089,791.25
17091,2786.7
17093,634.0
17095,1084.5
17097,97.15
17099,3004.75
17101,572.4
17103,389.2
17105,4911.5
17107,1095.1
17109,824.0
17111,1038.95
17113,1706.9
17115,775.8
17117,1006.9
17119,736.3
17121,410.3
17123,726.9
17125,882.1
17127,396.5
17129,426.1
17131,309.5
17133,896.2
17135,1125.8
17137,791.6
17139,637.0
17141,421.45
17143,721.5
17145,714.5
17147,2143.9
17149,968.3
17151,86.7
17153,335.3
17155,101.9
17157,1121.7
17159,402.0
17161,177.1
17163,1638.2
17165,773.1
17167,1546.0
17169,406.6
17171,364.7
17173,907.0
17175,548.8
17177,199.04999999999998
17179,888.9
17181,306.3
17183,3655.6
17185,847.4
17187,953.9
17189,2146.9
17191,2104.0
17193,1626.0
17195,456.25
17197,806.4000000000001
17199,311.9
17201,200.0
17203,752.5
18001,1691.9
18003,2002.0
18005,237.1
18007,2184.4
18009,805.0
18011,389.7
18013,3.7
18015,1573.5
18017,1266.5
18019,84.2
18021,252.0
18023,466.1
18025,8.4
18027,1581.7
18029,17.4
18031,323.1
18033,994.6
18035,1419.6
18037,996.3
18039,953.2
18041,755.1
18043,18.1
18045,371.6
18047,140.4
18049,1480.2
18051,1594.2
18053,255.0
18055,883.4
18057,217.4
18059,300.2
18061,114.5
18063,272.5
18065,1458.7
18067,251.0
18069,1520.1
18071,241.0
18073,1224.8
18075,1650.8
18077,60.5
18079,113.7
18081,232.7
18083,2243.7
18085,1479.6
18087,1349.3
18089,458.09999999999997
18091,1085.85
18093,81.0
18095,360.1
18097,23.6
18099,1167.7
18101,237.0
18103,915.5
18105,20.6
18107,477.6
18109,181.2
18111,721.25
18113,1727.9
18115,8.3
18117,122.7
18119,97.6
18121,253.5
18123,38.6
18125,353.1
18127,452.8
18129,1389.0
18131,880.6999999999999
18133,247.9
18135,2356.0
18137,164.1
18139,382.7
18141,936.7
18143,70.9
18145,406.4
18147,898.9
18149,504.85
18151,1012.1
18153,1042.6
18155,27.7
18157,383.8
18159,313.0
18161,756.6
18163,466.7
18165,197.2
18167,186.4
18169,1130.6
18171,330.8
18173,638.5
18175,189.7
18177,1276.9
18179,2076.4
18181,1267.6
18183,1471.9
19001,1552.5
19003,1019.0
19005,204.1
19007,428.2
19009,1831.2
19011,1711.2
19013,367.7
19015,2739.9
19017,335.9
19019,463.8
19021,2812.6
19023,1634.6
19025,2797.9
19027,2850.0
19029,1726.3
19031,1492.2
19033,1524.6
19035,2378.5
19037,368.7
19039,428.0
19041,2421.6
19043,392.8
19045,1866.2
19047,3370.9
19049,2305.9
19051,682.9
19053,667.1
19055,541.0
19057,1289.0
19059,1423.0
19061,390.8
19063,1785.5
19065,413.1
19067,1357.6
19069,1810.0
19071,1809.5
19073,2631.8
19075,2669.6
19077,1823.5
19079,2919.3
19081,1808.6
19083,3275.7
19085,2792.4
19087,1788.9
19089,334.8
19091,1057.9
19093,2035.2
19095,1187.4
19097,1059.0
19099,2662.4
19101,1382.9
19103,1103.3
19105,1514.0
19107,2171.2
19109,2859.1
19111,1369.3
19113,1348.6
19115,1549.4
19117,468.3
19119,2938.0
19121,1244.2
19123,2414.1
19125,1418.5
19127,2440.3
19129,1402.4
19131,1428.9
19133,2426.7
19135,598.9
19137,1499.2
19139,831.9
19141,2443.3
19143,1928.9
19145,1949.3
19147,3001.1
19149,3741.7
19151,2675.8
19153,1431.1
19155,3811.3
19157,2317.3
19159,892.3
19161,2749.0
19163,1033.0
19165,2741.0
19167,4338.3
19169,2702.4
19171,2875.1
19173,1300.0
19175,1216.6
19177,876.5
19179,1158.3
19181,1242.2
19183,2294.6
19185,1099.2
19187,3495.0
19189,1148.1
19191,419.1
19193,3067.1
19195,1056.9
19197,1684.3
20001,364.45
20003,1101.7
20005,14.9
