fips,mass
12001,221.45
12007,441.2
12009,5629.3
12011,51.6
12015,1042.0
12017,2814.8
12019,4757.6
12021,6988.2
12023,89.2
12027,5946.7
12029,362.0
12031,362.0
12035,315.1
12041,2839.8
12049,5946.7
12051,5584.7
12053,446.45
12055,1967.7
12057,82755.9
12061,5681.3
12067,57.2
12069,438.6
12071,5946.7
12075,4757.6
12081,172629.1
12083,462.1
12085,1430.1
12086,28854.5
12089,23.0
12093,1517.4
12095,478.9
12097,477.75
12099,3502.7
12101,2814.8
12103,4757.6
12105,2814.8
12107,20.15
12109,2814.8
12111,496.7
12115,5946.7
12117,408.0
12119,2486.2
12121,22.3
12125,467.3
12127,35.1
