fips,mass
01001,274.8
01003,30046.4
01005,408.1
01007,1428.4
01009,161.2
01011,353.1
01013,13133.3
01015,145.0
01017,239.0
01019,1422.2
01021,962.1
01023,2727.5
01025,930.0
01027,932.6
01029,199.7
01031,985.9
01033,1875.5
01035,6562.0
01037,36.2
01039,948.3
01041,510.3
01043,1671.2
01045,719.6
01047,3421.5
01049,4212.7
01051,652.0
01053,11499.3
01055,403.0
01057,1268.3
01059,114.0
01061,1358.6
01063,43.8
01065,152.9
01067,1548.3
01069,610.2
01071,6091.0
01073,195.0
01075,1123.6
01077,1366.3
01079,1967.4
01081,316.9
01083,1503.7
01085,713.4
01087,224.8
01089,2234.0
01091,478.4
01093,103.9
01095,1241.6
01097,3361.8
01099,5784.6
01101,314.4
01103,212.4
01105,1623.5
01107,4766.2
01109,749.6
01111,1889.7
01113,649.7
01115,24.2
01117,2080.7
01119,322.5
01121,4904.5
01123,758.0
01125,2206.1
01127,787.3
01129,3665.8
01131,3416.8
01133,19.7
04001,1.9
04003,0.3
04005,0.4
04007,6.6
04013,6.6
04017,1.7
04019,6.6
04021,6.6
04023,6.6
04025,0.7
05001,33336.6
05003,7238.5
05005,3.3
05007,230.1
05009,104.9
05015,145.1
05017,14192.9
05019,252.2
05021,21443.1
05023,797.8
05029,4048.4
05031,26417.1
05033,618.8
05035,10224.2
05037,11188.2
05041,14478.7
05043,4843.6
05045,2077.8
05047,241.4
05049,287.9
05053,44.6
05055,19857.9
05057,1.5
05059,19.3
05063,8132.5
05065,290.6
05067,8873.8
05069,17020.0
05071,581.2
05073,2776.3
05075,5720.5
05077,22312.2
05079,10694.0
05081,2168.4
05083,172.0
05085,24396.0
05087,54.6
05091,2715.6
05093,14225.8
05095,21501.6
05099,10.5
05105,728.0
05107,25339.4
05111,15439.4
05115,513.9
05117,11135.1
05119,5452.1
05121,3711.6
05123,11554.8
05131,172.0
05143,167.5
05145,3997.2
05147,12662.8
05149,763.4
06017,9.5
06019,36.4
06021,527.9
06025,7551.1
06029,99.3
06037,35.7
06065,144.3
06067,23.7
06073,0.3
06077,611.5
06089,98.5
06095,16.2
08001,59214.9
08003,380.5
08005,11431.849999999999
08007,85.95
08009,42900.2
08011,6582.85
08013,814.8
08014,874.0
08015,133.05
08017,61634.95
08019,15.75
08021,447.65
08023,629.2
08025,593.95
