fips,mass
06011,11.6
06013,7.6
06019,129.4
06029,346.1
06031,7.9
06039,58.2
06047,405.7
06053,15.8
06055,11.9
06059,47.6
06065,5.8
06069,1.4
06073,1.1
06077,23.9
06083,35.4
06087,43.6
06089,0.6
06097,6.2
06099,83.7
06101,23.4
06103,0.2
06107,276.1
06111,711.3
06113,1.8
06115,4.5
41001,21.9
41021,11.0
41027,544.35
41049,11.0
41055,1.85
41059,61.9
41061,22.0
41063,21.9
41065,8.200000000000001
53001,131.6
53003,30.5
53005,199.3
53007,947.0
53009,12.8
53011,4.3
53013,21.4
53015,12.2
53017,553.5
53019,8.3
53021,251.9
53023,30.2
53025,1023.2
53027,12.2
53029,0.6
53031,0.6
53033,3.7
53035,0.7
53037,21.2
53039,22.4
53041,0.8
53043,1.3
53045,12.2
53047,610.3
53049,0.0
53051,30.5
53053,2.2
53055,2.6
53057,14.0
53059,12.2
53061,1.5
53063,5.9
53065,30.9
53067,1.0
53069,12.0
53071,244.3
53073,13.6
53075,30.5
53077,1777.3
