fips,mass
06007,2.5
06011,12.9
06019,143.8
06021,7.4
06029,20.5
06031,81.0
06039,37.3
06047,6.7
06053,4.5
06067,1.2
06069,0.4
06077,118.4
06085,22.9
06095,0.4
06099,41.1
06101,3.3
06103,0.2
06107,74.8
06113,4.9
09001,2.3
09003,5.7
09005,1.9
09007,1.4
09009,5.2
09011,0.9
09013,0.8
09015,2.5
13013,0.1
13015,0.0
13047,0.0
13055,0.1
13057,0.2
13059,0.0
13083,0.0
13111,0.1
13115,0.0
13117,0.1
13119,0.1
13121,0.0
13123,3.4
13129,0.0
13137,0.1
13139,0.1
13147,0.1
13157,0.0
13187,0.2
13195,0.1
13213,0.0
13219,0.1
13221,0.1
13223,0.0
13227,0.1
13233,0.0
13241,0.1
13257,0.1
13281,0.1
13291,0.1
13295,0.1
13297,0.1
13317,0.1
16001,0.4
16003,1.7
16005,1.8
16009,2.0
16011,1.8
16013,1.8
16015,1.7
16017,0.4
16019,0.2
16021,0.1
16023,0.0
16025,0.0
16027,1.7
16031,0.2
16037,0.0
16039,0.0
16041,1.8
16043,1.8
16045,0.9
16047,1.8
16049,0.1
16051,0.1
16053,1.8
16055,0.2
16057,0.3
16059,1.8
16061,0.1
16065,0.1
16067,0.1
16069,2.0
16071,1.8
16073,1.7
16075,1.7
16077,0.1
16079,2.0
16081,1.8
16083,0.2
16087,1.7
18015,0.5
18017,0.5
18039,2.3
18049,0.5
18073,1.3
18085,0.5
18089,0.5
18091,0.5
18099,0.5
18103,0.5
18127,0.6
18131,0.0
18141,0.4
18149,0.5
18169,0.5
18181,0.0
21013,0.1
21015,0.1
21019,0.1
21023,0.1
21037,0.1
21041,0.0
21043,0.0
21051,0.1
21063,0.1
21065,0.0
21071,0.0
21077,0.0
21081,0.1
21089,0.1
21095,0.4
21103,0.1
21109,0.1
21115,0.0
21117,0.1
21119,0.1
21121,0.1
21125,0.0
21127,0.1
21129,0.1
21133,0.1
21135,0.0
21147,0.1
21153,0.1
21175,0.1
21185,0.1
21187,0.1
21189,0.1
21191,0.1
21193,0.1
21195,0.0
21197,0.1
21199,0.1
21203,0.1
21205,0.6
21223,0.1
21231,0.0
21235,0.1
21237,0.1
23001,2.95
23003,1.9
23005,2.95
23007,0.75
23009,1.0
23011,2.6
23013,2.95
23015,2.95
23017,9.0
23019,5.75
23021,0.75
23023,2.95
23025,1.15
23027,1.45
23029,2.95
23031,4.95
24001,0.1
24003,0.4
24005,0.1
24009,0.1
24011,1.0
24013,0.4
24015,1.0
24017,0.0
24021,0.7
24023,0.2
24025,0.7
24027,0.4
24029,1.0
24031,0.7
24033,0.4
24035,0.0
24037,0.4
24041,1.8
24043,9.2
25001,0.4
25003,0.4
25005,1.1
25007,0.4
25009,2.0
25011,4.9
25013,2.4
25015,2.5
25017,3.6
25019,0.4
25021,0.4
25023,1.5
25027,18.9
26001,0.5
26003,0.5
26005,22.9
26007,0.2
26009,9.8
26011,0.5
26013,0.5
26015,0.30000000000000004
26017,0.5
26019,7.0
26021,88.2
26023,0.5
26025,0.25
26027,13.7
26029,2.5
26031,0.2
26033,0.5
26035,0.15
26037,0.5
26041,0.9
26043,0.5
26045,0.6
26047,0.3
26049,2.2
26051,0.35
26053,0.5
26055,13.4
26057,0.35
26059,0.6
26061,0.1
26063,0.5
26065,0.65
26067,1.55
26069,0.5
26071,0.0
26073,0.35
26075,0.35
26077,2.9
26079,0.3
