fips,mass
04001,25.9
04003,0.2
04005,0.7
04007,25.9
04009,0.6
04011,42.2
04012,0.1
04013,56.8
04015,11.0
04017,0.0
04019,0.1
04021,58.1
04023,0.0
04025,0.6
04027,56.8
06001,0.0
06007,0.2
06009,0.9
06011,1.0
06013,0.9
06019,28.2
06023,0.0
06025,243.5
06029,303.5
06031,12.3
06037,1.7
06039,0.1
06045,0.0
06047,12.1
06053,393.2
06057,0.1
06059,0.2
06061,1.5
06065,118.3
06067,0.0
06069,29.1
06071,0.7
06073,18.0
06077,6.3
06079,100.1
06081,0.0
06083,440.6
06085,1.2
06087,64.3
06093,2.8
06095,8.8
06097,0.2
06099,34.2
06101,4.2
06103,0.1
06107,175.5
06109,0.0
06111,81.0
06113,3.7
06115,1.2
16001,0.25
16003,0.25
16009,0.2
16017,0.2
16021,0.0
16027,18.35
16035,0.2
16039,0.1
16045,0.3
16049,0.2
16055,0.1
16057,0.2
16069,0.2
16073,0.2
16075,1.8
16079,0.2
16085,0.1
16087,2.75
17011,0.9
17015,0.95
17073,0.95
17085,0.05
17103,1.05
17131,1.05
17141,0.05
17155,0.9
17161,1.15
17177,0.9
17195,1.45
17201,0.9
19005,0.0
19013,0.0
19017,0.0
19019,0.0
19037,0.0
19043,0.0
19055,0.0
19061,0.0
19065,0.0
19089,0.0
19191,0.0
27037,10.0
27039,2.6
27045,0.0
27049,2.9
27055,0.1
27099,0.1
27109,0.1
27157,0.1
27169,0.0
32001,0.0
32003,0.0
32009,0.0
32017,0.0
32019,12.0
32023,0.0
32031,0.0
35003,0.0
35017,0.0
35051,0.0
35053,0.0
40005,0.0
40013,0.0
40015,0.1
40019,0.0
40029,0.0
40031,0.1
40049,0.0
40065,0.2
40067,0.0
40095,0.0
40123,0.0
40137,0.0
41001,3.4
41003,0.0
41005,0.5
41007,0.0
41009,0.0
41011,0.2
41013,0.2
41015,0.2
41017,0.2
41019,0.0
41021,0.30000000000000004
41023,0.2
41025,0.0
41027,11.2
41029,0.0
41031,0.0
41033,0.0
41035,0.2
41037,0.2
41039,0.1
41041,0.2
41043,0.2
41045,50.5
41047,6.1
41049,17.05
41051,0.0
41053,0.0
41055,0.0
41057,0.0
41059,13.0
41061,3.5
41063,3.2
41065,5.300000000000001
41067,0.0
41069,0.2
41071,0.0
48019,0.0
48027,0.2
48031,0.2
48035,0.2
48053,0.0
48059,0.0
48077,0.6
48081,0.2
48085,0.0
48093,0.1
48097,0.0
48099,0.2
48113,0.2
48119,0.1
48121,0.0
48133,0.6
48139,0.2
48143,0.2
48145,0.2
48147,2.1
48171,3.0
48181,0.0
48193,0.2
48207,0.0
48217,0.6
48221,0.6
48231,0.9
48237,0.0
48251,0.1
48253,0.2
48257,0.0
48259,0.0
48265,0.0
48277,0.0
48281,0.0
48293,0.0
48309,0.1
48331,0.2
48333,0.6
48337,0.6
48349,0.2
48353,0.2
48363,0.1
48367,0.2
48397,0.0
48411,0.1
48413,0.0
48415,0.2
48425,0.6
48429,0.1
48439,0.0
48441,0.2
48447,0.0
48451,0.2
48463,0.2
48483,0.2
48487,0.2
48491,0.1
48497,0.5
48503,0.1
53001,12.3
53003,6.3
53005,12.4
53007,235.9
53009,1.8
53011,0.5
53013,4.4
53015,1.8
53017,79.25
53019,1.7
53021,9.45
53023,6.3
53025,19.200000000000003
53027,1.8
53029,0.0
53031,0.1
53033,0.3
53035,0.1
53037,3.4
53039,5.1
53041,0.0
53043,0.2
53045,1.8
53047,102.6
53049,0.0
53051,6.3
53053,0.1
53055,0.2
53057,1.8
53059,1.8
53061,0.0
53063,0.5
53065,6.3
53067,0.1
53069,1.8
53071,9.3
53073,1.8
53075,6.3
53077,212.4
55001,70.9
55011,0.2
55021,0.8
55023,0.2
55025,0.3
55027,3.1
55033,3.5
55035,0.1
55043,0.3
55045,0.0
55047,4.8
55049,26.9
55053,0.1
55055,2.9
55057,3.1
55063,0.0
55065,0.2
55077,3.1
55081,0.0
55091,0.1
55093,0.1
55097,163.3
55103,0.3
55105,1.3
55109,0.55
55111,2.9
55121,0.0
55123,0.8
55135,0.4
55137,48.5
55141,0.0
