fips,mass
01001,0.1
01003,0.1
01005,0.1
01013,0.0
01023,0.0
01025,0.0
01031,0.1
01033,0.0
01035,0.1
01039,0.1
01041,0.0
01045,0.1
01047,0.1
01051,0.1
01053,0.2
01059,0.0
01061,0.2
01065,0.0
01067,0.2
01069,0.2
01077,0.2
01079,0.2
01083,0.3
01085,0.0
01087,0.1
01089,0.3
01091,0.0
01093,0.0
01097,0.1
01099,0.2
01101,0.0
01103,0.0
01105,0.0
01109,0.0
01113,0.0
01119,0.0
01129,0.0
01131,0.0
05003,0.2
05017,0.2
05019,0.5
05021,0.0
05031,0.1
05035,0.3
05037,0.0
05041,0.2
05043,0.1
05055,0.0
05067,0.0
05069,0.1
05073,2.0
05077,0.6
05079,0.2
05081,1.6
05085,0.1
05091,1.6
05093,0.1
05095,0.0
05107,0.4
05111,0.0
05117,0.0
05123,0.3
05147,0.0
12013,0.0
12023,0.0
12033,0.0
12039,0.0
12047,0.0
12059,0.0
12063,0.0
12065,0.0
12067,0.0
12079,0.0
12091,0.0
12113,0.0
12121,0.0
12131,0.0
12133,0.0
13001,0.0
13003,0.0
13005,0.0
13007,0.0
13013,0.0
13017,0.0
13019,0.0
13023,0.0
13025,0.0
13027,0.0
13029,0.0
13031,0.6
13033,0.3
13037,0.0
13043,0.1
13049,0.0
13061,0.0
13065,0.0
13069,0.0
13071,0.0
13075,0.0
13079,0.0
13081,0.0
13087,0.0
13091,0.0
13093,0.1
13095,0.0
13099,0.0
13101,0.0
13103,0.1
13105,0.0
13107,0.2
13109,0.0
13113,0.0
13125,0.0
13131,0.0
13153,0.0
13155,0.0
13161,0.0
13163,0.1
13165,0.1
13167,0.0
13171,0.0
13173,0.0
13175,0.0
13177,0.0
13183,0.0
13185,0.0
13189,0.0
13193,0.0
13195,0.0
13197,0.0
13201,0.0
13205,0.0
13209,0.0
13211,0.0
13217,0.0
13219,0.0
13225,0.0
13229,0.0
13235,0.0
13237,0.0
13239,0.0
13243,0.0
13249,0.0
13251,0.3
13253,0.0
13259,0.0
13261,0.0
13267,0.0
13269,0.0
13271,0.0
13273,0.0
13275,0.0
13277,0.0
13279,0.0
13283,0.0
13287,0.0
13289,0.0
13297,0.0
13299,0.0
13301,0.0
13303,0.0
13305,0.0
13307,0.0
13309,0.0
13315,0.0
13317,0.0
13319,0.0
13321,0.0
20007,0.0
20015,0.0
20033,0.0
20035,0.0
20047,0.0
20057,0.0
20067,0.0
20069,0.0
20075,0.0
20077,0.0
20079,0.0
20081,0.0
20093,0.0
20095,0.0
20097,0.0
20115,0.0
20129,0.0
20145,0.0
20151,0.1
20155,0.0
20159,0.0
20173,0.0
20175,0.0
20185,0.0
20189,0.1
20191,0.1
22003,0.0
22009,0.1
22015,2.6
22017,17.4
22021,0.0
22025,0.2
22029,0.2
22031,0.4
22035,0.1
22039,0.0
22041,0.1
22043,0.0
22065,0.2
22067,0.1
22069,0.1
22073,0.0
22077,0.0
22079,0.1
22081,0.4
22083,0.2
22097,0.0
22107,0.4
22123,0.0
22125,0.0
28001,0.0
28003,0.0
28007,0.0
28009,0.0
28011,0.2
28013,0.2
28015,0.2
28017,0.0
28019,0.0
28021,0.0
28025,0.0
28027,1.6
28029,0.0
28031,0.0
28033,0.1
28035,0.0
28039,0.0
28041,0.0
28043,0.0
28049,0.0
28051,0.5
28053,0.3
28055,0.1
28057,0.0
28059,0.0
28063,0.0
28071,0.1
28077,0.0
28079,0.0
28081,0.1
28083,0.6
28087,0.1
28089,0.1
28093,0.0
28095,0.1
28097,0.1
28103,0.2
28105,0.0
28107,0.5
28111,0.0
28115,0.0
28117,0.0
28119,0.4
28121,0.0
28123,0.0
28125,0.2
28129,0.0
28131,0.0
28133,0.3
28135,0.8
28137,0.1
28139,0.0
28141,0.1
28143,0.6
28145,0.0
28149,0.1
28151,0.3
28155,0.1
28159,0.0
28161,0.1
28163,0.4
29023,0.0
29069,0.1
29133,0.0
29143,0.1
29155,0.1
29201,0.0
29207,0.1
35005,0.0
35009,0.0
35013,0.0
35015,0.0
35025,0.0
35037,0.0
35041,0.0
37003,0.0
37005,0.0
37007,0.0
37013,0.2
37015,0.1
37017,0.0
37019,0.0
37025,0.0
37029,0.0
37031,0.0
37041,0.0
37045,0.0
37047,0.0
37049,0.1
37051,0.1
37059,0.0
37061,0.1
37065,0.1
37069,0.0
37073,0.0
37077,0.0
37079,0.1
37081,0.0
37083,0.2
37085,0.2
37091,0.1
37093,0.1
37095,0.2
37101,0.1
37103,0.3
37105,0.0
37107,0.2
37109,0.0
37117,0.1
37123,0.0
37125,0.0
37127,0.0
37131,0.2
37133,0.1
37137,0.0
37139,0.0
37141,0.0
37143,0.0
37147,0.3
37151,0.0
37153,0.0
37155,0.3
37159,0.0
37163,0.3
37165,0.1
37167,0.1
37171,0.0
37177,0.0
37179,0.0
37183,0.0
37185,0.0
37187,0.0
37191,0.1
37195,0.2
40003,0.0
40007,0.0
40009,0.1
40011,0.0
40013,0.0
40015,0.1
40017,0.0
40025,0.0
40031,0.1
40033,0.0
40039,0.0
40041,0.1
40043,0.0
40045,0.0
40047,0.0
40051,0.0
40053,0.0
40055,0.1
40057,0.1
40065,0.6
40071,0.0
40073,0.0
40075,0.1
40081,0.0
40087,0.0
40089,0.4
40093,0.0
40101,0.0
40103,0.0
40109,0.0
40129,0.0
40139,0.0
40141,0.6
40149,0.2
40151,0.0
40153,0.0
45001,0.0
45003,0.0
45007,0.0
45017,0.3
45023,0.0
45025,0.0
45027,0.1
45031,0.2
45033,0.1
45037,0.0
45041,0.1
45043,0.0
45051,0.1
45061,0.1
45063,0.0
45067,0.0
45069,0.1
45071,0.0
45075,0.3
45079,0.0
45081,0.0
45085,0.1
45089,0.2
45091,0.05
47017,0.2
47023,0.0
47033,0.5
47045,0.0
47047,0.5
47053,0.3
47069,0.2
47071,0.0
47075,0.6
47077,0.0
47079,0.0
47095,0.0
47097,0.0
47099,0.0
47109,0.1
47113,0.2
47131,0.0
47157,0.0
47167,0.0
47183,0.0
48001,1.3
48003,0.0
48009,0.0
48011,0.0
48013,0.0
48015,0.0
48017,0.0
48021,0.0
48023,0.0
48025,0.2
48027,0.0
48029,0.0
48031,0.0
48033,0.1
48035,0.0
48037,1.3
48039,0.0
48041,0.1
48043,0.0
48045,0.0
48049,0.0
48051,0.1
48053,0.0
48055,0.1
48057,0.1
48059,0.0
48061,0.3
48065,0.0
48069,0.0
48075,0.1
48077,0.0
48079,0.0
48081,0.0
48083,0.0
48085,0.0
48087,0.1
48089,0.0
48093,0.0
48095,0.0
48097,0.0
48099,0.0
48101,0.1
48107,0.1
48109,0.0
48111,0.0
48115,0.1
48117,0.0
48119,0.0
48121,0.0
48123,0.0
48125,0.1
48127,0.0
48129,0.0
48131,0.0
48133,0.0
48139,0.2
48141,0.0
48143,0.0
48145,0.0
48147,0.0
48149,0.0
48151,0.0
48153,0.0
48155,0.0
48157,0.5
48159,1.3
48161,0.0
48163,0.0
48165,0.1
48169,0.1
48173,0.0
48175,0.0
48177,0.0
48179,0.0
48181,0.0
48185,0.0
48187,0.0
48189,0.1
48191,0.2
48193,0.0
48195,0.0
48197,0.0
48201,0.0
48203,1.3
48205,0.0
48207,0.0
48209,0.0
48211,0.0
48215,0.3
48217,0.2
48219,0.1
48223,0.6
48225,1.3
48227,0.0
48229,0.0
48231,0.0
48233,0.0
48235,0.0
48239,0.4
48245,0.0
48249,0.1
48251,0.0
48253,0.0
48255,0.0
48257,0.0
48263,0.0
48269,0.0
48271,0.0
48273,0.3
48275,0.0
48277,0.0
48279,0.1
48283,0.0
48289,0.0
48293,0.0
48295,0.0
48297,0.0
48299,0.0
48303,0.1
48305,0.1
48307,0.0
48309,0.1
48313,0.0
48317,0.1
48321,0.3
48325,0.2
48329,0.0
48331,0.1
48335,0.0
48337,0.0
48339,0.0
48341,0.0
48345,0.0
48349,0.2
48353,0.0
48355,1.4
48357,0.0
48359,0.0
48367,0.0
48369,0.0
48371,0.0
48375,0.0
48381,0.0
48383,0.0
48387,0.3
48389,0.0
48391,0.2
48393,0.0
48395,0.1
48397,0.0
48399,0.0
48407,0.0
48409,1.0
48411,0.0
48413,0.0
48415,0.0
48417,0.0
48421,0.0
