fips,mass
04001,201.4
04003,6.7
04005,0.0
04007,200.6
04009,0.9
04011,321.3
04013,375.4
04015,39.7
04017,0.2
04019,1.2
04021,375.2
04023,1.3
04025,1.4
04027,375.2
06001,1.1
06005,20.9
06007,31.9
06009,12.2
06011,24.3
06013,2.4
06017,10.1
06019,660.6
06021,2.2
06025,337.6
06029,1151.8
06031,247.3
06033,42.0
06037,39.6
06039,47.3
06041,20.0
06045,1260.2
06047,38.2
06053,607.6
06055,1274.5
06059,24.2
06061,1.2
06065,54.6
06067,32.9
06069,29.9
06071,6.8
06073,50.8
06077,268.5
06079,425.7
06081,0.2
06083,455.0
06085,5.1
06087,72.9
06089,6.8
06093,0.0
06095,7.5
06097,1322.8
06099,52.0
06103,37.4
06107,854.9
06109,0.0
06111,203.9
06113,26.7
06115,0.2
12001,2.8
12007,19.5
12009,35.5
12011,36.7
12015,50.6
12017,31.5
12019,0.0
12021,369.3
12027,50.6
12041,40.5
12043,35.5
12049,28.0
12051,57.7
12053,0.2
12055,51.9
12057,54.2
12061,104.8
12069,40.5
12071,86.5
12075,7.4
12081,736.8
12083,12.8
12085,62.4
12086,63.1
12093,7.1
12095,19.4
12097,28.5
12099,2169.8
12101,23.5
12105,41.5
12107,2.1
12109,40.8
12111,22.5
12115,23.4
12117,12.3
12119,0.4
12125,36.5
12127,1.1
16001,1.55
16003,3.2
16005,1.2
16007,0.3
16009,24.1
16011,28.4
16013,1.2
16015,3.1
16017,0.3
16019,7.1
16021,23.9
16023,0.5
16025,1.2
16027,33.7
16029,1.2
16031,1.2
16033,0.1
16035,24.1
16037,0.7
16039,54.5
16041,1.2
16043,9.0
16045,13.95
16047,1.6
16049,0.2
16051,13.1
16053,3.6
16055,24.1
16057,0.3
16059,0.0
16061,0.0
16063,1.2
16065,13.9
16067,12.2
16069,24.8
16071,4.0
16073,7.85
16075,18.25
16077,18.5
16079,0.2
16081,1.8
16083,4.0
16085,23.9
16087,3.2
18039,0.0
18049,0.0
18085,0.0
18089,0.0
18091,0.0
18099,0.0
18127,0.0
18131,0.0
18141,0.0
18149,0.0
18169,0.0
18181,0.0
23003,28.1
23009,0.0
23019,1.4
23021,0.0
23025,0.0
23027,0.0
23029,0.0
26005,1.5
26015,0.1
26021,7.9
26023,0.1
26025,0.0
26027,0.2
26035,0.0
26037,0.1
26045,0.0
26051,0.1
26057,0.1
26059,0.1
26065,0.1
26067,0.1
26073,0.1
26075,0.1
26077,0.1
26081,1.2
26085,0.0
26105,8.0
26111,0.1
26117,0.0
26121,0.1
26123,0.3
26127,29.4
26133,0.1
26139,0.8
26149,0.1
26155,0.0
26159,4.2
30001,0.0
30007,11.9
30009,0.6
30013,0.1
30027,0.8
30029,0.0
30031,2.7
30043,0.0
30045,0.5
30047,0.5
30049,0.6
30053,0.0
30057,0.1
30059,0.6
30063,0.0
30065,0.6
30067,0.6
30081,0.0
