fips,mass
01001,6.3
01003,574.8
01005,40.5
01007,2.1
01009,8.8
01011,5.5
01013,33.3
01015,0.4
01017,2.3
01019,9.3
01021,2.6
01023,1.4
01025,3.35
01027,1.4
01029,0.6
01031,111.4
01033,73.0
01035,15.25
01037,0.0
01039,78.5
01041,9.2
01043,5.5
01045,139.3
01047,57.3
01049,18.5
01051,7.8
01053,237.15
01055,1.2
01057,14.7
01059,9.45
01061,219.8
01063,0.3
01065,1.4
01067,184.4
01069,275.9
01071,20.1
01073,0.2
01075,1.6
01077,52.0
01079,84.15
01081,2.5
01083,55.3
01085,12.9
01087,10.0
01089,83.5
01091,6.3
01093,3.9
01095,4.1
01097,116.4
01099,133.85000000000002
01101,2.6
01103,3.75
01105,18.8
01107,9.0
01109,33.6
01111,2.8
01113,44.8
01115,0.1
01117,3.0
01119,5.0
01121,7.2
01123,3.1
01125,3.2
01127,1.1
01129,87.30000000000001
01131,2.25
01133,0.6
05001,166.45
05003,34.7
05005,0.0
05007,1.9
05009,0.4
05015,0.5
05017,46.4
05019,0.9
05021,120.8
05023,1.1
05029,16.1
05031,130.3
05035,90.25
05037,74.5
05041,55.6
05043,18.4
05045,8.3
05049,0.8
05053,0.2
05055,93.9
05059,0.2
05063,24.0
05065,0.2
05067,96.3
05069,81.0
05073,18.0
05075,56.4
05077,114.85
05079,38.4
05081,14.1
05085,112.65
05087,0.4
05091,15.8
05093,206.1
05095,93.1
05099,0.0
05105,1.9
05107,154.85
05111,132.2
05117,65.85
05119,18.2
05121,27.0
05123,77.5
05125,0.1
05143,0.8
05145,30.0
05147,77.5
08001,64.2
08005,7.7
08009,86.3
08011,21.3
08014,0.3
08017,72.6
08025,1.9
08031,8.6
08035,0.3
08039,8.6
08041,8.7
08043,0.4
08055,0.4
08061,49.8
08063,118.2
08071,0.6
08073,44.0
08089,16.8
08095,82.6
08099,59.1
08101,9.9
08121,72.6
08125,139.5
12001,1.2
12005,0.0
12013,234.8
12023,9.5
12029,2.3
12031,0.9
12033,311.4
12035,1.7
12039,13.3
12041,17.2
12045,36.5
12047,17.9
12057,0.0
12059,204.5
12063,1443.4
12065,74.1
12067,22.6
12073,40.5
12075,30.8
12077,0.5
12079,17.2
12083,12.2
12091,73.9
12101,1.7
12103,0.1
12107,0.0
12109,1.7
12113,650.5
12119,1.7
12121,28.5
12127,0.1
12129,0.0
12131,89.2
12133,72.5
13001,466.2
13003,320.95
13005,132.5
13007,471.2
13009,0.2
13013,0.0
13015,0.4
13017,157.14999999999998
13019,561.95
13021,7.1
13023,95.85
13025,3.2
13027,378.4
