fips,mass
01001,1.7
01003,13.6
01011,2.8
01013,6.0
01023,1.2
01025,0.4
01033,6.3
01035,3.0
01047,28.0
01051,5.0
01053,5.2
01059,0.3
01063,0.3
01065,1.2
01077,4.5
01079,6.4
01083,4.8
01085,4.3
01087,1.5
01089,7.2
01091,3.6
01093,0.3
01097,1.5
01099,2.6
01101,2.4
01103,0.6
01105,13.4
01119,2.3
01129,1.7
01131,1.5
01133,0.1
05001,153.9
05003,59.7
05005,0.1
05007,13.0
05009,6.3
05015,8.7
05017,79.7
05021,55.0
05023,17.0
05029,25.4
05031,68.3
05033,37.1
05035,41.5
05037,46.1
05041,95.5
05043,31.6
05045,12.9
05047,14.2
05049,6.1
05053,0.3
05055,50.3
05059,0.1
05063,10.1
05065,6.2
05067,22.4
05069,139.2
05071,34.8
05073,163.8
05075,14.2
05077,102.6
05079,66.0
05081,128.4
05083,10.3
05085,112.3
05087,2.4
05091,143.9
05093,35.9
05095,87.9
05105,3.8
05107,115.2
05111,37.7
05115,30.8
05117,50.6
05119,32.4
05121,8.9
05123,52.6
05131,10.3
05143,9.2
05145,9.7
05147,57.7
05149,45.6
08001,94.2
08003,0.1
08005,0.5
08009,55.6
08011,13.6
08013,0.1
08014,0.9
08017,147.5
08021,0.2
08025,0.3
08035,0.1
08039,15.9
08041,0.5
08043,0.2
08055,0.2
08057,0.5
08059,0.0
08061,55.7
08063,456.3
08069,0.5
08071,0.2
08073,69.3
08075,3.3
08081,0.2
08087,2.7
08089,11.5
08095,258.2
08099,37.3
08101,5.8
08105,0.0
08107,0.0
08109,0.0
08115,1.9
08121,266.4
08123,5.5
08125,490.7
09001,0.4
09003,5.5
09005,9.4
09007,0.4
09009,1.5
09011,11.0
09013,8.1
09015,9.9
10003,68.4
10005,304.5
16009,0.6
16017,0.0
16021,0.0
16049,0.1
16055,0.1
16057,0.0
16069,0.1
17001,115.4
17003,12.2
17005,60.3
17007,105.05
17009,21.9
17011,364.0
17013,24.3
17015,204.9
17017,96.3
17019,89.1
17021,212.8
17023,156.3
17025,117.2
17027,214.5
17029,161.0
17031,5.8
17033,141.7
17035,96.2
17037,385.75
17039,99.1
17041,190.3
17043,2.8
17045,237.4
17047,93.3
17049,172.3
17051,193.6
17053,40.8
17055,83.6
17057,95.8
17059,160.1
17061,133.2
17063,204.5
17065,134.0
17067,117.6
17069,3.2
17071,60.3
17073,345.9
17075,102.5
17077,73.8
17079,148.2
17081,100.6
17083,84.3
17085,156.5
17087,11.7
17089,148.55
17091,49.5
17093,127.94999999999999
17095,120.0
17097,17.85
17099,520.5
17101,154.7
17103,351.5
17105,89.9
17107,204.0
17109,91.2
17111,179.2
17113,330.4
17115,150.3
17117,187.2
17119,136.9
17121,110.9
17123,112.3
17125,149.4
17127,48.6
17129,79.8
17131,185.5
17133,119.3
17135,209.3
17137,147.2
17139,172.1
17141,310.8
17143,122.7
17145,95.1
17147,39.2
17149,180.0
17151,10.6
17153,44.6
17155,34.349999999999994
17157,149.3
17159,108.6
17161,100.25
17163,218.0
17165,94.8
17167,287.4
17169,45.0
17171,67.8
17173,245.1
17175,103.6
17177,241.5
17179,164.3
17181,40.8
17183,66.9
17185,103.9
17187,105.6
17189,285.7
17191,258.1
17193,199.4
17195,330.15
17197,167.5
17199,41.5
17201,122.7
17203,145.2
18001,44.1
18003,52.1
18005,91.6
18007,402.2
18009,30.0
18011,150.5
18013,2.5
18015,102.8
18017,82.8
18019,132.1
18021,41.0
18023,180.0
18025,5.6
18027,146.4
18029,27.2
18031,124.8
18033,25.9
18035,53.0
18037,92.2
18039,62.3
18041,28.2
18043,12.0
18045,60.5
18047,220.2
18049,96.7
18051,147.6
18053,98.5
18055,81.8
18057,84.0
18059,115.9
18061,76.1
18063,105.3
18065,54.4
18067,96.9
18069,39.6
18071,160.3
18073,450.3
18075,61.6
18077,94.9
18079,178.2
18081,89.8
18083,207.7
18085,96.7
18087,35.1
18089,159.2
18091,387.1
18093,53.8
18095,139.1
18097,9.1
18099,76.3
18101,21.9
18103,59.8
18105,13.7
18107,77.8
18109,70.0
18111,265.0
18113,45.0
18115,13.0
18117,81.6
18119,15.9
18121,41.3
18123,25.7
18125,32.7
18127,165.8
18129,128.6
18131,323.8
18133,40.4
18135,87.9
18137,257.3
18139,147.8
18141,61.2
18143,111.2
18145,156.9
18147,83.2
18149,185.7
18151,26.4
18153,96.5
18155,43.4
18157,62.5
18159,120.9
18161,28.2
18163,43.2
18165,32.1
18167,30.4
18169,73.9
18171,53.9
18173,59.1
18175,126.1
18177,47.6
18179,54.1
18181,456.3
18183,38.3
19001,186.4
19003,122.4
19005,14.7
19007,71.3
19009,156.6
19011,109.0
19013,26.4
19015,202.8
19017,24.2
19019,33.4
19021,13.9
19023,23.1
19025,239.2
19027,243.7
19029,207.3
19031,95.1
19033,21.6
19035,11.7
19037,26.6
19039,71.3
19041,12.0
19043,28.2
19045,118.9
19047,288.2
19049,170.7
19051,21.2
19053,111.1
19055,38.9
19057,40.0
19059,7.0
19061,28.1
19063,8.8
19065,29.7
19067,19.2
19069,25.6
19071,217.3
19073,225.0
19075,197.6
19077,155.9
19079,216.1
19081,25.6
19083,242.4
19085,238.8
19087,55.6
19089,24.1
19091,15.0
19093,174.0
19095,75.7
19097,67.5
19099,197.0
19101,43.0
19103,70.3
19105,96.5
19107,67.5
19109,40.5
19111,42.5
19113,85.9
19115,48.1
19117,78.0
19119,14.5
19121,207.3
19123,75.0
19125,236.3
19127,180.6
19129,168.4
19131,20.2
19133,207.5
19135,99.8
19137,180.0
19139,53.0
19141,12.1
19143,9.5
19145,234.1
19147,14.8
19149,18.5
19151,13.2
19153,105.9
19155,457.7
19157,171.5
19159,148.6
19161,235.1
19163,65.8
19165,234.4
19167,21.4
19169,200.0
19171,212.8
19173,156.1
19175,202.6
19177,27.2
19179,36.0
19181,206.9
19183,71.3
19185,183.1
19187,258.7
19189,16.2
19191,30.1
19193,262.3
19195,15.0
19197,23.8
20001,17.9
20003,171.8
20005,208.8
20007,24.6
20009,135.1
20011,11.4
20013,355.8
20015,71.3
20017,29.6
20019,2.7
20021,56.2
20023,121.3
20025,1.5
20027,38.7
20029,26.4
20031,88.6
20033,6.2
20035,21.4
20037,43.9
20039,142.8
20041,115.1
20043,212.5
20045,104.3
20047,139.8
20049,4.9
20051,38.0
20053,35.4
20055,117.2
20057,42.5
20059,118.0
20061,36.9
20063,108.7
20065,98.3
20067,70.9
20069,75.0
20071,63.2
20073,6.8
20075,16.9
20077,9.0
20079,182.3
20081,90.1
20083,17.3
20085,128.7
20087,123.8
20089,43.7
20091,31.7
20093,44.7
20095,27.0
20097,74.8
20099,42.4
20101,22.8
20103,75.8
20105,32.9
20107,51.0
20109,96.8
20111,106.9
20113,212.8
20115,243.7
20117,404.4
20119,62.1
20121,96.9
20123,25.5
20125,35.6
20127,58.5
20129,27.5
20131,355.0
20133,36.4
20135,19.5
20137,222.3
20139,128.5
20141,20.8
20143,16.5
20145,127.1
20147,56.2
20149,134.7
20151,123.2
20153,171.3
20155,126.7
20157,65.8
20159,183.6
20161,54.9
20163,13.5
20165,62.3
20167,24.2
20169,31.3
20171,92.8
20173,128.7
20175,57.7
20177,89.4
20179,305.3
20181,275.5
20183,54.6
20185,169.3
20187,71.6
20189,108.7
20191,156.1
20193,450.1
20195,20.6
20197,60.7
20199,76.3
20201,68.3
20203,87.6
20205,34.4
20207,20.6
20209,9.7
21001,12.9
21003,7.1
21005,1.0
21007,7.4
21009,39.9
21011,2.8
21013,0.1
21015,7.4
21017,7.1
21019,0.2
21021,4.1
21023,2.1
21025,0.1
21027,26.5
21029,3.2
21031,27.8
21033,39.7
21035,9.4
21037,0.8
21039,8.7
21041,0.6
21043,0.4
21045,12.7
21047,120.7
21049,6.8
21051,0.5
21053,1.4
21055,29.4
21057,3.2
21059,98.5
21061,4.2
21063,0.3
21065,1.1
21067,2.8
21069,4.9
21071,0.3
21073,1.4
21075,7.4
21077,2.0
21079,3.4
21081,1.3
21083,20.0
21085,16.5
21087,14.6
21089,0.9
21091,6.4
21093,34.3
21097,7.5
21099,4.4
21101,82.0
21103,8.7
21105,13.3
21107,35.3
21109,0.2
21111,0.6
21113,1.1
21115,0.4
21117,0.5
21121,1.1
21123,24.9
21125,2.0
21127,0.0
21129,0.2
21133,0.0
21135,2.5
21137,14.9
21139,2.8
21141,83.6
21143,0.8
21145,3.6
21147,0.4
21149,51.3
21151,4.0
21153,0.1
21155,17.8
21157,2.2
21161,11.4
21163,23.2
21165,0.1
21167,7.6
21169,7.9
21171,14.4
21173,3.5
21175,1.2
21177,19.2
21179,33.7
21181,2.8
21183,33.0
21185,4.0
21187,2.2
21189,0.3
21191,0.5
21193,0.4
21195,0.3
21197,1.9
21199,16.5
21201,0.2
21203,1.5
21205,0.5
21207,4.5
21209,7.3
21211,28.3
21213,45.7
21215,5.4
21217,19.2
21219,62.8
21221,7.4
21223,4.1
21225,120.9
21227,53.7
21229,6.2
21231,6.6
21233,60.4
21235,1.4
21237,0.2
21239,3.0
22003,0.65
22005,1.9
22009,224.1
22011,4.1
22019,2.25
22025,348.4
22029,235.8
22033,12.2
22035,533.0
22037,10.3
