fips,mass
04001,37.800000000000004
04003,394.65
04005,3.55
04007,11.049999999999999
04009,134.8
04011,62.6
04012,1338.5
04013,2021.15
04015,197.05
04017,36.7
04019,75.35
04021,1579.05
04023,24.1
04025,17.85
04027,617.25
05001,5.2
05005,0.0
05007,2.05
05009,0.0
05017,94.4
05021,7.6
05029,3.8
05031,5.5
05035,26.9
05037,26.4
05041,60.4
05043,20.9
05045,2.3
05047,0.2
05049,0.0
05055,10.8
05057,0.0
05063,77.2
05067,5.5
05069,3.1
05071,0.0
05073,6.4
05075,5.5
05077,5.2
05079,55.9
05081,4.800000000000001
05085,5.2
05087,2.05
05091,10.7
05093,9.0
05095,54.3
05105,2.8
05107,11.7
05111,18.5
05117,5.2
05119,10.3
05121,5.5
05123,5.2
05143,2.05
05145,5.5
05147,5.2
05149,0.1
06005,12.7
06007,17.5
06011,129.4
06013,16.5
06019,2921.3
06021,16.5
06025,13270.2
06027,39.6
06029,884.8
06031,1260.6
06035,102.2
06037,162.6
06039,475.0
06047,957.8
06049,187.9
06051,72.3
06053,340.2
06065,522.6
06067,333.5
06069,287.9
06073,17.5
06077,291.3
06079,80.5
06083,56.5
06085,23.0
06089,59.2
06093,279.1
06095,817.4
06097,308.3
06099,230.1
06101,9.9
06103,4.1
06107,260.7
06111,69.9
06113,853.1
08001,497.8
08003,773.45
08005,88.65
08007,8.100000000000001
08009,1897.4
08011,93.80000000000001
08013,77.7
08014,2.85
08015,0.0
08017,788.1
08021,1403.8
08023,1324.7
08025,68.69999999999999
08029,66.1
08031,59.75
08033,184.35
08035,4.7
08037,1.1
08039,111.95
08041,65.45
08043,0.6
08045,482.95
08049,0.0
08051,0.3
08055,0.0
08059,42.8
08061,884.1999999999999
08063,540.3
08067,33.400000000000006
08069,58.8
08071,20.7
08073,418.35
08075,224.2
08077,35.199999999999996
08081,20.7
08083,227.15
08085,520.95
08087,110.94999999999999
08089,149.05
08095,198.35
08099,844.0999999999999
08101,21.4
08103,50.8
08105,1306.3000000000002
08107,1.6
08109,1981.85
08113,7.8
08115,149.0
08119,0.7
08121,370.95000000000005
08123,362.84999999999997
08125,299.55
16001,516.2
16003,237.6
16005,523.3
16007,415.3
16009,1670.2
16011,3033.1
16013,212.6
16017,72.15
16019,3240.6
16021,797.35
16023,656.8
16025,477.0
16027,2647.5
16029,2913.0
16031,3756.3
16033,330.8
16035,525.55
16037,216.2
16039,958.6
16041,438.5
16043,2797.1
16045,337.7
16047,191.3
16049,3809.0499999999997
