fips,mass
13129,9.5
17047,15.6
17191,55.3
17193,71.8
18005,5.7
18019,36.2
18027,8.9
18029,2.0
18041,2.1
18047,3.2
18053,9.1
18057,6.5
18059,6.7
18061,2.2
18065,2.1
18071,6.9
18075,8.8
18077,40.0
18079,7.0
18083,12.4
18115,10.8
18117,2.6
18135,10.6
18137,10.6
18139,9.7
18143,2.0
18147,23.7
18155,65.0
18175,2.2
18177,16.6
21001,240.5
21003,688.4
21005,20.3
21007,16.1
21009,1093.8
21011,8.5
21015,9.2
21017,49.5
21021,12.7
21023,106.1
21025,45.5
21027,702.4
21029,6.5
21031,19.1
21033,148.5
21035,522.4
21037,9.1
21039,31.7
21041,2.9
21043,24.8
21045,135.4
21047,1643.7
21049,51.4
21051,274.1
21053,7.2
21057,8.1
21059,820.2
21061,17.6
21063,2.9
21065,0.1
21067,29.1
21069,43.3
21073,22.2
21077,62.2
21079,68.7
21081,93.3
21083,401.2
21085,92.0
21087,854.9
21089,32.4
21091,42.8
21093,83.0
21097,103.4
21099,361.8
21101,69.1
21103,163.2
21105,26.0
21107,40.6
21109,17.8
21111,17.6
21113,13.6
21115,0.0
21117,21.9
21123,170.5
21125,65.7
21127,5.0
21135,157.5
21137,18.1
21141,410.5
21143,39.8
21145,20.0
21149,122.7
21151,16.9
21153,32.4
21155,219.8
21157,7.4
21161,59.1
21163,99.4
21165,32.4
21167,19.0
21169,748.5
21171,498.8
21173,20.2
21175,37.2
21177,249.1
21179,202.5
21181,86.0
21183,52.0
21185,3.8
21187,214.6
21189,57.9
21191,72.1
21195,0.2
21197,7.4
21199,84.3
21201,0.9
21203,4.1
21205,6.6
21207,19.1
21209,39.2
21211,63.3
21213,169.7
21215,32.9
21217,171.9
21219,653.5
21221,345.4
21223,73.7
21225,0.8
21227,91.6
21229,11.5
21231,25.2
21233,57.8
21237,32.4
21239,47.5
29021,5.9
29023,11.9
29031,4.4
29061,7.2
29165,7.2
29177,8.2
37021,1.1
37043,1.1
37075,0.1
37087,11.5
37099,0.1
37115,4.7
37121,3.1
37161,0.2
37199,7.9
39001,81.5
39015,44.1
39025,2.2
39053,4.2
39057,2.7
39071,34.4
39079,0.1
39087,0.1
39111,0.2
39113,2.2
39131,1.6
39141,2.4
39145,0.4
47003,14.7
47009,4.3
47011,4.6
47015,5.9
47019,4.6
47021,198.7
47025,38.8
47027,452.5
47029,5.2
47035,4.6
47041,7.8
47043,89.2
47049,1.0
47055,10.8
47057,11.5
47059,14.7
47063,4.6
47067,1.7
47073,36.8
47079,620.8
47081,2.5
47083,2.5
47087,5.2
47089,4.6
47091,3.2
47093,2.9
47099,2.2
47103,5.9
47105,4.6
47107,16.1
47111,2050.6
47117,4.8
47119,5.9
47123,70.2
47125,385.3
47127,5.9
47129,4.6
47133,4.0
47137,13.8
47141,7.2
47143,3.0
47145,4.6
47147,767.4
47149,5.9
47155,1.4
47159,479.7
47161,58.9
47163,4.6
47165,445.4
47169,47.0
47173,4.6
47177,13.4
47179,88.9
47183,229.6
47185,12.0
47187,5.9
47189,5.9
51077,8.3
51105,26.2
51121,8.3
51167,5.8
51169,3.7
51173,8.3
51191,22.7
51197,4.1
54011,0.6
54035,2.8
54053,9.2
54063,0.55
54079,1.8
54107,1.7000000000000002
