fips,mass
04001,317.3
04003,673.7
04005,247.1
04007,248.9
04009,302.5
04011,234.0
04013,33.9
04015,317.3
04017,14.8
04019,80.0
04021,248.3
04023,317.3
04025,183.5
04027,247.0
06001,0.7
06005,501.8
06007,5.7
06009,12.3
06011,543.6
06013,1883.7
06017,212.6
06019,48588.8
06023,114.6
06029,163910.7
06031,2882.3
06033,26103.5
06039,38104.4
06045,4822.3
06047,64496.7
06053,76669.8
06055,2645.3
06057,19.8
06061,8.1
06067,14017.1
06069,2319.8
06073,68.7
06077,37636.7
06079,7830.1
06081,9.8
06083,11489.8
06085,144.6
06087,29661.1
06089,1.2
06093,51.6
06095,4708.8
06097,10682.2
06099,13907.8
06103,81.0
06107,112085.4
06109,233.7
06111,7021.1
06113,19160.8
06115,19.5
08007,15.0
08015,0.2
08029,1622.4
08033,15.0
08045,41.3
08067,45.7
08077,147.9
08083,211.0
08085,113.1
08107,15.0
08113,15.0
16001,95.3
16003,169.2
16005,134.7
16009,47.9
16011,134.7
16013,134.7
16015,151.9
16017,22.8
16019,14.3
16021,2.9
16023,1.7
16025,0.3
16027,210.8
16031,12.0
16035,17.3
16037,0.7
16039,24.4
16041,134.7
16043,134.7
16045,159.5
16047,134.7
16049,18.9
16051,8.6
16053,134.7
16055,8.9
16057,21.5
16059,134.7
16061,1.3
16065,7.2
16067,4.3
16069,47.9
16071,134.7
16073,169.6
16075,206.8
16077,7.6
16079,47.9
16081,134.7
16083,14.3
16087,210.0
30029,19.6
30039,10.0
30047,106.6
30053,10.0
30061,10.0
30063,17.4
30081,215.3
30089,8.7
32001,13.0
32003,26.0
32007,13.0
32009,23.5
32013,16.5
32017,151.1
32019,16.5
32021,16.5
32023,90.0
32027,16.5
32031,16.5
32033,16.5
35001,119.6
35006,41.3
35031,8.7
35039,445.8
35043,300.1
35045,13.0
35049,110.9
35055,52.2
35061,34.8
41001,496.5
41003,1523.15
41005,17839.0
41007,405.0
41009,266.4
41011,1969.4
41013,155.1
41015,1636.4
41017,466.8
41019,1402.75
41021,145.4
41023,215.0
41025,38.1
41027,10836.6
41029,2010.65
41031,350.2
41033,698.95
41035,70.1
41037,400.1
41039,1116.25
41041,1359.95
41043,1228.0
41045,132.5
41047,22366.75
41049,153.7
41051,6309.299999999999
41053,1755.55
41055,55.8
41057,28.6
41059,4471.9
41061,1136.5
41063,877.3
41065,14607.6
41067,15181.45
41069,149.5
41071,4245.25
49001,26.5
49007,6.5
49013,26.5
49015,4.3
49017,2.2
49019,26.5
49021,26.5
49023,16.1
49025,26.5
49027,23.9
49037,26.5
49039,2.2
49041,8.7
49047,23.9
49049,1352.7
49051,26.5
49053,19.6
49055,26.5
53001,9828.8
53003,796.55
53005,105028.4
53007,136532.5
53009,2360.5
53011,2212.6
53013,348.54999999999995
53015,3052.1499999999996
53017,21487.4
53019,278.7
53021,15139.2
53023,1196.4
53025,61552.1
53027,2498.2
53029,146.95
53031,402.75
53033,707.5
53035,321.5
53037,17418.3
53039,14688.2
53041,280.2
53043,575.3
53045,2304.75
53047,106769.0
53049,126.75
53051,962.1
53053,786.0500000000001
53055,511.95000000000005
53057,3591.85
53059,2286.1
53061,305.85
53063,725.5
53065,1014.0
53067,479.2
53069,2274.25
53071,15139.15
53073,34617.2
53075,796.55
53077,412685.6
