fips,mass
01001,52.2
01003,42.5
01005,52.1
01007,33.8
01009,172.9
01013,19.4
01015,48.4
01019,41.9
01021,3412.0
01023,38.7
01025,3.0
01027,47.1
01029,13.7
01031,33.3
01033,74.6
01035,7.5
01037,13.0
01039,45.4
01041,45.4
01043,71.8
01045,49.4
01047,11.8
01049,49.8
01051,24.7
01053,91.0
01055,41.9
01057,27.2
01059,5.9
01061,138.3
01063,11.8
01065,45.4
01067,133.6
01069,33.7
01071,47.1
01073,41.9
01075,41.9
01077,41.9
01079,45.4
01081,19.8
01083,131.3
01087,21.8
01089,41.9
01091,11.7
01093,45.4
01095,15.0
01097,45.4
01099,55.1
01101,23.2
01103,83.7
01105,9.5
01107,41.9
01109,39.9
01111,21.6
01113,42.5
01115,26.3
01117,17.7
01119,11.6
01121,41.9
01123,35.8
01125,43.0
01127,41.9
01129,14.2
01131,39.7
01133,7.5
04001,2.05
04003,19.299999999999997
04005,0.7
04007,0.30000000000000004
04009,0.5
04011,0.0
04013,0.25
04015,3.75
04017,0.2
04019,0.55
04021,0.2
04023,0.7
04025,2.3
04027,0.2
06007,3131.4
06011,21.8
06015,73.4
06017,0.6
06019,3071.4
06021,3874.0
06023,375.5
06029,31.0
06031,195.0
06035,201.5
06037,2.0
06039,292.1
06047,5211.1
06053,15624.2
06057,1.7
06059,1237.3
06065,277.5
06069,2.2
06071,229.2
06073,98.8
06077,2609.4
06079,29999.3
06083,77713.3
06085,0.0
06087,3762.3
06089,170.5
06093,4494.1
06099,1243.4
06101,3891.8
06103,1495.5
06107,1601.3
06111,91714.3
06115,3860.6
09001,756.0
09003,2004.7
09005,690.5
09007,508.55
09009,1826.7
09011,353.0
09013,381.0
09015,861.5
10003,1.7
10005,555.0
12001,91.8
12007,279.6
12009,28.6
12011,25.3
12015,409.0
12017,279.6
12021,900.0
12023,57.2
12027,232.1
12029,232.1
12031,232.1
12041,295.6
12049,232.1
12053,279.6
12055,1246.0
12057,47657.3
12061,62.0
12067,36.7
12069,279.6
12071,232.1
12081,232.1
12083,279.6
12085,854.2
12086,23.8
12089,14.8
12095,305.4
12097,279.6
12101,279.6
12105,279.6
12107,2.9
12109,279.6
12111,232.1
12115,232.1
12117,258.3
12119,68.9
12121,14.3
12125,279.6
12127,5.7
13001,1210.7
13003,375.75
13005,860.4
13009,3.1
13011,0.4
13013,964.8
13015,11.2
13017,541.7
13019,569.1999999999999
13021,17.7
13027,379.45
13029,140.2
13031,29.4
13033,23.0
13035,0.2
13039,1.5
13043,79.3
13045,10.2
13047,6.8
13049,14.7
13051,13.7
13053,197.0
13055,35.8
13057,980.9
13059,3.7
13065,0.4
13069,1436.1
13071,1927.9
13073,1090.2
13075,386.55
13077,188.9
13079,197.0
13081,10.1
13083,204.9
13085,0.6
13087,738.7
13093,379.45
13095,382.5
13099,1733.4
13103,1100.3
13105,4.8
13107,1091.2
13111,964.8
13113,197.0
13115,194.1
13117,964.8
13119,32.4
13121,956.7
13123,691.6
13129,49.2
13131,1415.9
13133,197.0
13137,654.6
13139,10.1
13141,79.8
13143,197.0
13145,15.5
13147,648.6
13149,0.1
13151,3.1
13153,145.0
13155,6.0
13157,7.6
13159,195.0
13161,379.45
13163,1100.3
13165,165.1
13167,191.7
13169,186.9
13171,197.0
13175,239.9
13177,748.8
13185,811.4
13187,54.4
13189,1091.0
13193,186.9
13195,648.6
13197,127.4
13199,197.0
13201,738.7
13205,763.5
13207,197.0
13209,186.9
13211,187.1
13213,37.3
13217,197.0
13219,964.8
13221,648.6
13223,204.9
13225,187.9
13227,964.8
13231,197.0
13233,197.7
13235,262.2
13237,4.7
13241,648.6
13245,209.9
13247,16.1
13251,1984.9
13255,197.0
13257,10.1
13261,23.0
13263,7.4
13265,197.0
13267,1104.7
13269,197.0
13275,1580.6
13277,483.7
13279,838.9
13281,10.1
13283,197.0
13285,10.4
13287,537.3499999999999
13289,10.1
13291,964.8
13293,197.0
13295,31.8
13297,20.1
13299,382.6
13303,188.9
13305,540.4
13307,422.7
13315,379.45
13317,648.6
13319,36.4
13321,2008.3
17001,73.9
17003,25.5
17005,73.9
17007,73.9
17009,35.1
17011,73.9
17013,73.9
17015,33.4
17017,73.9
17019,96.0
17021,73.9
17023,100.6
17025,89.7
17027,45.9
17029,73.9
17031,12.5
17033,88.9
17035,73.9
17037,225.3
17039,73.9
17041,73.9
17043,73.9
17045,20.9
17047,73.9
17049,73.9
17051,73.9
17053,73.9
17055,20.9
17057,62.6
17059,68.4
17061,73.9
17063,73.9
17065,29.2
17067,73.9
17071,73.9
17073,37.6
17075,73.9
17077,73.9
17079,73.9
17081,73.9
17083,73.9
17085,73.9
17087,73.9
17089,73.9
17091,73.9
17093,73.9
17095,144.0
17097,137.7
17099,29.2
17101,73.9
17103,73.9
17105,73.9
17107,167.8
17109,126.9
17111,684.4
17113,73.9
17115,16.7
17117,258.7
17119,73.9
17121,73.9
17123,375.6
17125,136.0
17127,25.9
17129,73.9
17131,12.5
17133,73.9
17135,148.1
17137,73.9
17139,54.3
17141,73.9
17143,171.1
17145,61.3
17147,73.9
17149,363.1
17151,73.9
17155,73.9
17157,73.9
17159,74.3
17161,492.4
17163,73.9
17167,58.4
17169,73.9
17171,49.7
17173,172.8
17175,83.0
17177,73.9
17179,73.9
17181,73.9
17183,2.1
17187,73.9
17189,73.9
17191,73.9
17193,73.9
17195,73.9
17197,8.3
17199,73.9
17201,417.3
17203,73.9
18001,83.0
18003,83.0
18005,83.0
18009,83.0
18011,83.0
18013,83.0
18015,70.1
18017,59.5
18019,83.0
18021,83.0
18023,83.0
18025,83.0
18027,83.0
18029,83.0
18031,123.1
18033,93.5
18035,16.7
18037,77.6
18039,274.1
18041,55.9
18043,83.0
18045,83.0
18047,83.0
18049,79.2
18051,83.0
18053,83.0
18055,12.5
18057,29.2
18059,83.0
18061,41.7
18063,83.0
18065,83.0
18067,242.0
18069,136.9
18071,92.6
18073,151.7
18075,83.0
18077,83.0
18079,83.0
18081,83.0
18083,83.0
18085,70.6
18087,83.0
18089,59.9
18091,70.6
18093,83.0
18095,83.0
18097,83.0
18099,81.3
18101,83.0
18103,70.1
18105,83.0
18107,8.3
18109,83.0
18113,83.0
18115,83.0
18117,12.5
18119,8.3
18121,83.0
18123,16.3
18127,80.0
18129,83.0
18131,0.5
18133,83.0
18135,8.3
18137,83.0
18139,83.0
18141,55.9
18143,83.0
18145,83.0
18147,83.0
18149,72.6
18151,83.0
18153,16.7
18155,83.0
18157,41.7
18163,83.0
18165,83.0
18167,83.0
18169,91.1
18171,83.0
18175,83.0
18177,83.0
18179,150.2
18181,2.8
18183,112.7
19001,33.0
19003,30.5
19005,33.0
19007,15.9
19009,33.0
19011,33.0
19013,33.0
19015,12.5
19017,25.0
19019,33.0
19021,20.9
19027,33.0
19029,33.0
19031,2.1
19033,63.0
19035,33.0
19037,33.0
19039,33.0
19041,63.8
19043,33.0
19045,33.0
19047,33.0
19049,29.2
19051,33.0
19053,33.0
19055,33.0
19057,33.0
19059,33.0
19061,33.0
19065,33.0
19067,29.6
19069,33.0
19071,33.0
19073,33.0
19075,34.2
19077,33.0
19079,33.0
19081,33.0
19083,33.0
19085,33.0
19087,33.0
19089,33.0
19091,33.0
19095,33.0
19097,4.2
19099,33.0
19101,33.0
19103,317.2
19105,33.0
19107,33.0
19109,119.4
19111,33.0
19113,33.0
19115,33.0
19117,33.0
19119,33.0
19121,33.0
19123,8.3
19125,33.0
19127,33.0
19129,16.7
19131,33.0
19133,66.8
19135,33.0
19137,39.2
19139,35.5
19145,33.0
19149,33.0
19153,33.0
19155,33.0
19157,33.0
19159,33.0
19161,68.4
19163,33.0
19165,33.0
19167,33.0
19169,154.4
19171,33.0
19173,62.6
19177,33.0
19179,23.8
19181,12.5
19183,62.6
19185,33.0
19187,33.0
19189,47.6
19191,58.4
19193,33.0
19195,46.3
19197,70.1
20001,1.2
20005,1.6
20009,2.4
20011,0.4
20013,1.8
20015,1.6
20019,2.3
20021,1.6
20025,0.9
20029,1.6
20031,1.6
20035,1.0
20037,1.6
20041,0.7
20043,1.0
20045,1.6
20049,1.6
20053,1.0
20055,3.7
20057,3.1
20059,1.6
20061,0.2
20073,1.6
20079,1.6
20085,1.6
20087,1.6
20089,4.0
20091,0.3
20095,1.6
20099,1.6
20103,1.4
20105,2.6
20107,0.9
20111,1.6
20115,3.4
20117,1.6
20119,1.9
20121,1.6
20123,1.6
20125,1.4
20131,0.2
20133,0.5
20143,1.2
20147,1.6
20149,1.6
20155,1.6
20157,1.6
20161,1.6
20173,8.6
20175,3.0
20177,1.6
20183,1.9
20185,1.6
20191,3.4
20197,1.6
20201,1.6
20205,0.5
20207,0.6
20209,1.6
21001,38.3
21003,25.8
21005,22.2
21007,16.7
21009,13.7
21011,38.8
21013,27.4
21015,38.8
21017,34.2
21019,27.7
21021,32.3
21023,38.8
21025,9.8
21027,29.4
21029,38.8
21031,26.0
21033,31.7
21035,8.3
21037,38.8
21041,13.9
21043,1.1
21045,38.8
21047,31.7
21049,18.6
21051,38.8
21053,33.9
21055,31.7
21057,38.8
21059,75.1
21061,38.8
21063,27.7
21065,27.4
21067,38.8
21069,38.8
21071,0.7
21073,22.8
21075,57.2
21077,4.7
21079,38.8
21081,47.5
21083,83.5
21085,21.3
21087,11.5
21089,38.8
21093,18.6
21095,169.5
21097,98.0
21099,61.9
21101,31.7
21103,39.4
21107,31.7
21109,38.8
21111,25.8
21113,38.8
21115,17.7
21117,36.7
21119,39.4
21121,27.4
21123,38.8
21125,37.9
21127,39.4
21129,27.4
21133,27.4
21135,10.5
21137,17.5
21139,31.7
21141,8.3
21143,11.7
21145,31.7
21147,27.4
21149,68.9
21151,38.8
21153,28.1
21155,42.7
21157,32.1
21161,39.4
21163,14.1
21167,38.8
21169,32.3
21171,33.9
21173,38.8
21175,30.7
21177,31.7
21179,22.2
21181,27.4
21183,12.5
21185,31.3
21187,38.8
21189,27.4
21191,33.9
21193,38.8
21195,1.7
21197,43.7
21199,39.4
21201,27.4
21203,27.7
21205,278.3
21207,33.9
21209,38.8
21211,87.2
21213,2.1
21215,33.0
21217,32.6
21219,29.2
21221,12.5
21223,38.8
21225,8.3
21227,232.2
21229,30.7
21231,15.7
21233,20.9
21235,27.4
21237,38.8
21239,66.4
23001,529.0
23003,336.2
23005,525.5
23007,140.2
23009,181.7
23011,465.9
23013,524.7
23015,529.0
23017,1581.9
23019,1010.7
23021,136.0
23023,526.2
23025,202.5
23027,254.5
23029,529.0
23031,897.25
24001,317.8
24003,268.2
24005,142.1
24009,142.9
24011,201.6
24013,512.3
24015,146.8
24017,18.6
24019,209.8
24021,417.9
24023,387.4
24025,346.0
24027,248.3
24029,144.3
24031,540.6
24033,268.2
24035,46.9
24037,268.2
24039,216.3
24041,215.1
24043,3147.6
24045,189.3
24047,151.9
25001,119.95
25003,119.95
25005,328.95
25007,119.95
25009,553.6500000000001
25011,1356.65
25013,678.3
25015,701.55
25017,1031.5
25019,97.4
25021,119.95
25023,418.55
25027,5445.8
26001,89.6
26003,167.2
26005,3228.9
26007,42.4
26009,3690.0
26011,227.0
26013,167.2
26015,36.8
26017,250.0
26019,1402.9
26021,11885.1
26023,102.44999999999999
26025,55.949999999999996
26027,1641.2
26029,240.0
26031,36.2
26033,167.2
26035,108.4
26037,90.5
26041,276.9
26043,167.2
26045,128.7
26047,40.1
26049,2892.1
26051,149.6
26053,167.2
26055,3880.6
26057,174.2
26059,84.35
26061,38.0
26063,227.0
26065,89.05
26067,266.85
26069,104.4
26071,10.9
26073,164.7
26075,75.75
26077,376.8
26079,31.8
26081,29193.8
26083,59.7
26085,355.3
26087,2416.4
26089,7970.7
26091,740.7
26093,2097.9
26095,167.2
26097,167.2
26099,7828.6
26101,911.7
26103,97.7
26105,29047.2
26107,132.0
26109,179.2
26111,164.9
26113,25.4
26115,1901.9
26117,2164.6
26119,78.3
26121,19837.3
26123,9815.4
26125,6024.7
26127,95418.2
26129,79.2
26131,167.2
26133,148.0
26135,7.5
26137,77.0
26139,12361.6
26141,102.0
26143,1.2
26145,123.0
26147,270.6
26149,106.75
26151,171.8
26153,4.3
26155,137.05
26157,45.0
26159,8987.6
26161,2938.3
26163,750.5
26165,22.2
27001,153.7
27003,71.9
27007,27.1
27009,153.9
27011,118.1
27013,112.7
27015,118.1
27017,1.4
27019,429.6
27021,153.6
27023,118.1
27025,277.2
27031,21.7
27033,118.1
27035,153.9
