fips,mass
01001,118.2
01003,10.1
01005,4.9
01009,7.2
01011,4.9
01013,4.9
01015,1.4
01019,0.7
01021,0.6
01023,4.9
01025,0.25
01027,0.6
01029,0.4
01031,4.9
01033,2.0
01035,3.15
01039,3.45
01041,0.6
01043,0.7
01045,1.75
01047,61.550000000000004
01049,0.5
01051,3.75
01053,3.45
01055,0.7
01057,0.35
01059,2.55
01061,17.85
01063,2.9
01065,0.6
01067,0.25
01069,179.45
01071,0.7
01073,0.6
01075,0.6
01077,1.15
01079,3.15
01081,0.6
01083,1.75
01085,0.6
01087,7.75
01089,1.4
01091,3.75
01093,4.9
01095,0.2
01097,34.5
01099,1.75
01101,4.9
01103,1.15
01105,6.05
01107,0.6
01109,4.9
01111,0.9500000000000001
01113,9.5
01115,0.7
01117,0.6
01119,2.0
01121,0.6
01123,0.35
01125,0.6
01127,0.6
01129,8.05
01131,9.2
01133,4.9
04001,9.45
04003,10.5
04005,9.25
04007,8.6
04009,9.05
04011,16.8
04013,4.199999999999999
04015,9.25
04017,1.05
04019,1.25
04021,9.35
04023,9.05
04025,5.6000000000000005
04027,17.9
05001,27700.4
05003,710.7
05017,7439.9
05021,0.2
05031,0.2
05035,9929.7
05037,21814.9
05041,5982.9
05043,1311.7
05055,0.2
05063,0.2
05069,18363.9
05075,0.2
05077,2800.5
05079,5358.0
05085,28897.4
05095,11699.3
05107,4481.5
05111,0.2
05117,20502.2
05123,11153.3
05145,0.2
05147,16870.7
06007,200.2
06011,1433.8
06013,690.3
06017,46.9
06019,11363.4
06021,1482.2
06025,7.0
06029,8421.0
06031,5871.3
06033,0.7
06035,293.2
06037,39.4
06039,202.8
06043,58.7
06047,1015.2
06053,4165.8
06059,15.0
06061,1.6
06065,788.4
06067,219.5
06069,143.5
06071,2.6
06073,89.6
06077,1735.5
06079,19.1
06083,271.9
06085,5.9
06087,145.1
06089,827.8
06093,140.5
06095,1588.0
06097,37.4
06099,541.8
06101,449.7
06103,205.7
06107,1917.0
06111,136.0
06113,1514.6
06115,9.3
09001,4.2
09003,10.4
09005,3.4
09007,2.6
09009,9.6
09011,1.7
09013,1.5
09015,4.6
10003,0.1
12001,222.6
12003,45.6
12007,339.4
12009,128.2
12011,0.2
12015,312.4
12017,339.4
12019,3.8
12021,312.4
12023,6.95
12027,2615.2
12029,0.35
12031,45.800000000000004
12035,128.6
12041,0.5
12043,217.7
12047,32.2
12049,2269.5
12051,3666.3
12053,155.0
12055,2349.9
12057,372.2
12061,1358.1
12067,217.7
12069,416.0
12071,332.5
12075,143.3
12079,90.8
12081,310.4
12083,77.3
12085,866.7
12086,301.8
12089,0.65
12093,314.9
12095,302.4
12097,388.2
12099,308.5
12101,249.6
12103,221.6
12105,3853.9
12107,131.1
12109,1398.8
12111,1129.4
12115,217.5
12117,154.8
12119,211.6
12121,45.5
12123,52.300000000000004
12125,121.7
12127,49.8
13001,2373.9
13003,172.1
13005,309.1
13009,413.4
13011,134.35
13015,0.15000000000000002
13017,49.4
13019,307.5
13021,284.65
13023,920.5
13025,87.5
13027,1019.0
13029,470.7
13031,2754.5
13033,1287.5
13035,277.1
13037,28.75
13039,3.9
13043,3176.75
13045,35.0
13047,0.0
13049,413.4
13051,413.4
13055,1.4
13059,34.3
13061,23.15
13065,49.4
13069,243.4
13071,563.3
13073,981.7
13075,619.2
13077,35.0
13079,1658.75
13081,1136.5
13083,0.8
13085,34.3
13087,320.95000000000005
13091,796.65
13093,669.8
13095,12.5
13097,56.2
13099,12.5
13101,49.4
13103,1107.9
13105,636.15
13107,2739.1000000000004
13109,1523.8
13111,12.3
13113,1.7
13115,0.35
13119,65.55
13121,0.1
13123,11.5
13125,1015.5
13127,15.4
13129,1.05
13131,0.25
13133,415.1
13135,34.3
13137,19.05
13139,81.9
13141,450.2
13143,1.0
13145,38.7
13147,661.85
13149,61.9
13151,38.1
13153,1710.7
13155,49.4
13157,27.3
13159,413.4
