fips,mass
17001,218.2
17003,1.8
17005,19.1
17007,120.7
17009,41.5
17011,238.8
17013,7.7
17015,134.4
17017,30.6
17019,618.6
17021,67.6
17023,34.2
17025,25.6
17027,32.6
17029,35.2
17031,6.4
17033,31.0
17035,21.0
17037,441.9
17039,107.0
17041,41.6
17043,3.2
17045,51.9
17047,15.4
17049,37.6
17051,42.3
17053,283.3
17055,13.8
17057,181.2
17059,26.4
17061,42.3
17063,234.9
17065,22.1
17067,222.5
17069,0.5
17071,114.0
17073,227.0
17075,711.8
17077,11.2
17079,32.4
17081,16.6
17083,26.8
17085,102.7
17087,1.8
17089,170.3
17091,343.8
17093,146.9
17095,227.0
17097,20.4
17099,595.7
17101,33.8
17103,230.4
17105,624.0
17107,220.3
17109,172.5
17111,205.0
17113,356.8
17115,162.3
17117,59.4
17119,43.5
17121,24.2
17123,121.3
17125,161.3
17127,8.0
17129,86.2
17131,121.7
17133,18.1
17135,66.5
17137,46.7
17139,37.6
17141,203.6
17143,132.4
17145,14.5
17147,272.4
17149,57.2
17151,1.8
17153,6.8
17155,22.5
17157,22.7
17159,23.7
17161,65.7
17163,33.1
17165,15.6
17167,91.3
17169,85.1
17171,21.5
17173,53.6
17175,111.9
17177,158.4
17179,177.4
17181,6.2
17183,464.4
17185,17.1
17187,199.6
17189,43.4
17191,42.6
17193,32.9
17195,216.2
17197,192.4
17199,6.3
17201,80.5
17203,156.8
18001,88.8
18003,105.1
18005,71.1
18007,269.1
18009,42.3
18011,116.9
18013,1.1
18015,140.7
18017,113.2
18019,25.4
18021,75.8
18023,139.8
18025,2.5
18027,32.0
18029,5.2
18031,96.9
18033,52.2
18035,74.5
18037,20.2
18039,85.2
18041,39.6
18043,5.4
18045,111.8
18047,42.3
18049,132.3
18051,32.3
18053,76.5
18055,17.9
18057,65.2
18059,90.0
18061,34.5
18063,81.7
18065,76.6
18067,75.3
18069,79.8
18071,72.6
18073,301.2
18075,86.7
18077,18.2
18079,34.2
18081,69.8
18083,45.4
18085,132.3
18087,70.8
18089,106.5
18091,259.0
18093,24.4
18095,108.0
18097,7.1
18099,104.4
18101,4.8
18103,81.8
18105,6.2
18107,143.8
18109,54.4
18111,177.3
18113,90.7
18115,2.5
18117,36.9
18119,29.4
18121,76.3
18123,11.6
18125,7.1
18127,110.9
18129,28.1
18131,216.6
18133,74.6
18135,123.7
18137,49.4
18139,114.8
18141,83.7
18143,21.3
18145,121.9
18147,18.2
18149,124.2
18151,53.1
18153,21.1
18155,8.3
18157,115.5
18159,93.9
18161,39.7
18163,9.4
18165,59.4
18167,56.1
18169,101.1
18171,99.6
18173,12.9
18175,57.1
18177,67.0
18179,109.0
18181,305.3
18183,77.3
19001,31.0
19003,20.3
19005,84.4
19007,27.8
19009,143.1
19011,232.8
19013,152.1
19015,159.5
19017,138.9
19019,191.8
