fips,mass
04001,0.0
04003,0.0
04015,0.0
04025,0.0
06005,33.5
06007,70.2
06009,6.8
06011,17.3
06013,26.7
06019,3241.9
06021,1.1
06023,0.1
06025,399.0
06029,677.7
06031,2368.7
06033,21.2
06039,581.1
06045,0.1
06053,2906.5
06055,0.4
06057,4.9
06059,26.1
06061,21.5
06065,118.3
06067,6.9
06069,579.5
06073,17.1
06077,194.8
06079,304.2
06083,1548.5
06085,54.7
06087,800.1
06093,2.0
06095,71.1
06097,0.1
06099,39.3
06101,84.4
06103,111.0
06107,981.2
06111,289.2
06113,749.3
16017,0.9
16021,0.1
16049,0.9
16055,0.1
16057,0.1
16061,0.9
16069,11.0
32003,0.0
41001,19.5
41003,1.4
41005,14.1
41007,0.2
41009,0.2
41011,5.4
41013,0.05
41015,5.4
41017,0.2
41019,1.1
41021,5.3
41023,0.6
41025,0.0
41027,0.2
41029,1.1
41031,0.1
41033,0.3
41035,2.7
41037,0.05
41039,2.9
41041,0.1
41043,6.6
41045,662.3
41047,157.2
41049,885.3
41051,0.6
41053,0.4
41057,0.3
41059,19.5
41061,7.1
41065,5.3
41067,1.2
41069,0.0
41071,1.7
53001,112.0
53003,9.6
53005,3802.7
53007,64.5
53009,0.7
53011,0.3
53015,0.15000000000000002
53017,112.0
53019,0.0
53021,335.0
53025,1911.5
53027,0.1
53029,0.4
53031,0.1
53033,4.1
53035,0.6
53037,2.6
53039,112.0
53041,0.35
53043,112.0
53045,0.1
53047,3.5
53049,0.1
53051,0.1
53053,0.95
53055,0.2
53057,1.05
53061,1.2
53063,3.9
53065,3.4
53067,1.5
53069,0.1
53071,1905.3
53073,1.1
53075,604.9
53077,2450.9
