fips,mass
16005,10.9
16007,9.0
16009,4.9
16011,117.9
16017,0.2
16019,66.4
16021,3.2
16023,19.8
16029,72.6
16033,17.0
16035,2.8
16037,9.0
16041,7.3
16043,71.4
16049,6.1
16051,78.1
16055,2.8
16057,30.7
16059,2.2
16061,7.7
16065,94.3
16069,22.2
16071,20.4
16077,104.2
16081,7.0
27005,12.9
27027,30.2
27029,9.1
27069,41.7
27087,10.7
27089,9.1
27107,9.1
27113,26.1
27119,9.2
27125,24.0
27135,32.2
30001,18.8
30003,16.2
30005,54.3
30007,6.1
30009,3.2
30011,1.7
30013,13.0
30015,59.2
30017,0.8
30019,131.8
30021,67.4
30023,1.4
30025,6.8
30027,25.0
30029,18.6
30031,54.8
30033,21.6
30035,25.8
30037,1.8
30039,0.2
30041,91.3
30043,8.9
30045,12.4
30047,8.7
30049,3.8
30051,44.3
30053,3.9
30055,107.6
30057,32.7
30059,1.6
30063,2.1
30065,2.1
30067,4.1
30069,3.8
30071,33.1
30073,29.7
30075,0.1
30077,3.2
30079,8.9
30081,1.5
30083,85.8
30085,171.9
30087,5.6
30089,5.1
30091,200.2
30095,8.9
30097,6.8
30099,16.6
30101,53.5
30103,13.0
30105,166.1
30107,5.4
30109,8.0
30111,20.6
32001,1.9
32005,1.9
32013,1.9
32019,1.9
32027,1.9
38001,26.2
38003,31.2
38005,200.1
38007,8.9
38009,403.4
38011,30.1
38013,129.0
38015,17.1
38017,38.9
38019,121.9
38021,13.0
38023,336.4
38025,69.1
38027,28.9
38029,19.9
38031,25.2
38033,23.8
38035,59.3
38037,28.4
38039,32.6
38041,83.7
38043,37.1
38045,21.6
38047,20.5
38049,190.7
38051,24.5
38053,86.6
38055,142.2
38057,22.2
38059,54.6
38061,416.4
38063,43.3
38065,18.6
38067,79.8
38069,211.8
38071,61.0
38073,16.5
38075,276.1
38077,23.4
38079,165.2
38081,13.0
38083,60.7
38085,11.0
38087,38.0
38089,69.1
38091,18.4
38093,55.8
38095,71.9
38097,37.8
38099,83.3
38101,591.0
38103,78.5
38105,558.2
41013,0.4
41017,0.6
41021,10.2
41023,0.3
41025,0.3
41027,0.1
41031,3.1
41035,10.7
41045,2.5
41049,13.1
41055,4.5
41065,2.8
41069,0.3
46003,0.9
46005,2.5
46007,2.5
46013,5.7
46015,1.4
46017,0.9
46019,0.6
46021,11.8
46025,7.6
46029,8.1
46031,14.6
46033,0.9
46037,10.9
46039,3.2
46041,3.6
46045,17.4
46047,0.0
46049,11.2
46051,5.6
46053,0.2
46055,6.3
46057,2.2
46059,4.4
46063,6.2
46065,7.4
46069,4.7
46071,2.8
46073,0.8
46075,6.2
46081,0.9
46085,6.6
46089,0.9
46091,0.9
46093,3.0
46095,2.3
46102,0.9
46103,5.1
46105,7.7
46107,28.4
46109,5.6
46115,14.5
46117,6.2
46119,16.6
46121,0.9
46123,2.8
46129,19.6
46137,5.9
49003,5.1
49005,3.9
49007,0.0
49011,0.3
49013,0.0
49015,0.3
49019,0.1
49029,0.3
49037,1.2
49043,0.3
49045,0.3
49047,0.3
49057,0.3
56003,0.8
56005,0.5
56009,0.2
56011,0.8
56013,0.8
56015,0.2
56021,0.2
56027,0.1
56029,3.6
56031,0.2
56033,0.2
56045,0.2
