fips,mass
01001,2.6
01003,14.2
01005,1.3
01007,2.3
01009,12.9
01011,0.6
01013,0.2
01015,14.4
01017,0.3
01019,46.0
01021,1.3
01023,0.2
01027,0.3
01029,1.1
01031,1.0
01033,33.4
01035,0.2
01039,1.1
01041,0.1
01043,51.2
01045,0.8
01047,13.4
01049,87.6
01051,1.6
01053,3.5
01055,13.6
01057,1.2
01059,2.4
01061,1.7
01063,0.4
01065,0.4
01067,0.8
01069,1.9
01071,149.3
01073,0.4
01075,1.9
01077,32.0
01079,45.4
01081,0.3
01083,72.4
01085,2.4
01087,1.4
01089,48.8
01091,2.8
01093,4.5
01095,32.8
01097,3.0
01099,0.7
01101,4.5
01103,8.9
01105,22.0
01107,3.7
01109,2.1
01111,0.3
01113,0.0
01115,0.4
01117,2.7
01119,3.7
01121,5.4
01123,0.3
01125,3.9
01127,1.5
01129,0.2
01131,0.2
01133,0.2
05001,6.0
05003,1.5
05007,1.0
05017,5.5
05019,1.5
05021,51.3
05025,0.0
05027,0.1
05029,0.6
05031,50.1
05033,8.1
05035,6.4
05037,4.4
05041,6.0
05043,1.2
05045,0.3
05047,1.3
05049,0.4
05053,0.0
05055,35.4
05057,0.1
05059,0.0
05063,10.7
05065,0.0
05067,53.3
05069,3.7
05071,1.2
05073,6.3
05075,30.6
05077,4.4
05079,2.5
05081,4.2
05083,1.7
05085,3.4
05087,0.2
05091,7.8
05093,120.9
05095,3.2
05105,0.1
05107,7.7
05111,69.0
05115,3.7
05117,3.2
05119,0.6
05121,13.4
05123,4.2
05125,0.0
05131,0.6
05133,0.2
05143,0.2
05145,15.1
05147,3.8
05149,2.1
08001,1.4
08009,0.5
08017,0.3
08025,0.0
08059,0.4
08061,0.5
08063,5.9
08069,0.30000000000000004
08073,0.5
08075,0.9
08087,0.4
08089,0.1
08095,0.3
08099,0.5
08101,0.5
08115,1.5499999999999998
08121,0.4
08123,0.4
08125,5.7
10001,60.1
10003,15.7
10005,35.0
12003,0.0
12013,0.5
12023,0.0
12033,0.1
12039,0.1
12045,0.0
12047,0.3
12059,1.0
12063,1.0
12065,0.2
12067,0.3
12073,0.1
12079,0.1
12089,0.0
12091,0.1
12113,0.3
12121,0.3
12131,0.1
12133,0.4
13001,0.9
13003,0.7
13005,0.1
13007,0.4
13011,0.4
13015,2.2
13017,0.1
13019,0.1
13021,0.3
13023,3.8
13025,0.1
13027,4.0
13029,0.2
13031,2.9
13033,2.8
13035,0.3
13037,0.1
13043,0.2
13045,0.2
13055,2.6
13059,0.5
13061,0.1
13065,0.1
13069,1.0
13071,1.1
13073,0.2
13075,0.1
13077,0.2
13079,0.3
13081,0.3
13085,0.5
13087,0.7
13091,2.4
13093,2.8
13095,0.1
13097,0.2
13099,0.7
13101,0.1
13103,1.2
13105,3.0
13107,1.8
13109,0.1
13111,0.2
13115,4.1
13119,0.8
13121,0.0
13123,0.3
13125,0.3
13127,0.0
13129,7.5
13131,0.9
13135,0.5
13137,0.1
13139,1.2
13145,0.2
13147,3.3
13149,0.3
13151,0.2
13153,1.1
13155,0.1
13157,0.4
13161,0.1
13163,5.3
13165,0.4
13167,2.8
13171,0.2
13173,0.1
13175,3.7
13177,1.8
13179,0.0
13183,0.1
13185,1.0
13189,0.2
13193,2.1
13195,2.1
13197,0.8
13199,0.2
13201,0.3
13205,0.6
13209,1.5
13211,1.5
13213,2.7
13217,0.4
13219,0.0
13221,0.8
13225,1.8
13229,0.7
13231,0.2
13233,1.3
13235,0.9
13237,0.3
13243,2.2
13245,0.2
13249,0.2
13251,1.3
13253,2.1
13255,0.3
13259,0.2
13261,1.3
13267,1.7
13269,1.9
13271,0.1
13273,0.8
13275,1.1
13277,0.1
13279,1.5
13281,0.5
13283,1.1
13285,0.2
13287,0.1
13289,0.3
13291,0.5
13293,0.2
13295,5.5
13297,0.5
13299,0.5
13303,2.6
13305,0.1
13307,0.3
13309,0.4
13311,0.5
13313,0.5
13315,0.4
13319,0.3
13321,0.4
17001,25.6
17003,21.5
17005,44.9
17007,21.2
17009,5.3
17011,164.1
17013,15.6
17015,50.3
17017,36.9
17019,283.5
17021,101.4
17023,92.8
17025,127.0
17027,66.4
17029,87.0
17031,2.6
17033,74.8
17035,56.6
17037,69.1
17039,91.5
17041,89.4
17043,0.2
17045,117.1
17047,14.9
17049,103.4
17051,125.0
17053,130.4
17055,28.5
17057,21.6
17059,25.3
17061,62.9
17063,55.5
17065,26.6
17067,26.9
17069,1.7
17071,9.8
17073,203.6
17075,313.2
17077,75.3
17079,86.7
17081,42.5
17083,35.2
17085,55.7
17087,14.9
17089,33.8
17091,133.6
17093,28.3
17095,24.1
17097,3.9
17099,123.0
17101,80.0
17103,141.0
17105,292.3
17107,157.1
17109,19.9
17111,34.1
17113,311.1
17115,138.3
17117,86.6
17119,78.0
17121,83.0
17123,79.8
17125,110.0
17127,17.8
17129,62.8
17131,114.0
17133,52.9
17135,101.8
17137,64.3
17139,66.7
17141,103.9
17143,96.6
17145,61.5
17147,129.4
17149,72.9
17151,2.9
17153,36.9
17155,21.4
17157,75.0
17159,63.5
17161,55.6
17163,76.1
17165,20.1
17167,122.7
17169,10.7
17171,33.0
17173,122.0
17175,76.8
17177,90.0
17179,125.4
17181,36.6
17183,224.6
17185,16.7
17187,21.3
17189,112.3
17191,50.0
17193,44.6
17195,103.2
17197,51.8
17199,22.3
17201,67.3
17203,123.9
18001,87.0
18003,116.4
18005,109.3
18007,98.3
18009,21.7
18011,178.9
18013,0.2
18015,66.3
18017,56.1
18019,32.0
18021,80.0
18023,190.2
18025,0.6
18027,25.2
18029,9.5
18031,134.4
