fips,mass
01003,4.0
01005,5.1
01013,16.4
01023,1.1
01025,4.0
01031,4.0
01035,1.2
01039,1.6
01041,2.0
01045,3.4
01053,4.4
01061,4.1
01067,4.2
01069,4.4
01097,34.5
01099,4.0
01109,4.0
01113,1.6
01129,1.0
01131,4.0
04001,249.3
04003,4.1
04005,47.9
04007,248.7
04009,48.4
04011,172.14999999999998
04012,12.0
04013,237.25
04015,61.6
04017,1.5
04019,0.8500000000000001
04021,279.55
04023,0.75
04025,48.9
04027,321.25
05001,685.3
05003,175.1
05017,625.4
05019,45.4
05021,628.8
05025,0.3
05027,2.2
05029,68.4
05031,613.9
05035,731.2
05037,502.5
05041,690.0
05043,133.8
05045,34.9
05053,0.5
05055,434.4
05059,1.5
05063,130.7
05067,653.1
05069,423.5
05075,375.3
05077,503.2
05079,285.1
05085,393.7
05093,1482.2
05095,367.6
05105,7.3
05107,878.0
05111,846.6
05117,360.1
05119,72.1
05121,164.2
05123,483.4
05125,0.5
05145,184.9
05147,438.8
06007,23.2
06011,10.3
06013,20.0
06017,0.0
06019,2110.2
06025,173.5
06029,2111.5
06031,752.0
06033,0.1
06037,0.1
06039,264.4
06047,901.3
06053,3074.6
06055,68.1
06061,9.5
06065,43.7
06067,10.9
06069,93.8
06077,78.0
06079,36.1
06083,333.6
06085,127.4
06087,9.0
06095,40.4
06097,88.1
06099,200.9
06101,84.5
06103,5.9
06107,635.4
06111,131.9
06113,36.6
06115,9.3
09001,0.3
09003,7.9
09005,1.1
09007,0.4
09009,1.6
09011,0.5
09013,1.5
09015,0.2
12001,3.5
12003,1.1
12005,2.8
12007,3.4
12009,0.6
12011,0.0
12013,3.7
12015,3.5
12017,3.4
12019,0.0
12021,3.5
12023,4.1
12027,40.8
12029,0.9
12031,5.0
12033,7.9
12035,0.1
12039,3.7
12041,0.0
12043,3.4
12045,3.7
12047,1.5
12049,32.5
12051,57.1
12053,0.5
12055,35.5
12057,3.9
12059,2.9
12061,21.2
12063,25.2
12065,28.6
12067,5.8
12069,6.5
12071,3.8
12073,2.9
12075,0.1
12077,0.9
12079,4.1
12081,3.4
12083,1.2
12085,12.1
12086,3.3
12089,3.3
12091,2.9
12093,3.5
12095,2.8
12097,4.2
12099,3.4
12101,2.0
12103,3.5
12105,60.1
12107,0.1
12109,0.0
12111,17.6
12113,2.7
12115,3.4
12117,0.5
12119,3.3
12121,4.5
12123,0.9
12127,0.8
12129,0.6
12131,2.9
12133,1.5
13001,63.1
13003,4.3
13005,8.3
13007,13.1
13009,12.3
13011,3.3
13013,10.8
13017,18.6
13019,124.0
13021,12.3
13023,3.5
13025,1.6
13027,17.9
13029,12.4
13031,81.4
13033,32.5
13035,12.3
13037,70.3
13039,0.2
13043,106.1
13045,3.8
13049,12.3
13051,12.3
13053,1.1
13057,0.4
13059,10.8
13061,6.1
13063,0.1
13065,4.9
13067,10.9
13069,10.9
13071,118.6
13073,40.2
13075,13.1
13077,3.8
13079,47.25
13081,101.1
13085,1.2
13087,6.1
13089,0.1
13091,7.8
13093,122.1
13095,210.5
13097,0.1
13099,3.4
13101,14.3
13103,40.2
13105,15.2
13107,92.7
13109,44.5
13111,1.2
13113,0.1
13117,10.8
13119,0.5
13121,10.9
13123,0.4
13125,32.4
13127,0.2
13131,49.2
13133,6.25
13135,0.0
13137,7.9
13139,0.1
13141,6.5
13143,0.1
13145,0.45
13147,22.9
13149,3.8
13151,3.8
13153,43.099999999999994
13155,44.0
13157,1.3
13159,6.15
13161,11.0
13163,228.6
13165,27.8
13167,6.25
13169,6.25
13171,1.2
13173,11.0
13175,4.9
13177,110.8
13179,12.4
13181,2.9
13183,2.1
13185,110.7
13189,40.2
13191,0.2
13193,82.05
13195,8.6
13197,3.9
13199,3.8
13201,6.0
13205,250.9
13207,0.65
13209,27.35
13211,2.5
13215,0.1
13217,6.15
13219,0.5
13221,21.7
13225,312.65000000000003
13227,0.1
13229,86.7
13231,0.55
13235,49.449999999999996
13237,12.3
13239,0.3
13241,7.8
13243,17.9
13245,6.0
13247,12.3
13249,3.9
13251,228.5
13253,6.0
13255,3.8
13257,1.2
13259,6.1
13261,6.1
