fips,mass
06019,13.1
06029,15.3
06031,63.9
06053,88.0
06069,8.6
06079,79.3
06083,24.5
06085,1.2
06107,0.1
17011,0.0
17015,0.4
17019,0.4
17037,1.3
17043,1.3
17073,0.4
17085,0.4
17089,1.3
17091,0.0
17093,1.1
17099,15.6
17103,0.75
17105,0.4
17111,1.3
17125,0.6
17131,0.4
17141,0.6000000000000001
17161,1.5
17177,0.4
17195,0.6000000000000001
17201,0.0
17203,0.4
19005,0.0
19013,0.0
19017,0.0
19019,0.0
19037,0.1
19043,0.0
19055,0.0
19061,0.0
19065,0.0
19089,0.0
19191,0.0
26005,0.0
26011,0.0
26015,0.0
26017,0.0
26021,0.4
26023,0.7
26025,0.1
26027,11.1
26035,0.0
26037,0.0
26045,0.0
26049,0.0
26051,0.0
26057,0.1
26059,0.0
26063,1.2
26065,0.0
26067,0.0
26073,0.7
26075,0.1
26077,4.3
26081,0.1
26087,0.1
26091,0.0
26093,0.0
26099,0.9
26107,0.0
26111,0.0
26115,0.1
26117,0.7
26125,0.0
26133,0.7
26139,0.1
26145,0.0
26147,0.0
26149,5.8
26151,0.0
26155,0.0
26157,1.0
26159,0.0
26161,0.1
26163,0.1
27037,10.7
27039,0.3
27045,0.0
27049,1.2
27055,0.3
27099,0.3
27109,0.3
27157,0.3
27169,0.0
41001,0.4
41027,0.0
41049,0.4
41059,16.4
41061,0.0
41063,0.0
41065,0.0
53001,10.6
53005,10.6
53007,0.0
53009,0.5
53011,0.2
53013,10.6
53015,0.0
53019,0.0
53021,10.6
53025,8.7
53027,0.0
53029,0.1
53031,0.0
53033,0.5
53035,0.1
53037,0.0
53039,10.6
53041,0.0
53043,20.0
53045,0.0
53047,0.0
53049,10.6
53051,10.6
53053,0.1
53055,0.0
53057,0.4
53059,10.6
53061,0.1
53063,0.1
53065,0.0
53067,0.2
53069,10.6
53071,6.5
53073,0.4
53075,0.0
53077,0.0
55001,15.4
55003,0.2
55009,0.0
55011,0.4
55015,2.8
55019,0.0
55021,1.4
55023,0.0
55025,3.6500000000000004
55027,6.6
55029,3.0
55033,2.3
55035,0.0
55037,0.2
55039,17.4
55043,0.1
55045,0.0
55047,9.3
55049,0.6
55053,0.4
55055,0.0
55057,0.2
55059,0.0
55061,2.1
55063,0.0
55065,0.0
55067,5.4
55069,0.2
55071,3.8
55073,0.1
55075,0.9
55077,0.2
55079,0.1
55081,0.0
55083,4.6
55085,0.0
55087,0.0
55089,0.6
55091,0.4
55093,0.4
55097,30.6
55099,0.0
55101,0.4
55103,0.0
55105,29.75
55109,2.2
55111,8.4
55115,0.4
55117,3.7
55119,0.0
55121,0.0
55123,0.0
55127,1.5
55131,1.4
55133,0.0
55135,0.4
55137,14.5
55139,3.4
55141,0.0
