fips,mass
04001,0.0
04003,0.0
04005,0.0
04007,0.0
04009,0.0
04011,0.0
04013,0.0
04015,0.0
04017,0.0
04019,0.0
04021,0.0
04023,0.0
04025,0.0
04027,0.0
06001,0.4
06007,5.4
06009,0.1
06011,37.1
06013,1.1
06019,607.7
06025,1165.0
06029,430.8
06033,8.8
06037,6.3
06039,174.7
06047,20.6
06053,3790.1
06055,0.1
06059,149.7
06065,41.8
06067,4.4
06069,1506.2
06071,14.0
06073,61.4
06077,221.2
06079,21.3
06081,3.5
06083,240.1
06085,75.3
06087,770.7
06093,350.0
06095,16.0
06097,0.0
06099,33.4
06101,37.5
06107,185.2
06111,1612.3
09001,0.0
09003,0.8
09005,0.1
09007,0.0
09009,0.2
09011,0.1
09013,0.2
09015,0.0
10003,0.0
24001,0.0
24005,0.0
24011,0.1
24013,0.1
24015,0.0
24021,0.1
24023,0.0
24025,0.0
24027,0.0
24029,0.0
24031,0.1
24035,0.0
24041,0.0
24043,0.0
25001,0.0
25003,0.1
25005,0.4
25007,0.2
25009,0.2
25011,0.5
25013,0.2
25015,1.2
25017,0.2
25019,0.0
25021,0.1
25023,0.1
25025,0.2
25027,0.2
32003,0.0
32009,0.0
32017,0.0
32021,0.0
32023,0.0
33001,0.0
33003,0.0
33005,0.0
33007,0.0
33009,0.1
33011,0.1
33013,0.1
33015,0.1
33017,0.0
33019,0.0
34001,0.3
34003,0.3
34005,0.1
34007,0.3
34009,0.2
34011,0.3
34013,0.2
34015,1.2
34019,0.2
34021,0.1
34023,0.3
34025,0.1
34027,0.1
34029,0.3
34031,0.2
34033,0.3
34035,0.0
34037,0.1
34041,0.1
36001,0.1
36021,0.2
36025,0.0
36027,0.05
36035,0.0
36039,0.05
36057,0.0
36071,0.25
36079,0.0
36083,0.2
36087,0.0
36091,0.0
36093,0.1
36095,0.2
36105,0.0
36111,0.25
36115,0.0
36119,0.0
41001,0.4
41003,0.1
41005,0.1
41009,0.0
41021,0.0
41027,3.75
41039,0.1
41041,0.5
41043,0.1
41047,0.5
41049,0.0
41051,0.0
41053,0.0
41055,0.0
41057,0.0
41059,2.4
41061,1.8
41063,1.4
41065,0.2
41067,0.1
41071,0.0
42001,3.1
42003,0.0
42009,0.0
42011,0.2
42013,0.0
42015,0.0
42017,0.1
42021,0.0
42025,0.0
42027,0.1
42029,0.1
42033,0.0
42035,0.0
42037,0.0
42041,0.5
42043,0.0
42045,0.0
42047,0.0
42051,0.0
42055,0.9
42057,0.0
42059,0.0
42061,0.0
42067,0.1
42069,0.0
42071,0.5
42075,0.0
42077,0.1
42079,0.0
42081,0.0
42083,0.0
42087,0.1
42089,0.0
42091,0.0
42093,0.0
42095,0.0
42097,0.1
42099,0.0
42101,0.0
42103,0.0
42105,0.0
42107,0.1
42109,0.1
42111,0.0
42113,0.0
42115,0.0
42117,0.0
42119,0.0
42125,0.1
42127,0.0
42129,0.0
42131,0.0
42133,0.9
44001,0.0
44003,0.0
44005,0.1
44007,0.1
44009,0.1
50001,0.0
50003,0.0
50005,0.0
50007,0.1
50009,0.0
50011,0.0
50013,0.0
50015,0.0
50017,0.0
50019,0.0
50021,0.0
50023,0.1
50025,0.1
50027,0.0
53001,16.9
53003,1.15
53005,111.0
53007,74.7
53009,1.2
53011,12.3
53013,0.1
53015,6.9
53017,16.6
53019,0.2
53021,18.0
53023,2.45
53025,70.7
53027,2.6
53029,0.7
53031,2.5
53033,1.7
53035,1.8
53037,42.9
53039,20.6
53041,1.6
53043,1.6
53045,1.1
53047,8.9
53049,1.0
53051,0.5
53053,4.8
53055,1.3
53057,10.4
53059,1.0
53061,1.4
53063,1.4
53065,0.5
53067,2.8
53069,1.0
53071,6.8500000000000005
53073,255.0
53075,1.15
53077,110.1
