fips,mass
04001,12.9
04003,76.4
04005,0.0
04007,3.1
04009,10.1
04011,0.4
04013,1.8
04015,12.9
04017,0.1
04019,12.9
04021,0.2
04023,12.9
04025,15.0
06019,12.5
06029,855.2
06107,441.1
18015,1.2
18017,2.9
18039,5.5
18049,2.5
18073,4.1
18085,1.3
18089,1.3
18091,2.8499999999999996
18099,6.0
18103,4.6
18111,3.5
18127,1.3
18131,3.1
18141,4.6
18149,2.95
18169,3.3
18181,1.85
24001,5.0
24005,5.0
24013,17.1
24021,9.0
24023,4.7
24025,4.7
24027,4.7
24031,14.2
24043,4.7
26001,0.4
26005,93.65
26007,0.3
26009,140.2
26011,174.9
26015,1.25
26017,502.6
26019,50.75
26021,264.75
26023,3.6
26025,2.9000000000000004
26027,25.9
26029,7.8
26031,0.0
26035,11.85
26037,6.3999999999999995
26045,19.75
26047,1.25
26049,1.95
26051,21.849999999999998
26055,145.55
26057,119.75
26059,19.8
26063,1206.2
26065,3.95
26067,21.25
26069,1.6500000000000001
26073,21.5
26075,4.3
26077,7.65
26079,1.05
26081,232.55
26085,3.25
26087,14.1
26089,307.95
26091,16.4
26093,0.0
26099,0.3
26101,30.150000000000002
26105,141.45
26107,10.75
26111,36.45
26113,1.7
26115,1.2
26117,31.05
26119,1.85
26121,197.15
26123,97.55000000000001
26125,0.3
26127,458.35
26129,1.95
26133,2.3
26135,0.7
26137,16.4
26139,111.4
26141,0.0
26143,16.4
26145,345.7
26147,18.650000000000002
26149,26.55
26151,554.4
26155,8.25
26157,445.2
26159,88.60000000000001
26161,0.4
26163,0.3
26165,0.75
32003,1.7
32009,0.5
32017,0.6
32023,1.7
36003,2.2
36009,2.2
36013,1.8
36101,0.7
39007,4.7
39029,8.4
39035,0.9
39055,3.6
39085,0.9
39099,8.1
39103,2.9
39133,0.9
39151,3.6
39153,2.3
39155,1.8
39169,6.0
41011,0.3
41015,0.0
41019,51.8
41029,71.4
41033,22.6
42001,373.6
42003,2.7
42005,1.1
42007,2.6
42009,3.2
42011,21.4
42013,2.0
42015,3.4
42017,10.5
42019,2.5
42021,0.3
42023,0.0
42027,8.3
42029,10.7
42031,2.8
42033,2.0
42035,2.8
42037,1.9
42039,4.8
42041,53.8
42043,2.5
42045,2.5
42047,2.8
42049,24.6
42051,0.2
42053,0.9
42055,111.1
42057,1.1
42059,2.0
42061,3.0
42063,3.4
42065,0.3
42067,7.0
42071,68.1
42073,2.8
42075,2.0
42081,3.2
42083,2.8
42085,1.9
42087,6.6
42091,1.3
42093,2.5
42097,10.5
42099,1.2
42101,0.2
42105,2.8
42109,17.9
42111,2.0
42113,0.4
42117,1.3
42119,3.4
42121,8.0
42123,8.0
42125,6.1
42129,0.7
42133,105.2
51001,53.0
51003,53.0
51005,0.7
51007,53.0
51009,53.0
51011,53.0
51015,2.7
51017,53.0
51019,28.7
51023,53.0
51025,53.0
51029,3.3
51031,11.3
51033,204.6
51036,53.0
51037,5.3
51041,0.7
51043,53.0
51045,6.0
51047,53.0
51049,9.5
51053,157.3
51059,1.3
51061,51.4
51065,53.0
51067,20.0
51069,2596.5
51073,53.0
51075,53.0
51079,7.4
51081,53.0
51083,53.0
51085,53.0
51087,9.3
51089,53.0
51091,12.7
51093,53.0
51095,53.0
51099,53.0
51101,53.0
51107,26.7
51109,1.3
51111,53.0
51113,35.4
51115,37.4
51117,13.3
51119,53.0
51125,403.6
51127,8.0
51133,53.0
51135,2.0
51137,53.0
51139,53.0
51141,92.1
51143,9.3
51145,11.1
51147,53.0
51149,144.8
51153,53.0
51157,128.8
51159,137.8
51161,16.0
51163,7.3
51165,53.0
51171,53.0
51177,53.0
51179,73.1
51181,16.7
51183,265.7
51187,53.0
51193,219.8
51199,14.9
51550,4.7
51800,1.3
51810,53.0
