fips,mass
01001,7.3
01003,8.6
01005,17.05
01007,11.9
01009,15.45
01013,3.6
01015,6.9
01019,10.1
01021,1198.1
01023,6.5
01025,0.5
01027,11.9
01029,2.3
01031,30.8
01033,10.85
01035,1.5
01037,4.6
01039,25.15
01041,10.2
01043,20.7
01045,40.800000000000004
01047,0.7
01049,17.3
01051,2.8
01053,16.4
01055,14.85
01057,6.6
01059,0.7
01061,71.75
01063,1.4
01065,6.2
01067,65.35
01069,73.0
01071,16.35
01073,10.1
01075,10.1
01077,8.9
01079,6.550000000000001
01081,2.3
01083,8.75
01087,2.8
01089,6.550000000000001
01091,1.6
01093,6.35
01095,12.4
01097,8.9
01099,9.0
01101,2.8
01103,13.4
01105,0.7
01107,10.1
01109,13.3
01113,16.95
01115,12.7
01117,1.1
01119,1.9
01121,10.1
01123,10.1
01125,10.1
01127,10.1
01129,2.3
01131,6.9
01133,0.7
04001,5.25
04003,34.7
04005,0.0
04007,1.2
04009,6.4
04011,0.1
04013,14.149999999999999
04015,15.05
04017,0.2
04019,5.45
04021,10.2
04023,5.05
04025,6.45
04027,443.5
06001,0.1
06007,143910.0
06009,16.2
06011,53005.7
06015,1041.5
06017,0.5
06019,1044.1
06021,102786.8
06029,3581.9
06031,103.7
06033,29.2
06035,707.1
06037,16.7
06047,7487.5
06053,174.8
06055,5.8
06059,12.2
06061,23096.4
06065,104.3
06067,12791.9
06069,126.1
06073,46.0
06077,43111.5
06081,0.1
06083,9.1
06085,221.3
06087,64.6
06089,19912.8
06095,242.2
06099,1916.1
06101,87195.9
06103,1873.3
06107,342.7
06111,160.5
06113,9888.4
06115,44975.7
08013,38.9
08025,0.2
08043,0.1
08055,0.2
08069,83.4
08071,0.2
08075,330.9
08087,83.9
08089,0.7
08101,4.3
08109,0.2
08115,24.5
08123,802.8
09001,148.95
09003,401.5
09005,140.14999999999998
09007,102.15
09009,365.2
09011,71.85
09013,81.7
09015,171.8
10003,7.7
12001,547.0
12003,1.3
12007,511.15
12009,844.65
12011,48.0
12015,4045.25
12017,816.1500000000001
12019,130.45
12021,4453.5
12023,36.8
12027,47117.35
12029,50.75
12031,69.6
12035,17.7
12041,360.95
12043,3939.05
12047,99.0
12049,37638.7
12051,66061.04999999999
12053,116.05
12055,40885.0
12057,2821.8
12061,24695.5
12067,478.5
12069,1077.25
12071,4568.35
12075,165.85000000000002
12079,68.6
12081,9036.25
12083,183.15
12085,14002.75
12086,4901.05
12089,12.850000000000001
12093,4069.3500000000004
12095,500.15
12097,833.25
12099,5753.0
12101,588.3499999999999
12103,501.25
12105,8327.849999999999
12107,102.1
12109,280.25
12111,20403.7
12115,4048.7
12117,203.65
12119,529.75
12121,46.3
12123,43.0
12125,248.0
12127,117.44999999999999
13003,92.85000000000001
13007,86.6
13009,2.25
13011,0.4
13013,1692.2
13015,16.950000000000003
13017,118.0
13019,147.85
13021,30.55
13023,16.7
13027,99.39999999999999
13031,0.1
13033,0.0
13035,0.4
13037,99.8
13043,0.2
13045,3.9
13047,29.65
13053,333.9
13055,89.15
13057,1699.3000000000002
13059,4.6
13061,30.0
13065,0.7000000000000001
13067,1.0
13069,362.8
13071,463.3
13073,2.7
13075,94.44999999999999
13077,330.9
13079,333.29999999999995
13081,35.2
13083,332.85
13085,5.199999999999999
13087,219.95
13089,1.0
13091,28.8
13093,113.39999999999999
13095,70.2
13099,344.70000000000005
13101,12.9
13103,2.7
13105,2.3
13107,2.7
13111,1765.9
13113,333.9
13115,332.85
13117,1693.4
13119,9.7
13121,1690.35
13123,565.8
13129,81.44999999999999
13131,261.45
13133,332.04999999999995
13135,75.6
13137,173.3
13139,79.5
13141,124.94999999999999
13143,333.9
13145,13.3
13147,171.1
13149,0.2
13151,2.6
13153,257.8
13155,53.45
13157,17.6
13159,331.7
13161,98.85
13163,2.7
13165,0.4
13167,340.79999999999995
13169,330.2
13171,333.95
13173,28.4
13175,420.20000000000005
13177,162.95
13185,157.8
13187,55.2
13189,2.7
13193,338.79999999999995
13195,171.1
13197,213.7
13199,333.9
13201,166.7
13205,211.85
13207,332.04999999999995
13209,339.15
13211,330.25
13213,35.65
