fips,mass
04007,0.0
04009,0.8
04013,12.6
04015,0.0
04017,0.1
04025,0.0
04027,3.2
06007,281.7
06013,3.1
06015,759.0
06019,873.4
06029,353.7
06067,27.7
06073,116.7
06089,0.3
06101,6.0
06107,1541.0
08001,175.6
08005,14.4
08009,12.6
08011,12.6
08013,43.1
08017,48.8
08025,12.6
08041,1.3
08061,44.9
08063,430.2
08069,414.6
08071,80.0
08073,14.4
08075,87.4
08087,67.7
08089,165.1
08095,734.0
08099,38.2
08101,266.3
08115,275.6
08121,124.4
08123,1488.3
08125,2025.8
09001,24.3
09003,61.0
09005,20.1
09007,15.3
09009,56.0
09011,10.2
09013,8.8
09015,26.6
12001,1808.1
12007,1654.0
12009,426.8
12011,4.2
12015,1877.8
12017,1778.8
12019,3.0
12021,1877.8
12027,20668.9
12035,52.0
12041,56.3
12043,1818.8
12049,16569.7
12051,29011.1
12053,384.0
12055,18057.3
12057,2026.8
12061,17767.8
12069,3276.6
12071,2035.0
12075,116.2
12081,1732.2
12083,602.5
12085,6244.0
12086,1662.8
12093,1897.8
12095,1366.9
12097,2147.7
12099,2490.7
12101,1099.7
12103,1677.0
12105,30307.5
12107,203.5
12109,14.1
12111,18283.4
12115,1845.6
12117,382.8
12119,1726.8
12127,396.9
13015,0.1
13047,0.0
13055,1.1
13083,0.6
13115,0.2
13129,0.2
13213,0.6
13223,0.6
13233,0.4
13295,0.9
16001,49.4
16003,71.7
16005,65.8
16009,5.9
16011,65.8
16013,65.8
16015,65.8
16017,5.9
16019,7.0
16021,0.5
16023,0.8
16025,0.1
16027,99.7
16031,5.9
16035,5.9
16037,0.4
16039,15.6
16041,65.8
16043,65.8
16045,77.6
16047,65.8
16049,5.9
16051,4.2
16053,65.8
16055,1.8
16057,5.9
16059,65.8
16065,3.5
16067,2.1
16069,5.9
16071,65.8
16073,72.0
16075,98.0
16077,3.7
16079,5.9
16081,65.8
16083,7.0
16087,99.1
17007,1.9
17011,0.0
17015,1.9
17031,0.6
17037,1.9
17043,0.0
17063,1.9
17073,1.9
17085,1.9
17089,0.6
17093,1.9
17097,0.2
17099,0.1
17103,3.7
17111,1.9
17131,1.9
17141,1.9
17161,7.9
17177,0.0
17195,1.9
17197,0.1
17201,0.1
18007,0.4
18015,42.8
18017,44.6
18039,116.8
18049,25.8
18073,79.45
18085,24.8
18089,26.049999999999997
18091,844.25
18099,29.5
18103,45.8
18111,3.5
18127,28.4
18131,21.05
18141,24.6
18149,44.75
18169,25.6
18181,21.85
19005,0.2
19013,0.2
19017,0.2
19019,0.2
19037,0.3
19043,0.0
19055,0.2
19061,0.0
19065,0.0
19089,0.2
19191,0.0
20023,175.0
20039,35.3
20063,29.9
20109,22.1
20153,521.9
20171,68.9
20179,29.9
20181,570.1
20193,112.3
20199,322.3
20203,112.3
21013,0.9
21019,0.9
21043,0.0
21051,0.9
21063,0.9
21065,0.5
21071,0.0
21089,0.9
21095,5.8
21109,0.9
21115,0.5
21119,0.9
21121,0.9
21125,0.7
21127,0.9
21129,0.9
21133,0.9
21135,0.2
21147,0.9
21153,0.9
21175,0.9
21189,0.9
21193,0.9
21195,0.0
21197,0.9
21199,0.9
21203,0.9
21205,9.1
21231,0.4
21235,0.9
21237,0.9
24001,4.9
24005,1.3
24013,5.5
24021,8.3
24023,7.3
24025,9.1
24027,5.5
24031,8.8
24043,112.2
25001,4.0
25003,4.0
25005,12.0
25007,4.0
25009,21.8
25011,53.2
25013,25.7
25015,27.3
25017,38.4
25019,4.0
25021,4.0
25023,16.4
25027,203.9
26001,10.8
26003,0.2
26005,2950.3
26007,5.05
26009,107.0
26011,31.849999999999998
26015,14.149999999999999
26017,126.45
26019,60.2
26021,5566.3
26023,27.25
26025,25.200000000000003
26027,1145.3
26029,18.35
26031,3.4499999999999997
26033,0.3
26035,248.65
26037,35.4
26041,0.1
26043,0.1
26045,511.95
26047,2.3499999999999996
26049,48.5
26051,272.84999999999997
26053,0.1
26055,130.65
26057,1062.0
26059,511.75
26061,0.6
26063,575.2
26065,34.0
26067,562.05
26069,10.05
26071,22.3
26073,435.90000000000003
26075,23.85
26077,135.1
26079,2.15
26081,11301.7
26085,8.65
26087,39.9
26089,195.95
26091,11.9
26093,34.9
26097,0.1
26099,130.3
26101,39.6
26103,0.1
26105,524.8
26107,254.0
26109,0.1
26111,184.4
26113,4.1
26115,31.4
26117,334.6
26119,9.95
26121,971.65
26123,744.45
26125,100.8
26127,2032.25
26129,10.25
26131,22.3
26133,14.25
26135,0.8
26137,8.0
26139,4876.5
26141,8.0
26143,0.15000000000000002
26145,147.65
26147,3.9
26149,716.6
26151,248.7
26155,40.5
26157,156.3
26159,4002.6
26161,48.8
26163,11.9
26165,1.45
27001,5.699999999999999
27003,3.0999999999999996
27009,7.4
27017,0.15000000000000002
27019,20.6
27025,10.200000000000001
27031,0.0
27035,5.6
27037,293.3
27039,7.2
27045,1.1
27049,32.0
27053,6.699999999999999
27055,7.2
27059,2.05
27065,5.6
27067,7.4
27075,0.0
27085,5.75
27093,7.4
27095,4.85
27097,2.1
27099,7.2
27109,7.2
27115,5.800000000000001
27123,5.800000000000001
27129,6.05
27137,0.1
27139,7.4
27141,7.4
27143,4.6
27145,31.05
27153,6.0
27157,7.2
27159,7.4
27163,64.8
27169,0.6
27171,75.15
31029,2496.4
31057,339.8
31063,133.8
31085,565.8
31087,270.8
31101,777.5
31111,898.0
31135,2017.8
31145,27.5
33001,4.6
33003,13.2
33005,7.9
33007,2.7
33009,13.2
33011,35.6
33013,13.2
33015,60.3
33017,6.6
33019,3.5
34001,6.2
34003,8.5
34005,12.4
34007,8.5
34009,8.5
34011,8.5
34013,8.5
34015,31.2
34019,26.0
34021,7.7
34023,4.8
34025,23.0
34027,16.7
34029,1.9
34031,8.5
34033,2.1
34035,3.4
34037,22.5
34041,22.2
36001,23.8
36003,7.2
36007,13.3
36009,7.2
36011,11.3
36013,5.7
36015,21.2
36017,3.6
36019,360.0
36021,212.3
36023,11.3
36025,8.0
36027,38.2
36029,3.9
36031,7.3
36033,2.1
36035,7.4
36037,0.4
36039,4.7
36041,7.3
36043,11.3
36045,8.6
36049,1.3
36051,11.6
36053,6.0
36055,142.4
36057,3.4
36059,0.1
36063,541.7
36065,37.0
36067,109.4
36069,11.6
36071,120.0
36073,948.4
36075,48.0
36077,25.7
36079,7.3
36081,7.3
36083,41.8
36087,7.3
36089,6.0
36091,40.4
36093,7.3
36095,29.8
36097,5.4
36099,9.4
36101,2.4
36103,36.4
36105,3.3
36107,11.3
36109,11.6
36111,516.1
36115,11.0
36117,3929.6
36119,7.3
36121,11.6
36123,21.6
37001,3.6
37005,15.0
37009,25.4
37011,15.0
37021,2.9
37023,3.4
37027,16.3
37033,23.6
37039,1.0
37043,0.5
37063,15.0
37067,15.0
37069,15.0
37075,1.0
37077,15.0
37081,32.6
37087,1.0
37089,483.7
37111,6.1
37113,1.0
37115,1.0
37121,8.2
37135,21.7
37145,15.0
37149,21.7
37157,43.5
37161,0.0
37169,12.7
37171,15.0
37175,1.0
37181,9.1
37185,15.0
37189,38.1
37193,581.8
37197,15.0
37199,1.0
39007,6.5
39029,11.4
39035,1.2
39055,4.9
39085,1.2
39099,11.1
39103,4.0
39133,1.2
39151,4.9
39153,3.2
39155,2.5
39169,8.3
41001,160.0
41003,446.25
41005,1187.35
41007,11.9
41009,274.6
41011,308.25
41013,50.349999999999994
41015,294.65
41017,50.45
41019,183.45
41021,87.85
41023,50.7
41025,0.0
41027,5891.700000000001
41029,446.95
41031,188.14999999999998
41033,154.15
41035,3.8
41037,50.349999999999994
41039,886.35
41041,168.64999999999998
41043,1096.05
41045,471.65
41047,3001.45
41049,396.55
41051,295.75
41053,2068.8999999999996
41055,30.6
41057,12.3
41059,2358.3
41061,264.3
41063,177.8
41065,9733.05
41067,1345.6
41069,50.3
41071,544.9000000000001
42001,1786.0
42003,16.6
42005,1.5
42007,3.6
42009,119.9
42011,54.7
42013,9.3
42015,4.6
42017,17.7
42019,3.4
42021,3.7
42023,0.0
42025,1.9
42027,21.7
42029,13.5
42031,3.9
42033,2.7
42035,3.9
42037,4.0
42039,6.6
42041,12.0
42043,9.3
42045,9.3
42047,3.9
42049,33.6
42051,9.3
42053,1.2
42055,165.3
42057,2.7
42059,2.1
42061,25.7
42063,4.7
42065,0.4
42067,8.3
42069,9.9
42071,32.3
42073,3.9
42075,2.7
42077,18.0
42079,14.9
42081,4.4
42083,3.9
42085,2.6
42087,6.1
42089,9.2
42091,2.3
42093,9.9
42095,7.0
42097,24.5
42099,9.3
42101,0.1
42103,9.2
42105,3.9
42107,22.6
42109,38.2
42111,2.1
42113,0.5
42115,18.2
42117,1.7
42119,1.8
42121,10.9
42123,10.9
42125,11.3
42127,6.8
42129,7.7
42131,9.2
42133,97.9
44001,0.0
44003,1.0
44005,3.3
44007,18.1
44009,1.0
45001,2.3
45003,648.7
45005,648.7
45009,648.7
45013,101.3
45015,158.7
45017,648.7
45019,648.7
45023,28.3
45025,648.7
45027,1191.0
45029,431.9
45031,1801.2
45033,10.2
45035,11.3
45037,648.7
45039,1.5
45041,1.1
45043,648.7
45047,652.7
45051,648.7
45055,648.7
45057,648.7
45061,1329.2
45063,648.7
45067,0.6
45069,362.1
45071,648.7
45075,63.3
45079,648.7
45081,648.7
45085,648.7
45089,1.1
45091,26.0
47001,0.2
47007,1.3
47009,0.6
47011,1.3
47013,1.3
47019,1.3
47025,1.3
47029,1.3
47031,1.3
47035,2.3
47049,1.3
47051,1.3
47057,1.3
47059,1.6
47061,0.2
47063,0.0
47065,1.3
