fips,mass
04001,4.4
04003,31.0
04005,0.0
04007,1.0
04009,7.75
04011,0.1
04013,18.45
04015,22.25
04017,0.35
04019,4.65
04021,17.95
04023,4.4
04025,5.1
04027,1495.5
06005,51.9
06007,7394.9
06009,10.2
06011,207.6
06013,105.6
06017,2.0
06019,22765.3
06021,5111.4
06025,1306.1
06029,25166.8
06031,8028.5
06033,65.5
06039,3174.6
06041,58.8
06043,38.2
06045,893.8
06047,10342.4
06053,1212.8
06055,1658.7
06057,8.7
06059,155.0
06061,1.4
06065,1264.5
06069,43.1
06071,19.0
06073,111.1
06077,11006.8
06079,504.5
06081,145.8
06083,759.1
06085,7.0
06087,513.7
06095,14.8
06097,3195.2
06099,5320.9
06101,4503.7
06103,140.1
06107,21567.4
06111,1819.5
06113,71.4
06115,3041.2
12001,714.1
12003,4.1
12007,138.1
12009,21.1
12011,21.1
12015,77.4
12017,1.8
12019,0.9
12021,21.1
12023,464.4
12027,21.1
12029,70.8
12031,1.1
12033,0.3
12039,0.0
12041,138.1
12045,0.0
12047,70.8
12049,1.5
12051,610.1
12053,1.8
12055,21.1
12057,56.7
12059,0.1
12061,0.4
12063,0.1
12065,0.0
12067,70.8
12069,8.0
12071,0.1
12073,0.2
12075,5.3
12079,0.6
12081,405.8
12083,808.0
12085,21.1
12086,1022.6
12089,4.6
12091,0.1
12093,54.9
12095,0.4
12097,138.1
12099,902.4
12101,138.1
12103,0.9
12105,64.7
12107,12.4
12109,138.1
12115,11.7
12117,0.9
12119,3.5
12121,70.9
12123,36.4
12125,1.8
12127,8.9
12129,0.1
12131,0.1
12133,0.0
13001,0.0
13003,4.7
13017,284.4
13039,2.2
13045,0.1
13069,284.4
13077,2.2
13079,0.0
13087,0.0
13093,289.1
13099,0.0
13109,2.2
13113,0.0
13131,2.3
13133,0.0
13141,2.2
13145,2.2
13151,0.1
13161,174.8
13169,0.0
13175,10.6
13193,2.2
13199,2.2
13201,0.0
13209,8.4
13217,2.2
13225,0.1
13231,0.0
13235,2.2
13239,0.0
13265,0.0
13267,491.2
13269,0.0
13271,4.7
13279,431.8
13287,4.7
13289,2.2
13303,0.0
13305,2.2
13319,2.2
32003,0.6
32009,0.2
32017,0.2
32023,0.6
37001,8.6
37003,36.3
37005,1.2
37009,0.1
37011,1.0
37013,91.3
37015,421.8
37017,10.8
37019,10.8
37021,0.3
37027,0.0
37033,12.9
37037,40.7
37041,19.6
37043,0.3
37045,10.8
37047,120.1
37049,144.0
37051,125.3
37057,16.4
37059,11.2
37061,151.2
37063,1.4
37065,552.5
37067,2.8
37069,19.0
37073,17.1
37075,0.0
37077,19.4
37079,306.8
37081,13.3
37083,367.2
37085,520.7
37087,3.0
37091,317.0
37093,11.6
37095,30.2
37097,11.1
37099,0.0
37101,711.5
37103,60.0
37105,177.5
37107,377.6
37115,1.2
37117,470.5
37121,0.8
37123,10.8
37125,120.2
37127,1014.9
37131,19.6
37133,59.7
37135,6.2
37137,10.8
37141,10.8
37145,28.6
37147,457.0
37151,44.0
37153,11.1
37155,147.6
37157,29.4
37161,0.0
37163,616.6
37169,8.9
37171,17.4
37179,2.5
37181,13.7
37183,292.7
37185,7.8
37187,32.7
37189,0.2
37191,527.7
37193,1.0
37195,696.1
37197,16.8
37199,2.1
41001,4.6
41021,2.3
41027,116.05000000000001
41049,2.3
41055,0.35
41059,6.1
41061,4.9
41063,4.6
41065,26.0
51007,18.2
51011,10.8
51025,123.3
51031,1.6
51037,2.9
51049,1.6
51053,86.1
51067,5.5
51081,50.0
51083,9.8
51089,1.1
51111,14.1
51117,321.5
51135,0.2
51141,1.0
51143,27.7
51147,1.6
51149,11.0
51183,24.4
53001,2510.3500000000004
53003,2.5
53005,6472.700000000001
53007,195.15
53009,2.5
53011,0.8
53013,20.5
53015,2.5
53017,12.65
53019,13.15
53021,4896.85
53023,2.5
53025,8583.1
53027,2.5
53029,0.0
53031,0.1
53033,0.4
53035,0.1
53037,15.350000000000001
53039,12.9
53041,0.1
53043,56.8
53045,2.5
53047,89.25
53049,0.0
53051,10.149999999999999
53053,0.1
53055,0.3
53057,2.5
53059,2.5
53061,0.0
53063,14.85
53065,20.150000000000002
53067,0.1
53069,2.5
53071,873.1999999999999
53073,2.6
53075,1.8
53077,238.65
