fips,mass
01001,4.6
01003,98.9
01005,3.4
01009,13.5
01013,3.2
01015,31.4
01017,0.7
01019,156.9
01021,0.7
01023,5.4
01025,5.4
01031,6.3
01033,52.2
01035,91.5
01039,6.7
01041,0.3
01043,3.6
01045,5.3
01047,7.1
01049,8.2
01051,6.9
01053,158.4
01055,11.2
01057,6.2
01059,32.8
01061,11.2
01065,0.4
01067,9.9
01069,8.7
01071,20.6
01075,0.7
01077,184.4
01079,188.9
01081,1.1
01083,281.9
01085,2.0
01087,6.2
01089,306.4
01091,1.8
01093,6.7
01095,3.6
01097,64.3
01099,134.7
01101,2.3
01103,22.2
01105,1.3
01107,3.4
01109,2.3
01111,0.7
01113,2.4
01117,5.5
01119,0.3
01121,5.8
01123,0.7
01125,1.5
01127,0.7
01129,30.7
01131,5.4
05003,147.7
05017,159.0
05019,6.5
05021,177.9
05031,497.3
05035,263.4
05037,14.6
05041,122.1
05043,67.2
05055,30.9
05067,11.7
05069,42.6
05073,8.1
05077,611.4
05079,141.3
05081,6.5
05085,66.4
05091,6.5
05093,639.7
05095,41.2
05107,379.4
05111,159.1
05117,14.6
05123,325.2
05147,14.6
06019,317.2
06021,45.2
06031,49.4
06039,17.0
06047,673.7
06065,5.4
06103,11.2
06107,65.9
13003,124.4
13007,107.4
13013,0.9
13015,8.4
13017,71.4
13019,175.4
13023,41.5
13027,304.9
13031,505.1
13033,282.9
13037,164.5
13043,77.0
13055,2.7
13061,65.0
13065,2.2
13069,344.1
13071,405.0
13075,171.2
13079,2.2
13081,285.2
13087,373.3
13091,104.7
13093,577.4
13095,20.7
13099,240.3
13101,10.5
13103,73.2
13105,1.5
13107,161.0
13113,0.8
13115,1.5
13125,9.3
13129,1.5
13131,177.5
13153,34.3
13155,264.6
13161,151.0
13163,107.4
13165,114.2
13167,20.7
13171,0.1
13173,79.5
13175,84.7
13177,127.6
13185,17.0
13189,2.2
13193,53.6
13195,0.1
13197,3.5
13201,157.4
13205,312.5
13209,64.4
13211,16.8
