fips,mass
06013,0.0
06017,0.0
06019,0.0
06033,0.0
06043,0.0
06045,0.0
06061,0.0
06067,0.0
06077,0.0
06079,0.0
06081,0.0
06083,0.0
06087,0.0
06093,0.0
06097,0.0
06101,0.0
06103,0.0
06107,0.0
06113,0.0
06115,0.0
16001,0.0
16003,0.0
16009,0.0
16015,0.0
16017,0.0
16021,0.0
16027,0.0
16035,0.0
16039,0.0
16045,0.0
16049,0.0
16055,0.0
16057,0.0
16069,0.0
16073,0.0
16075,0.0
16079,0.0
16087,0.0
24001,0.0
24005,0.0
24013,0.0
24021,0.0
24023,0.0
24025,0.0
24027,0.0
24031,0.0
24043,0.1
41001,0.0
41003,0.0
41005,0.0
41007,0.0
41009,0.0
41011,0.1
41013,0.0
41015,0.1
41017,0.0
41019,0.0
41021,0.0
41023,0.0
41027,0.8
41029,0.1
41033,0.0
41037,0.0
41039,0.1
41041,0.1
41043,0.0
41045,0.0
41047,0.2
41049,0.0
41051,0.0
41053,0.0
41055,0.0
41057,0.0
41059,1.4
41061,0.0
41063,0.0
41065,0.0
41067,0.1
41069,0.0
41071,0.0
42001,1.2
42003,0.0
42009,0.1
42011,0.0
42013,0.0
42017,0.0
42021,0.0
42027,0.0
42029,0.0
42033,0.0
42037,0.0
42041,0.0
42043,0.0
42045,0.0
42051,0.0
42055,0.1
42057,0.0
42059,0.0
42061,0.0
42067,0.0
42071,0.0
42075,0.0
42087,0.0
42091,0.0
42093,0.0
42097,0.0
42099,0.0
42101,0.0
42109,0.0
42111,0.0
42119,0.0
42125,0.0
42129,0.0
42133,0.1
53001,0.3
53003,0.0
53005,6.5
53007,7.3
53009,0.2
53011,0.1
53013,0.0
53015,0.2
53017,1.1
53019,0.0
53021,0.8
53023,0.0
53025,3.2
53027,0.2
53029,0.0
53031,0.0
53033,0.05
53035,0.0
53037,0.3
53039,0.3
53041,0.0
53043,0.0
53045,0.2
53047,10.7
53049,0.0
53051,0.0
53053,0.05
53055,0.0
53057,0.25
53059,0.2
53061,0.0
53063,0.1
53065,0.0
53067,0.0
53069,0.2
53071,3.8
53073,0.25
53075,0.0
53077,42.3
