fips,mass
05001,1591.3
05003,24.9
05017,261.1
05019,4.3
05021,1236.3
05029,19.2
05031,888.8
05033,4.0
05035,570.4
05037,1253.2
05041,210.0
05043,46.0
05045,12.9
05047,5.1
05055,1395.3
05063,126.8
05067,1388.6
05069,644.5
05071,1.1
05073,47.9
05075,1509.8
05077,160.9
05079,188.0
05081,4.9
05085,1660.0
05091,5.0
05093,972.2
05095,672.1
05105,15.0
05107,257.4
05111,1493.3
05115,33.9
05117,1177.8
05119,39.6
05121,475.1
05123,640.7
05145,203.2
05147,969.1
05149,2.9
06007,1520.3
06011,1571.5
06021,1057.5
06061,191.1
06067,54.0
06077,21.4
06101,1513.6
06113,155.9
06115,408.5
22001,690.7
22003,145.2
22009,79.5
22011,14.7
22015,4.5
22017,4.5
22019,102.8
22021,4.4
22023,48.8
22025,6.3
22029,46.1
22035,28.8
22039,178.6
22041,20.6
22045,522.1
22053,541.5
22055,1066.7
22061,0.2
22065,27.4
22067,257.1
22069,3.3
22073,8.4
22077,2.2
22079,42.6
22083,58.8
22091,7.1
22097,86.9
22099,637.6
22103,3.2
22105,27.9
22107,17.1
22113,465.0
22123,6.5
28011,324.2
28027,71.5
28033,30.1
28051,8.4
28053,143.1
28055,9.0
28081,1.65
28083,76.9
28093,2.2
28107,154.0
28119,112.7
28133,532.6
28135,72.0
28137,26.0
28143,303.6
28151,395.5
28163,51.0
29017,8.3
29023,3898.2
29031,36.5
29069,1152.8
29133,28.2
29143,851.4
29155,2674.1
29181,144.1
29201,321.6
29207,2698.4
47045,4.2
47069,7.2
47097,3.1
48015,13.9
48037,9.9
48039,231.3
48057,18.3
48071,271.1
48089,342.7
48157,118.8
48167,2.1
48199,12.1
48201,6.9
48239,31.5
48245,313.5
48285,20.0
48291,18.3
48321,184.6
48395,12.1
48469,83.2
48473,73.5
48481,460.0
