fips,mass
01007,1.3
01009,1.8
01015,2.0
01017,0.1
01019,6.4
01021,0.7
01027,0.1
01029,0.1
01033,184.75
01043,7.2
01049,12.2
01055,1.9
01057,0.7
01059,6.3999999999999995
01071,20.9
01073,0.2
01075,1.1
01077,82.65
01079,140.85000000000002
01081,0.1
01083,241.9
01089,189.1
01093,4.4
01095,4.6
01103,12.95
01107,2.1
01111,0.1
01115,0.1
01117,1.5
01121,3.1
01123,0.1
01125,2.2
01127,0.8
01133,0.9
05003,8.3
05007,0.5
05017,29.7
05019,1.4
05025,0.0
05027,0.1
05029,5.3
05041,32.8
05043,6.4
05045,2.7
05053,0.0
05059,0.1
05069,20.1
05079,13.6
05087,0.1
05105,0.6
05119,5.6
05125,0.0
05143,0.1
06099,1.4
06107,0.1
08003,1.3
08007,0.2
08009,7.9
08011,2.3
08013,0.1
08015,0.4
08019,0.0
08021,3.8
08023,1.1
08025,2.3
08029,1.7
08033,0.3
08037,0.3
08043,0.0
08045,1.9
08049,0.1
08051,0.2
08053,0.0
08055,0.0
08057,0.1
08067,1.1
08069,0.1
08071,0.4
08075,3.3
08077,1.7
08079,0.1
08081,1.2
08083,2.4
08085,1.4
08087,0.2
08089,0.1
08091,0.1
08093,0.1
08097,0.1
08099,7.2
08101,2.3
08103,0.6
08105,2.2
08107,0.9
08109,1.8
08113,0.2
08115,2.5
08117,0.0
08119,0.1
08123,1.9
13015,0.9
13055,1.0
13115,1.6
13129,3.0
13213,1.1
13233,0.5
13295,2.2
13313,0.2
16001,1.8
16003,0.7
16005,0.8
16007,1.3
16009,0.0
16011,2.3
16013,1.8
16015,0.7
16017,0.2
16019,0.8
16021,0.7
16023,1.4
16025,4.8
16027,3.4
16029,0.7
16031,5.4
16033,0.7
16035,0.1
16037,0.9
16039,2.7
16041,1.3
16043,0.6
16045,0.6
16047,3.1
16049,0.9
16051,2.3
16053,2.6
16055,0.4
16057,0.3
16059,0.3
16061,0.3
16063,2.6
16065,0.5
16067,3.3
16069,0.5
16071,0.8
16073,4.5
16075,1.3
16077,0.3
16079,0.5
16081,0.8
16083,5.8
16085,0.1
16087,2.3
17001,14.0
17003,2.4
17005,4.5
17007,5.9
17009,2.85
17011,8.4
17013,1.55
17015,3.9
17017,4.1
17019,19.05
17021,10.35
17023,4.3999999999999995
17025,4.1
17027,12.1
17029,4.35
17031,1.1
17033,8.1
17035,2.6999999999999997
17037,23.849999999999998
17039,8.4
17041,5.1499999999999995
17043,0.1
17045,6.2
17047,10.1
17049,4.85
17051,5.4
17053,17.3
17055,14.600000000000001
17057,11.8
17059,17.1
17061,6.4
17063,11.75
17065,16.9
17067,14.75
17069,0.55
17071,5.6
17073,10.05
17075,21.8
17077,9.950000000000001
17079,8.1
17081,20.599999999999998
17083,3.85
17085,3.6
17087,1.75
17089,9.6
17091,10.95
17093,7.2
17095,13.3
17097,1.35
17099,34.15
17101,4.35
17103,9.350000000000001
17105,19.1
17107,7.55
17109,10.850000000000001
17111,12.65
17113,13.95
17115,6.25
17117,9.05
17119,8.25
17121,3.5
17123,4.75
17125,8.6
17127,7.15
17129,3.0999999999999996
17131,5.75
17133,9.149999999999999
17135,10.5
17137,6.65
17139,4.5
17141,8.700000000000001
17143,5.1
17145,9.8
17147,8.450000000000001
17149,7.85
17151,1.7000000000000002
17153,4.9
17155,1.35
17157,12.6
17159,6.3
17161,3.8
17163,12.45
17165,10.8
17167,12.75
17169,5.8
17171,3.25
17173,6.6
17175,3.8
17177,5.8
17179,7.6
17181,4.6000000000000005
17183,14.25
17185,11.2
17187,11.7
17189,19.95
17191,30.65
17193,24.7
17195,9.0
17197,11.4
17199,3.1
17201,4.55
17203,5.65
18001,12.8
18003,17.7
18005,14.5
18007,9.3
18009,8.8
18011,17.4
18013,0.2
18015,10.25
18017,8.3
18019,6.2
18021,4.9
18023,19.4
18025,0.6
18027,9.3
18029,1.6
18031,15.6
18033,10.75
18035,13.2
18037,8.15
18039,7.05
18041,6.9
18043,1.0
18045,7.3
18047,8.2
18049,9.15
18051,17.95
18053,13.8
18055,5.15
18057,9.6
18059,15.0
18061,8.0
18063,11.3
18065,13.8
18067,11.4
18069,11.0
18071,15.6
18073,10.15
18075,20.0
18077,5.7
18079,9.1
18081,11.9
18083,20.95
18085,10.5
18087,8.5
18089,4.05
18091,10.6
18093,4.9
18095,15.2
18097,1.0
18099,7.7
18101,1.7
18103,7.55
18105,1.0
18107,9.4
18109,9.2
18111,6.6
18113,10.8
18115,0.7
18117,6.0
18119,2.45
18121,5.050000000000001
18123,2.6
18125,6.1
18127,4.05
18129,19.2
18131,7.25
18133,4.7
18135,22.4
18137,12.7
18139,20.0
18141,5.9
18143,4.2
18145,18.5
18147,6.95
18149,4.1
18151,6.5
18153,7.55
18155,1.9
18157,8.0
18159,13.1
18161,6.2
18163,4.25
18165,3.9
