fips,mass
01001,5.0
01003,83.95
01005,24.049999999999997
01007,7.35
01009,16.15
01011,3.9
01013,4.85
01015,19.950000000000003
01017,3.3
01019,73.6
01021,6.050000000000001
01023,1.2
01025,0.6
01027,0.95
01029,1.2
01031,31.049999999999997
01033,513.3
01035,3.65
01037,0.0
01039,30.6
01041,3.55
01043,54.9
01045,32.0
01047,31.35
01049,90.65
01051,4.8
01053,28.5
01055,17.6
01057,11.05
01059,37.5
01061,57.55
01063,1.4
01065,1.05
01067,41.65
01069,62.3
01071,170.25
01073,2.4
01075,7.15
01077,425.6
01079,620.7
01081,3.6
01083,989.05
01085,5.55
01087,3.4499999999999997
01089,719.1
01091,5.699999999999999
01093,48.6
01095,33.6
01097,18.65
01099,13.35
01101,7.6
01103,101.4
01105,37.4
01107,15.6
01109,31.95
01111,4.4
01113,8.9
01115,2.4
01117,18.700000000000003
01119,6.4
01121,21.9
01123,3.5
01125,13.2
01127,5.4
01129,7.75
01131,2.6
01133,3.05
04001,132.25
04003,72.4
04005,26.45
04007,134.10000000000002
04009,49.7
04011,219.60000000000002
04012,65.14999999999999
04013,343.95
04015,30.8
04017,3.2
04019,9.55
04021,396.85
04023,5.0
04025,26.9
04027,320.45000000000005
05001,1485.0
05003,233.89999999999998
05005,0.0
05007,31.25
05009,4.05
05015,1.0
05017,526.95
05019,15.149999999999999
05021,745.75
05023,3.1
05025,0.3
05027,0.7
05029,43.4
05031,814.95
05033,191.9
05035,1146.6
05037,1077.65
05041,511.7
05043,143.2
05045,22.25
05047,32.7
05049,6.65
05051,0.5
05053,1.1
05055,610.0
05057,2.15
05059,1.2
05061,0.3
05063,143.35000000000002
05065,1.55
05067,694.55
05069,377.5
05071,29.65
05073,63.7
05075,536.05
05077,929.5
05079,320.79999999999995
05081,63.8
05083,39.15
05085,1201.0500000000002
05087,6.5
05089,0.1
05091,58.849999999999994
05093,1330.35
05095,772.3
05097,0.3
05099,0.0
05101,0.2
05103,0.0
05105,12.05
05107,1287.0
05111,897.0
05113,0.75
05115,99.25
05117,889.3
05119,55.099999999999994
05121,201.05
05123,927.8499999999999
05125,0.4
05127,0.6
05131,15.55
05133,0.9
05135,0.7
05137,0.5
05139,0.0
05141,0.9
05143,8.95
05145,159.55
05147,907.8
05149,51.7
06001,3.4
06005,2.1
06007,1102.0
06009,0.5
06011,1019.8
06013,102.7
06019,5954.2
06021,871.7
06025,2870.5
06029,2315.5
06031,2078.6
06035,96.8
06037,47.2
06039,1833.5
06047,1584.3
06049,134.9
06051,0.5
06053,3332.6
06059,0.4
06061,41.5
06065,659.5
06067,295.1
06069,210.2
06071,31.2
06073,13.7
06077,2379.9
06079,160.9
06081,12.1
06083,412.0
06085,121.0
06087,121.5
06089,28.4
06093,100.6
06095,644.4
06097,1.5
06099,2456.3
06101,935.5
06103,111.6
06107,1564.6
06111,10.0
06113,712.7
06115,436.2
08001,129.15
08003,17.85
08005,18.2
08007,0.1
08009,311.45
08011,117.9
08013,25.9
08014,2.2
08015,9.3
08017,106.64999999999999
08019,0.0
08021,81.0
08023,50.3
08025,44.75
08027,9.4
08029,6.8
08031,23.099999999999998
08033,6.4
08035,5.55
08037,4.55
08039,29.15
08041,52.5
08043,10.8
08045,5.5
08047,4.25
08049,1.35
08051,2.4
08053,0.0
08055,15.799999999999999
08057,5.5
08059,13.35
08061,142.6
08063,100.69999999999999
08067,0.75
08069,45.15
08071,33.4
08073,96.65
08075,185.45
08077,3.25
08079,1.4
08081,26.1
08083,5.25
08085,10.45
08087,98.85
08089,102.55000000000001
08091,0.0
08093,1.9
08095,62.0
08097,0.95
08099,353.4
08101,71.15
08103,43.2
08105,27.5
08107,16.75
08109,74.1
08113,4.4
08115,106.8
08117,0.1
08119,1.05
08121,52.650000000000006
08123,326.25
08125,99.44999999999999
09001,24.6
09003,191.65
09005,56.099999999999994
09007,8.3
09009,45.9
09011,31.4
09013,27.1
09015,19.049999999999997
10001,337.75
10003,47.6
10005,389.59999999999997
12001,4.45
12003,2.7
12005,0.7
12007,0.1
12009,1.7
12011,2.0
12013,34.1
12015,3.1
12017,3.5
12019,3.5
12021,3.7
12023,68.5
12027,3.7
12029,21.8
12031,12.0
12033,43.8
12035,12.6
12039,2.75
12041,122.9
12043,2.0
12045,10.6
12047,131.0
12049,3.7
12051,3.7
12053,2.0
12055,2.0
12057,5.6
12059,33.2
12061,1.7
12063,212.8
12065,11.3
12067,160.5
12069,2.0
12071,1.7
12073,10.2
12075,216.1
12077,5.3
12079,125.9
12081,59.1
12083,42.7
12085,2.0
12086,43.7
12089,0.4
12091,10.9
12093,2.7
12095,2.0
12097,2.0
12099,299.6
12101,15.5
12103,2.2
12105,1.6
12107,0.1
12109,15.5
12111,0.0
12113,87.4
12115,1.7
12117,2.0
12119,6.8
12121,204.6
12123,0.1
12125,0.1
12127,0.55
12129,5.3
12131,12.6
12133,16.5
13001,28.75
13003,34.599999999999994
13005,8.45
13007,258.15
13009,2.6500000000000004
13011,3.8499999999999996
13013,1.9000000000000001
13015,89.75
13017,32.650000000000006
13019,55.7
13021,5.6
13023,61.65
13025,0.35
13027,58.05
13029,0.8
13031,116.85000000000001
13033,76.0
13035,4.55
13037,322.15
13039,0.3
13043,19.25
13045,1.85
13047,0.25
13049,0.3
13051,0.3
13055,17.75
13057,0.5
13059,2.7
13061,107.1
13063,1.1500000000000001
13065,1.9
13067,1.8
13069,89.2
13071,181.1
13073,2.15
13075,34.8
13077,5.6000000000000005
13079,8.45
13081,41.099999999999994
13083,0.1
13085,1.45
13087,989.05
13089,0.0
13091,82.75
13093,94.55
13095,47.75
13097,3.05
13099,419.4
13101,7.7
13103,21.2
13105,10.45
13107,39.05
13109,4.9
13111,1.1
13113,0.8
