fips,mass
04001,301.6
04003,81.7
04005,1.9
04007,291.6
04009,12.3
04011,145.4
04013,146.9
04015,15.1
04017,0.8
04019,13.6
04021,145.4
04023,15.25
04025,16.85
04027,157.95
06001,98.1
06007,1884.3
06009,0.2
06011,1299.7
06013,9.0
06017,25.9
06019,11753.4
06021,2659.3
06023,2.0
06025,0.6
06027,6.2
06029,16683.4
06031,2220.1
06033,25.3
06035,20.2
06037,6.3
06039,5170.1
06041,0.5
06045,603.3
06047,3427.5
06053,6488.3
06055,1751.0
06059,88.1
06061,5.9
06065,45.2
06067,548.0
06069,238.2
06071,7.1
06073,186.3
06077,2547.0
06079,2420.5
06081,16.1
06083,3046.0
06085,80.9
06087,1229.8
06089,10.9
06093,400.2
06095,294.9
06097,3595.6
06099,3743.7
06101,1207.8
06103,935.0
06107,7409.4
06111,3638.2
06113,1363.2
06115,656.2
09001,19.6
09003,65.5
09005,17.85
09007,13.399999999999999
09009,41.7
09011,9.100000000000001
09013,11.7
09015,20.6
10003,0.1
12001,34.25
12003,1.05
12005,1.4
12007,21.95
12009,105.1
12011,1.8
12013,52.9
12015,90.3
12017,24.6
12019,7.2
12021,205.1
12023,18.3
12027,174.4
12029,17.4
12031,25.1
12033,9.899999999999999
12035,0.9
12039,32.599999999999994
12041,63.45
12043,16.4
12045,32.5
12047,1.5
12049,174.0
12051,181.6
12053,17.5
12055,90.5
12057,3116.1499999999996
12059,9.200000000000001
12061,118.3
12063,120.45
12065,4.05
12067,83.4
12069,23.75
12071,117.7
12073,29.15
12075,46.65
12077,56.1
12079,88.4
12081,2863.8
12083,50.2
12085,67.4
12086,469.8
12089,91.45
12091,4.85
12093,24.6
12095,23.45
12097,20.7
12099,69.5
12101,28.65
12103,7.2
12105,33.349999999999994
12107,4.75
12109,32.25
12111,50.5
12113,11.4
12115,105.1
12117,20.55
12119,14.8
12121,542.75
12123,12.1
12125,21.0
12127,3.7
12129,2.75
12131,5.6499999999999995
12133,0.6000000000000001
13001,32.9
13003,18.4
13005,46.1
13009,0.1
13011,0.3
13013,0.1
13017,403.1
13019,120.05
13021,1.6
13025,12.2
13027,70.5
13029,14.6
13031,0.6
13033,1.7
13035,0.0
13037,0.1
13039,20.4
13043,2.4
13045,0.6
13049,2.5
13051,9.5
13057,0.1
13059,0.0
13061,1.4
13063,1.4
13065,13.6
13067,0.1
13069,403.1
13071,181.5
13073,16.3
13075,244.2
13077,3.5
13079,9.299999999999999
13081,435.8
13085,0.3
13087,0.8
13089,0.0
13091,1.4
13093,406.3
13095,1.4
13097,1.4
13099,0.8
13101,33.0
13103,17.6
13105,0.4
13107,17.6
13109,15.2
13111,0.3
13113,1.4
13117,0.0
13119,0.6
13121,0.2
13123,0.3
13125,1.4
13127,0.1
13131,4.6
13133,10.5
13135,0.3
13137,18.6
13139,0.0
13141,6.6
13143,1.4
13145,3.3
13147,18.3
13149,0.1
13151,0.6
13153,7.6499999999999995
13155,12.0
13157,0.0
13159,9.200000000000001
13161,249.85
13163,16.6
13165,2.5
13167,10.5
13169,10.5
13171,1.4
13173,13.6
13175,29.950000000000003
13177,1.4
13179,12.2
13181,0.3
13183,12.8
13185,41.1
13189,16.6
13193,4.4
13195,18.3
13197,1.4
13199,3.1
13201,0.0
13205,4.8
13207,9.200000000000001
13209,22.1
13211,10.5
13215,1.4
13217,12.6
13219,0.1
13221,18.4
13225,10.6
13227,0.0
13229,17.4
13231,0.4
13235,16.65
13237,0.1
13239,0.15000000000000002
13241,18.3
13245,3.3
13249,1.4
13251,30.7
13255,0.1
13257,0.0
13259,1.1
13261,1.4
13263,0.1
13265,10.5
13267,914.8
13269,2.9
13271,18.4
13273,1.4
13275,1.4
13277,591.55
13279,626.2
13281,0.0
13283,10.5
13285,1.4
13287,156.25
13289,4.5
13291,0.3
13293,0.2
13297,0.1
13299,21.7
13301,1.4
13303,9.6
13305,16.8
13309,1.4
13311,0.1
13315,250.75
13317,18.6
13319,5.8
13321,379.3
16001,0.15000000000000002
16003,0.25
16009,6.8
16015,0.2
16017,2.6
16021,0.5
16027,0.25
16039,0.0
16045,0.2
16049,1.8
16055,1.0
16057,1.1
16061,1.7
16069,23.6
16073,0.25
16075,0.25
16079,6.8
16087,0.25
17001,0.4
17005,2.7
17007,1.8
17009,2.7
17011,5.2
17013,2.7
17015,5.2
17017,2.7
17019,2.8
17021,0.3
17023,27.3
17025,22.6
17029,20.3
17031,10.4
17033,18.2
17035,20.2
17037,1.9
17039,2.5
17041,2.2
17043,0.5
17045,22.6
17051,10.6
17055,3.8
17057,2.7
17059,2.4
17063,3.6
17065,2.4
17071,2.7
17073,3.2
17075,0.0
17081,36.4
17083,0.0
17085,3.0
17089,10.1
17091,3.0
17093,5.0
17095,2.7
17097,1.8
17099,3.5
17101,22.6
17103,0.1
17105,2.7
17107,3.7
17109,0.1
17111,8.9
17113,0.7
17115,3.7
17117,0.4
17119,3.4
17121,22.6
17123,2.2
17125,147.1
17127,37.8
17129,3.7
17131,5.5
17135,2.7
17137,0.1
17139,142.2
17141,2.9
17143,43.7
17147,2.2
17149,2.7
17151,0.3
17155,5.2
17159,20.2
17161,1.1
17167,2.8
17169,2.7
17171,2.7
17173,4.4
17175,27.3
17177,1.3
17179,128.2
17183,2.7
17185,40.2
17191,40.2
17193,44.7
17195,5.2
17197,5.4
17201,3.2
17203,19.3
18001,10.5
18003,7.9
18005,83.8
18009,5.7
18011,2.9
18013,29.8
18015,1.7
18017,14.3
18019,15.9
18021,16.45
18023,0.4
18025,29.7
18027,91.0
18029,0.7
18031,15.9
18033,15.9
18035,15.9
18037,11.5
18039,25.7
18041,15.9
18043,31.0
18045,29.7
18047,8.8
18049,4.3
18051,146.3
18053,15.9
18055,2.0
18057,15.9
18059,4.4
18061,2.6
18063,7.4
18065,7.6
18067,15.9
18069,15.9
18071,48.7
18073,12.5
18075,13.1
18077,15.9
18079,15.9
18081,15.9
18083,688.1
18085,2.0
18087,10.3
18089,4.15
18091,9.25
18093,6.2
18095,11.2
18097,15.9
18099,19.3
18101,12.7
18103,17.2
18105,29.8
18107,16.15
18109,2.8
18111,15.9
18113,2.9
18115,0.3
18117,29.8
18119,16.35
18121,20.15
18127,2.4
18129,87.5
18131,14.3
18133,14.950000000000001
18135,15.9
18137,15.9
18139,14.4
18141,16.8
18145,15.9
18147,80.8
18149,9.25
18151,15.9
18153,138.6
18155,0.8
18157,16.15
18159,15.9
18161,15.9
18163,23.4
18167,15.35
18169,2.5
18171,16.15
18173,5.0
18175,31.2
18177,15.9
18179,0.7
18181,7.95
18183,0.2
21005,0.1
21011,0.2
21013,0.2
21015,0.2
21017,0.2
21019,0.2
21021,0.2
21023,0.2
21033,2.4
21037,0.2
21041,0.0
21043,0.0
21047,60.4
21049,0.0
21051,0.2
21055,2.4
21059,45.0
21063,0.2
21065,0.1
21067,0.2
21069,0.2
21071,0.0
21073,0.1
21077,0.0
21079,0.2
21081,0.2
21089,0.2
21091,2.1
21095,1.2
21097,0.6
21101,2.4
21103,0.2
21107,2.4
21109,0.2
21113,0.2
21115,0.1
21117,0.2
21119,0.2
21121,0.2
21125,0.1
21127,0.2
21129,0.2
21133,0.2
21135,0.0
21137,0.0
21141,5.4
21147,0.2
21149,3.5
21151,0.2
21153,0.2
21161,0.2
21167,0.2
21173,0.2
21175,0.2
21177,2.4
21181,0.2
21183,0.8
21185,0.2
21187,0.2
21189,0.2
21191,0.2
21193,0.2
21195,0.0
21197,0.2
21199,0.2
21201,0.2
21203,0.2
21205,1.8
21209,0.2
21211,0.5
21213,2.0
21215,0.1
21219,38.9
21223,0.2
21225,2.8
21229,0.2
21231,0.1
21233,2.1
21235,0.2
21237,0.2
21239,0.2
23001,20.549999999999997
23005,20.5
23007,5.300000000000001
23009,6.8
23011,18.049999999999997
23013,20.549999999999997
23015,20.549999999999997
23017,61.8
23019,38.8
23021,5.1
23023,20.549999999999997
23025,7.6
23027,9.6
