fips,mass
01001,2.9
01003,3.9
01005,2.2
01013,0.1
01023,0.2
01025,0.2
01031,4.0
01033,1.6
01035,3.6
01039,4.2
01041,0.2
01045,3.4
01047,4.5
01051,4.4
01053,6.2
01059,1.0
01061,7.1
01065,0.2
01067,6.3
01069,5.5
01077,5.8
01079,6.0
01083,8.9
01085,1.3
01087,3.9
01089,9.7
01091,1.2
01093,0.2
01097,2.5
01099,5.3
01101,1.5
01103,0.7
01105,0.8
01109,1.4
01113,1.5
01119,0.2
01129,1.2
01131,0.2
04003,0.0
04009,0.1
04011,0.0
04012,0.0
04013,0.1
04015,0.0
04019,0.0
04021,0.2
04027,0.0
05021,0.2
05031,0.6
05035,0.1
05037,0.0
05055,0.0
05067,0.0
05077,0.3
05085,0.0
05093,0.8
05095,0.0
05107,0.2
05111,0.2
05117,0.0
05123,0.2
05147,0.0
06025,0.0
06047,0.0
06065,0.0
12001,0.0
12003,0.2
12005,0.2
12007,0.2
12013,0.0
12017,0.2
12019,0.0
12023,0.0
12029,0.0
12031,0.2
12033,0.0
12035,0.2
12039,0.0
12041,0.0
12045,0.2
12047,0.1
12053,0.2
12057,0.2
12059,0.0
12063,0.0
12065,0.0
12067,0.0
12069,0.0
12073,0.0
12075,0.2
12077,0.2
12079,0.2
12083,0.0
12089,0.0
12091,0.0
12095,0.2
12097,0.2
12101,0.2
12105,0.0
12107,0.2
12109,2.2
12113,0.2
12117,0.2
12119,0.0
12121,0.2
12123,0.2
12125,0.2
12127,0.0
12129,0.0
12131,0.0
12133,0.0
13001,0.0
13003,0.0
13005,0.0
13007,0.0
13013,0.1
13017,0.0
13019,0.0
13023,0.0
13025,0.0
13027,0.0
13029,0.0
13031,19.8
13033,11.1
13037,0.0
13039,0.0
13043,3.0
13049,0.0
13051,0.0
13061,0.0
13065,0.0
13069,0.0
13071,0.1
13075,0.0
13079,0.0
13081,0.0
13087,0.0
13091,0.0
13093,0.2
13095,0.0
13099,0.0
13101,0.0
13103,2.9
13105,0.0
13107,6.3
13109,0.0
13113,0.0
13125,0.4
13127,0.0
13131,0.0
13153,0.0
13155,0.0
13161,0.0
13163,4.2
13165,4.5
13167,0.0
13171,0.0
13173,0.0
13175,0.0
13177,0.0
13179,0.0
13183,0.0
13185,0.0
13189,0.1
13193,0.0
13195,0.0
13197,0.0
