fips,mass
06025,23.5
08013,3.8
08069,8.2
08075,32.7
08087,8.3
08115,2.4
08123,79.3
27005,6.2
27009,1.0
27011,1.2
27015,11.6
27023,116.7
27027,55.5
27033,11.6
27051,43.6
27067,59.1
27069,29.9
27073,1.2
27083,18.6
27085,5.5
27087,3.8
27089,56.0
27093,7.0
27103,11.6
27107,56.1
27111,1.2
27113,0.4
27115,0.2
27119,120.1
27121,6.9
27125,2.1
27127,209.8
27129,143.3
27135,0.4
27143,9.3
27145,9.8
27149,20.0
27151,19.2
27155,20.1
27167,137.1
27173,7.1
30017,1.6
30021,14.0
30055,2.8
30079,2.8
30083,92.7
30085,7.3
30087,15.3
31007,3.3
31013,114.2
31033,6.4
31049,3.3
31069,3.3
31105,3.3
31123,31.7
31157,53.4
31161,29.0
31165,4.7
38003,2.1
38017,158.7
38035,184.9
38039,0.7
38045,10.9
38053,62.8
38067,276.1
38077,173.2
38083,7.5
38091,1.2
38097,257.2
38099,256.9
38105,7.2
56015,4.4
56021,4.4
56031,12.2
