fips,mass
06053,3.2
41003,127.1
41005,1772.2
41007,39.7
41009,13.2
41011,42.9
41013,6.8
41015,42.9
41017,32.6
41019,54.0
41023,6.8
41027,21.7
41029,9.3
41031,25.8
41033,34.6
41035,0.6
41037,25.8
41039,57.5
41041,30.3
41043,66.1
41045,6.8
41047,2092.3
41049,0.3
41051,628.7
41053,66.1
41057,0.9
41065,1.8
41067,1480.6
41069,0.1
41071,379.0
53005,0.5
53007,0.3
53009,0.2
53011,2.4
53015,1.3
53027,0.5
53029,0.1
53031,0.5
53033,0.3
53035,0.3
53037,0.2
53039,0.1
53041,0.3
53045,0.2
53047,0.0
53049,0.2
53053,0.9
53055,0.2
53057,2.0
53059,0.2
53061,0.3
53067,0.5
53069,0.2
53073,49.5
53077,0.4
