fips,mass
05001,26.3
05003,3.7
05017,5.6
05021,7.0
05029,6.0
05031,10.4
05035,46.9
05037,27.0
05041,4.8
05043,2.9
05045,0.9
05053,0.2
05055,5.3
05063,2.1
05067,14.6
05069,13.4
05075,1.0
05077,31.3
05079,6.2
05085,20.0
05093,23.6
05095,39.9
05105,0.9
05107,55.2
05111,11.3
05117,6.9
05119,1.8
05121,0.9
05123,12.1
05145,3.2
05147,26.5
28009,0.6
28011,7.2
28013,9.2
28027,5.5
28033,1.6
28043,0.6
28071,1.2
28093,5.2
28107,1.1
28119,0.6
28135,1.4
28137,4.8
28143,5.2
28161,0.9
47045,48.6
47095,24.1
47097,22.0
47131,22.8
47157,5.9
47167,23.8
