fips,mass
01001,307.2
01003,1538.2
01005,333.9
01009,114.7
01013,49.2
01015,267.0
01017,20.8
01019,1335.5
01021,20.8
01023,83.9
01025,83.9
01031,617.8
01033,150.8
01035,1423.2
01039,655.1
01041,32.7
01043,30.7
01045,521.4
01047,468.8
01049,70.0
01051,457.6
01053,2464.0
01055,95.4
01057,179.1
01059,94.6
01061,1102.3
01065,24.8
01067,972.4
01069,850.8
01071,175.5
01075,20.8
01077,532.5
01079,545.5
01081,30.6
01083,814.0
01085,134.2
01087,410.5
01089,884.8
01091,121.3
01093,19.4
01095,30.7
01097,1000.3
01099,2094.7
01101,155.9
01103,64.0
01105,88.1
01107,98.7
01109,221.3
01111,20.8
01113,230.6
01117,158.4
01119,22.2
01121,168.1
01123,20.8
01125,44.2
01127,20.8
01129,477.4
01131,83.9
05003,1292.3
05017,1390.9
05019,125.5
05021,6333.4
05031,17701.3
05035,226.3
05037,12.6
05041,1068.4
05043,587.5
05055,1099.4
05067,416.3
05069,372.3
05073,81.9
05077,525.4
05079,1236.5
05081,65.6
05085,57.1
05091,65.6
05093,22768.6
05095,35.4
05107,326.0
05111,5662.8
05117,12.6
05123,279.5
05147,12.6
12001,19.1
12013,1467.1
12023,6.2
12033,1877.9
12039,258.2
12047,19.9
12059,703.7
12063,6945.3
12065,300.9
12067,85.0
12079,6.2
12083,6.2
12091,499.5
12113,3075.1
12119,1.4
12121,51.5
12127,2.8
12131,610.5
12133,292.5
13001,1619.9
13003,965.6
13005,638.2
13007,2196.4
13013,88.7
13015,136.1
13017,553.9
13019,1361.2
13023,770.1
13025,1.6
13027,2366.2
13029,12.2
13031,1025.6
13033,574.5
13037,3364.4
13043,156.3
13049,8.4
13055,43.4
13061,1329.1
13065,16.9
13069,2670.2
13071,3142.9
13075,1328.4
13079,40.4
13081,2213.0
13087,7634.5
13091,1940.3
13093,4480.6
13095,423.7
13099,4914.2
13101,81.5
13103,148.6
13105,264.1
13107,326.9
13109,248.2
13113,12.4
13115,23.7
13125,19.0
13129,23.7
13131,3630.0
13153,636.6
13155,2053.1
13161,1171.9
13163,218.1
