fips,mass
01001,16.3
01003,64.5
01005,18.6
01007,16.3
01009,30.2
01011,17.1
01013,20.1
01015,33.6
01017,1.9
01019,107.6
01021,9.1
01023,2.3
01025,4.6
01027,1.9
01029,2.5
01031,14.4
01033,176.1
01035,2.3
01039,7.75
01041,6.15
01043,119.8
01045,12.15
01047,71.0
01049,204.9
01051,10.0
01053,19.8
01055,31.9
01057,8.7
01059,12.5
01061,16.55
01063,6.6
01065,6.6
01067,14.5
01069,18.15
01071,349.1
01073,2.7
01075,13.6
01077,168.7
01079,239.4
01081,1.9
01083,382.0
01085,16.3
01087,11.3
01089,257.6
01091,18.6
01093,23.9
01095,76.7
01097,53.3
01099,7.6
01101,26.8
01103,46.7
01105,113.4
01107,26.9
01109,17.45
01111,1.9
01113,4.800000000000001
01115,1.0
01117,19.5
01119,23.1
01121,38.9
01123,1.9
01125,27.9
01127,10.6
01129,2.1
01131,5.6
01133,1.2
04001,1.1
04003,6.6
04005,0.0
04007,0.3
04009,0.8
04011,0.0
04013,0.1
04015,1.1
04017,0.0
04019,1.1
04021,0.0
04023,1.1
04025,1.2
04027,4.7
05001,862.0
05003,243.9
05007,4.2
05017,871.4
05019,53.6
05021,202.1
05025,0.3
05027,2.6
05029,83.3
05031,197.3
05033,81.0
05035,919.7
05037,632.1
05041,961.3
05043,186.4
05045,42.6
05047,13.1
05049,1.6
05053,0.6
05055,139.7
05057,1.2
05059,1.8
05063,42.2
05065,0.1
05067,209.6
05069,590.1
05071,11.9
05073,66.8
05075,120.7
05077,632.9
05079,397.2
05081,44.5
05083,16.6
05085,495.2
05087,0.6
05091,83.2
05093,475.7
05095,462.3
05105,8.8
05107,1104.4
05111,272.0
05115,37.1
05117,453.0
05119,87.9
05121,52.7
05123,608.1
05125,0.6
05131,6.2
05133,1.8
05143,0.6
05145,59.6
05147,551.9
05149,21.2
06001,3.2
06005,3.0
06007,599.8
06009,0.2
06011,316.1
06013,79.1
06017,9.6
06019,5013.3
06021,1067.4
06023,0.3
06029,2235.1
06031,653.1
06033,97.6
06037,1.1
06039,2766.2
06041,0.2
06045,67.5
06047,1974.5
06049,26.6
06053,463.5
06055,594.3
06061,3.3
06065,20.7
06067,430.0
06069,90.9
06071,0.5
06073,38.3
06077,2606.2
06079,13.3
06081,0.2
06083,58.3
06085,73.0
06087,21.9
06093,11.4
06095,456.4
06097,908.0
06099,2866.6
06101,149.3
06103,146.9
06107,814.6
06111,206.8
06113,682.6
06115,9.8
08001,2.4
08003,172.5
08007,0.0
08013,2.4
08015,80.7
08021,172.5
08023,172.5
08029,0.2
08033,0.1
08037,0.1
08043,0.0
08045,80.7
08047,80.7
08051,0.0
08055,0.0
08057,80.7
08059,0.0
08063,1.2
08067,0.1
08069,4.7
08075,18.0
08077,0.6
08081,0.1
08083,0.3
08085,0.2
08087,89.5
08091,0.0
08095,3.4
08097,0.0
08101,0.1
08103,0.1
08105,172.5
08107,80.7
08109,1199.4
08113,80.7
08115,20.1
08119,0.3
08121,1.2
08123,128.7
08125,10.6
09001,7.199999999999999
09003,26.950000000000003
09005,7.300000000000001
09007,5.1
09009,14.850000000000001
09011,3.6
09013,4.85
09015,7.5
10003,7.1
12001,11.85
12003,6.85
12005,4.15
12007,17.0
12009,48.2
12011,1.5
12013,14.55
12015,69.0
12017,18.7
12019,3.5999999999999996
12021,98.5
12023,9.6
12027,524.5
12029,2.0
12031,14.7
12033,16.7
12035,14.3
12039,16.65
12041,16.5
12043,44.8
12045,16.65
12047,4.65
12049,439.4
12051,725.2
12053,14.399999999999999
12055,416.85
12057,81.2
12059,7.949999999999999
12061,295.5
