fips,mass
01003,110.7
01005,59.3
01013,3.5
01023,6.0
01025,6.0
01031,109.7
01035,102.4
01039,116.3
01041,5.8
01045,92.6
01053,177.4
01061,195.7
01067,172.6
01069,151.0
01097,72.0
01099,150.8
01109,39.3
01113,40.9
01129,34.4
01131,6.0
04001,3.0
04003,214.4
04005,1.0
04009,38.9
04011,200.9
04012,17.4
04013,257.0
04015,0.9
04017,4.0
04019,13.8
04021,493.6
04023,0.1
04025,0.4
04027,330.7
06001,0.4
06007,0.1
06011,0.6
06013,117.3
06019,955.0
06025,339.6
06029,279.6
06031,1808.7
06033,6.5
06037,9.6
06047,44.3
06053,444.8
06055,70.8
06059,8.6
06065,97.9
06067,293.8
06069,23.9
06071,1.8
06073,152.1
06077,139.1
06079,41.8
06081,1.5
06083,95.0
06085,21.2
06087,2.5
06095,5.1
06097,48.9
06099,8.7
06101,89.6
06107,59.7
06111,55.4
06113,3.7
12001,1.1
12003,60.6
12005,19.5
12007,0.1
12009,40.1
12011,0.1
12013,110.2
12015,2.9
12017,34.2
12019,34.2
12021,40.1
12023,1.4
12027,40.1
12029,72.0
12031,14.3
12033,105.8
12035,2.3
12039,24.9
12041,34.2
12045,78.2
12047,80.7
12049,40.1
12051,40.1
12053,0.1
12055,0.2
12057,121.1
12059,50.6
12061,40.1
12063,570.1
12065,91.3
12067,109.0
12069,0.0
12071,40.1
12073,0.5
12075,34.2
12077,64.1
12079,75.7
12081,1236.9
12083,0.4
12085,0.7
12086,206.9
12089,0.5
12091,88.6
12093,10.9
12095,0.0
12097,0.6
12099,25.1
12101,34.2
12103,34.2
12105,34.2
12107,0.2
12109,34.2
12111,1.0
12113,242.6
12115,40.1
12117,0.1
12119,34.2
12121,12.9
12123,3.7
12125,0.4
12127,0.4
12129,0.8
12131,34.5
12133,20.1
13001,0.45
13003,83.8
13005,0.1
13007,118.0
13017,39.199999999999996
13019,116.25
13021,0.7
13023,5.3
13025,0.1
13027,570.55
13029,5.9
13035,0.0
13037,180.9
13039,9.5
13045,1.3
13049,5.6
13051,0.25
13061,75.6
13063,1.4
13065,23.049999999999997
13069,204.95
13071,507.8
13075,178.95
13077,1.8
13079,3.8
13081,170.25
13087,419.2
13091,9.0
13093,327.29999999999995
13095,29.0
13097,9.8
13099,264.6
13101,43.25
13109,0.6
13113,10.9
13127,0.0
13131,244.7
13133,9.0
13141,0.4
13143,9.8
13145,0.4
13149,8.4
13151,0.7
13153,8.7
13155,164.14999999999998
13159,9.3
13161,109.3
13167,0.8
13169,3.5
13171,9.1
13173,47.650000000000006
13175,12.4
13177,147.1
13179,9.5
13183,6.7
13185,269.15
13191,0.6
13193,84.7
13197,5.55
13199,9.2
13201,172.9
13205,353.1
13207,3.7
13209,6.0
13211,3.7
13215,6.2
13217,0.5
13225,0.7
13229,16.6
13231,8.7
13235,7.0
13237,0.8
13239,2.6
13243,116.0
13247,1.1
13249,3.3499999999999996
13253,218.0
13255,3.8
13259,14.5
13261,260.7
13263,0.1
13265,9.0
13267,16.9
13269,2.4
13271,44.3
13273,260.2
13275,365.0
13277,201.0
13279,6.0
13283,6.2
13285,0.8
13287,118.60000000000001
13289,9.8
13293,6.6
13299,6.9
13303,8.6
13305,2.95
13307,84.1
13309,3.4
13315,109.75
13319,3.5
13321,297.1
16017,0.5
16021,0.0
16049,0.5
16055,0.1
16057,0.1
16061,0.5
16069,6.4
17001,0.2
17005,1.5
17007,0.4
17009,1.5
17011,9.7
17013,1.5
17015,9.7
17017,1.5
17019,1.6
17021,0.2
17023,1.5
17025,1.5
17029,1.5
17031,0.6
17033,0.9
17035,1.5
17037,1.0
17039,1.4
17041,0.1
17043,0.1
17045,1.5
17051,0.6
17057,1.5
17063,0.6
17071,1.5
17073,9.9
17075,0.0
17083,0.0
17085,1.5
17089,2.1
17091,1.7
17093,0.8
17095,1.5
17097,0.6
17099,1.7
17101,1.5
17103,8.3
17105,1.5
17107,2.1
17109,0.1
17111,1.7
17113,0.4
17115,2.1
17117,0.2
17119,1.9
17121,1.5
17123,1.2
17125,82.5
17129,2.1
17131,10.5
17135,1.5
