fips,mass
04001,2.1
04003,97.4
04005,0.1
04007,0.3
04013,76.8
04015,0.1
04017,1.2
04019,97.4
04021,97.4
04023,0.7
04025,0.8
06001,3.3
06007,0.0
06011,31.7
06015,24.6
06019,1511.9
06025,1444.3
06027,180.0
06029,2117.6
06031,1930.9
06033,1.7
06037,268.8
06045,0.6
06047,0.0
06049,216.5
06053,189.4
06055,2.6
06059,108.7
06061,8.9
06065,576.0
06067,3.4
06069,0.1
06071,62.5
06073,436.2
06077,874.4
06083,431.4
06085,11.5
06087,52.5
06095,5.7
06097,2.6
06099,4.2
06107,16.5
06111,43.7
08003,690.7
08007,0.1
08013,0.8
08015,323.0
08021,690.7
08023,690.7
08029,0.9
08033,0.3
08037,0.3
08043,0.1
08045,323.0
08047,323.0
08051,0.1
08055,0.1
08057,323.0
08059,0.1
08067,0.4
08069,0.7
08077,2.5
08081,0.4
08083,1.1
08085,0.9
08087,235.0
08091,0.1
08097,0.0
08101,0.4
08103,0.3
08105,690.7
08107,323.0
08109,4802.4
08113,323.0
08115,52.1
08119,1.2
08123,235.0
09001,0.0
09003,0.2
09005,0.1
09007,0.0
09009,0.0
09011,0.0
09013,0.0
09015,0.0
12001,0.5
12003,42.2
12007,56.5
12009,42.2
12015,42.2
12017,56.5
12019,1.7
12021,42.2
12023,0.1
12027,0.1
12029,0.1
12031,42.2
12035,56.5
12041,0.1
12047,23.5
12049,84.8
12053,56.5
12055,34.5
12057,56.5
12061,0.1
12069,0.1
12071,42.2
12075,63.3
12079,42.2
12081,42.2
12083,0.3
12085,42.2
12086,42.2
12089,0.2
12093,42.2
12095,56.5
12097,56.5
12099,42.2
12101,56.5
12105,0.2
12107,56.5
12109,648.5
12117,56.5
12119,0.3
12121,42.2
12123,42.2
12125,56.5
12127,0.3
16001,10.7
16003,0.0
16005,107.6
16007,30.5
16009,446.1
16011,2517.8
16013,259.6
16015,1.5
16017,0.6
16019,625.1
16021,446.1
16023,40.0
16025,259.6
16027,501.1
16029,107.6
16031,259.6
16033,7.3
16035,446.1
16037,62.0
16039,894.0
16041,107.6
16043,800.5
16045,196.7
16047,343.5
16049,0.2
16051,1158.4
16053,768.3
16055,446.1
16057,0.2
16059,0.0
16063,259.6
16065,1235.4
16067,2605.4
16069,446.1
16071,357.9
16073,76.3
16075,247.6
16077,1640.5
16081,161.0
16083,859.4
16085,196.7
17001,17.9
17007,17.9
17011,17.9
17015,17.9
17019,0.1
17031,0.0
17037,17.9
17043,0.4
17057,0.0
17063,15.1
17067,17.9
17073,17.9
17075,0.2
17085,0.1
17089,0.6
17091,17.9
17093,0.5
17095,17.9
17097,0.3
17099,0.1
17103,17.9
17105,0.3
17107,17.9
17109,17.9
17111,4.4
17113,17.9
17115,0.1
17123,17.9
17125,17.9
17131,19.6
17141,0.0
17143,17.9
17147,18.5
17155,17.9
17161,17.9
17175,17.9
17177,17.9
17179,17.9
17183,0.1
17195,26.2
17197,0.8
17201,17.9
17203,17.9
18001,0.1
18003,5.1
18005,0.2
18011,0.1
18015,0.1
18017,0.0
18023,12.9
18031,0.4
18033,0.0
