fips,mass
01001,165.2
01003,594.4
01005,635.6
01007,45.5
01009,2.1
01013,19.0
01015,49.5
01017,128.3
01019,65.5
01021,110.3
01023,32.4
01025,32.4
01027,45.5
01029,45.5
01031,1017.6
01033,220.2
01035,549.9
01037,1.1
01039,1004.2
01041,104.9
01043,33.2
01045,859.2
01047,252.2
01049,46.5
01051,246.1
01053,952.1
01055,46.9
01057,775.5
01059,138.2
01061,1729.4
01065,13.3
01067,1543.3
01069,1370.9
01071,48.1
01073,17.9
01075,128.3
01077,777.4
01079,796.5
01081,167.3
01083,1188.5
01085,72.2
01087,220.8
01089,1291.8
01091,65.2
01093,28.3
01095,46.0
01097,386.5
01099,809.4
01101,83.9
01103,93.4
01105,47.4
01107,439.1
01109,437.3
01111,87.2
01113,383.0
01115,6.8
01117,635.6
01119,11.9
01121,704.3
01123,128.3
01125,221.8
01127,128.3
01129,184.5
01131,32.4
04001,15.3
04003,350.65
04005,1.5
04007,2.3
04009,1556.5
04011,28.9
04012,1407.25
04013,2715.25
04015,101.44999999999999
04017,7.75
04019,723.6500000000001
04021,5990.549999999999
04023,28.4
04025,3.65
04027,1069.8
05003,37.0
05017,39.8
05019,19.6
05021,1121.6
05031,3134.9
05035,1949.9
05037,108.4
05041,30.5
05043,16.8
05055,194.7
05067,73.7
05069,10.6
05073,17.9
05077,4526.4
05079,35.4
05081,14.3
05085,491.8
05091,14.3
05093,4032.3
05095,305.2
05107,2808.8
05111,1002.9
05117,108.4
05123,2407.7
05147,108.4
06005,141.8
06007,423.2
06011,936.0
06015,486.7
06019,3784.1
06021,587.1
06023,4.0
06025,55.0
06027,88.9
06029,5227.2
06031,1608.5
06033,646.4
06035,96.2
06037,105.5
06039,4455.5
06045,6.5
06047,3758.4
06049,39.7
06051,772.3
06053,1017.5
06059,119.4
06065,527.5
06067,2257.2
06071,680.2
06073,547.9
06077,2927.8
06079,27.6
06083,54.4
06087,7.1
06093,935.7
06095,530.6
06099,1449.1
06101,393.8
06103,277.7
06107,7800.6
06111,182.3
06113,1176.3
06115,56.4
08001,17792.1
08003,1348.7
08005,4809.3
08007,18.2
08009,12112.0
08011,2698.1
08013,202.0
08014,329.9
08015,42.0
08017,12429.0
08019,0.2
08021,3823.7
08023,1087.1
08025,395.2
08027,545.7
08029,186.9
08031,7.9
08033,37.9
08035,546.5
08037,30.5
08039,3985.0
08041,482.9
08043,471.0
08045,216.7
08049,11.4
08051,20.0
08053,0.9
08055,681.2
08057,7.8
08059,11.3
08061,14882.6
08063,19501.0
08067,124.9
08069,357.6
08071,2089.9
08073,13133.6
08075,643.6
08077,191.1
08079,64.4
08081,135.5
08083,265.6
08085,151.6
08087,636.9
08089,3666.1
08091,7.3
08093,7.9
08095,7019.2
08097,8.0
08099,17342.0
08101,1158.4
08103,63.5
08105,2188.5
08107,96.5
08109,1825.1
08113,22.9
08115,57.5
08117,0.6
08119,8.9
08121,19362.4
08123,1994.1
08125,11105.5
09001,14.8
09003,37.3
09005,12.2
09007,9.4
09009,34.2
09011,6.2
09013,5.4
09015,16.2
12001,72.9
12003,2.2
12005,0.1
12007,45.1
12009,167.8
12011,1.1
12013,773.1
12015,925.4
12017,51.7
12019,0.1
12021,925.4
12023,10.2
12027,10761.6
12029,0.6
12031,0.4
12033,991.8
12035,1.4
12039,136.4
12041,3.0
12043,906.4
12047,24.8
12049,8595.5
12051,15090.8
12053,13.8
12055,9372.2
12057,58.5
12059,373.0
12061,6334.9
12063,3660.2
12065,159.9
12067,135.2
12069,92.4
12071,1008.0
12073,0.2
12075,4.8
12079,10.6
12081,903.2
12083,23.55
12085,3204.8
12086,867.9
12089,0.2
12091,263.5
12093,935.8
12095,37.150000000000006
12097,61.8
12099,977.7
12101,33.3
12103,45.55
12105,853.75
12107,8.9
12109,0.45
12111,5641.0
12113,1622.9
12115,908.5
12117,13.8
12119,51.7
12121,55.7
12123,1.4
12127,14.45
12129,2.3
12131,322.0
12133,156.3
13001,820.0
13003,2158.25
13005,346.5
13007,1910.15
13009,62.3
13011,0.1
13013,126.3
13015,6.7
13017,1343.1
13019,3729.25
13021,66.6
13023,334.45000000000005
13025,0.7
13027,5179.5
13029,14.2
13031,5532.5
13033,3099.8
13035,62.099999999999994
13037,3441.8
13039,0.1
13043,855.0
13045,124.0
13047,17.8
13049,4.8
13051,0.8
13053,68.8
13055,126.0
13057,3.4
13059,124.0
13061,1136.8
13065,62.75
13067,124.0
13069,5900.6
13071,7486.65
13073,194.7
13075,2979.25
13077,175.4
13079,543.3
13081,5293.8
13087,6287.4
13089,1.6
13091,876.3499999999999
13093,10322.15
13095,2527.25
13097,0.2
13099,4129.049999999999
13101,235.5
13103,995.4
13105,9.7
13107,1956.6
13109,114.3
13113,51.6
13115,125.1
13117,124.0
13119,6.8
13121,124.0
13123,3.0
13125,102.2
13129,1.1
13131,3536.1499999999996
13133,113.4
13135,0.0
13137,194.7
13139,1.6
13141,84.44999999999999
13143,51.4
13145,17.1
13147,194.7
13149,124.0
13151,124.3
13153,734.75
13155,4624.4
13157,15.2
13159,113.4
13161,2635.9
13163,1370.1
13165,1279.4
13167,271.5
13169,113.4
13171,87.7
13173,1376.2
13175,755.3
13177,3298.1000000000004
13183,11.4
13185,976.35
13189,218.5
13193,2749.4
13195,195.3
13197,156.8
13199,175.4
13201,2716.3
13205,7789.450000000001
13207,57.8
13209,816.85
13211,203.45
13213,59.9
13217,130.0
13219,7.5
13221,194.7
13223,124.0
13225,3290.75
13227,1.7
13229,368.1
13231,69.4
13233,58.8
13235,1183.75
13237,78.80000000000001
13239,38.8
13241,194.7
13243,1930.25
13245,37.2
13247,124.0
13249,124.3
13251,3161.7
13253,3342.9
13255,175.4
13259,175.9
13261,3838.8
13263,125.9
13265,113.4
13267,226.0
13269,86.2
13271,943.5
13273,4221.9
13275,5649.8
13277,4642.450000000001
13279,229.5
13283,215.4
13285,124.1
13287,3706.5
13289,447.7
13293,175.4
13295,21.6
13297,126.3
13299,153.8
13301,140.5
13303,594.9000000000001
13305,148.7
13307,1357.2
13309,141.10000000000002
13315,3649.35
13317,203.6
13319,85.80000000000001
13321,7692.549999999999
16001,1002.9
16003,460.3
16005,78.0
16007,120.3
16009,795.9499999999999
16011,217.2
16013,295.6
16015,214.5
16017,98.9
16019,77.5
16021,546.5
16023,128.9
16025,775.4
16027,2971.5
16029,69.5
16031,856.3
16033,63.5
16035,224.8
16037,87.3
16039,2091.4
16041,126.5
16043,61.3
16045,431.5
16047,494.6
16049,2155.2
16051,215.8
16053,417.3
16055,510.7
16057,2514.35
16059,28.2
16061,1828.0
16063,423.7
16065,49.0
16067,525.7
16069,3290.25
16071,77.5
16073,1954.1
16075,848.5
16077,30.8
16079,263.4
16081,71.1
16083,923.5
16085,78.5
16087,1121.8
18015,3.1
18017,0.7
18039,5.7
18049,5.0
18073,1.9
18085,3.1
18089,0.7
18091,3.1
18099,5.4
18103,3.1
18127,3.3
18141,3.0
18149,3.5
18169,7.7
18181,0.2
20001,62.6
20003,236.6
20005,137.3
20007,1765.35
20009,1841.4
20011,53.75
20013,164.7
20015,297.05
20017,100.5
20019,26.65
20021,24.75
20023,67.3
20025,2291.75
20027,214.9
20029,328.9
20031,506.9
20033,271.09999999999997
20035,1582.0
20037,76.5
20039,185.5
20041,1054.5
20043,60.6
20045,141.1
20047,556.6500000000001
20049,61.15
20051,266.6
20053,533.1
20055,15349.2
20057,9295.65
20059,391.2
20061,214.5
20063,3297.35
20065,82.6
20067,3749.85
20069,7949.9
20071,5763.75
20073,104.19999999999999
20075,7209.6
20077,1637.85
20079,586.8
20081,3758.15
20083,4678.3
20085,197.0
20087,188.5
20089,405.2
20091,94.1
20093,10626.45
20095,1320.4
20097,942.25
20099,67.60000000000001
20101,3793.0
20103,249.6
20105,482.4
20107,81.3
20109,3892.7000000000003
20111,408.9
20113,569.7
20115,480.5
20117,344.3
20119,3277.95
20121,183.7
20123,193.2
20125,74.69999999999999
20127,445.0
20129,3269.5
20131,531.4
20133,63.2
20135,5021.150000000001
20137,139.2
20139,193.8
20141,157.1
20143,577.8
20145,743.4000000000001
20147,492.6
20149,613.6
20151,3339.05
20153,144.0
20155,1674.6999999999998
20157,465.7
20159,436.3
20161,346.6
20163,360.2
20165,295.8
20167,319.7
20169,476.3
20171,3810.35
20173,949.6999999999999
20175,3042.7
20177,99.8
20179,56.4
20181,33.6
20183,298.6
20185,1502.45
20187,4966.65
20189,2948.2999999999997
20191,4019.6
20193,41.5
20195,3490.0
20197,275.2
20199,3070.0
20201,431.3
20203,4577.35
20205,83.35000000000001
20207,87.95
20209,28.5
22003,31.0
22009,59.1
22015,38.9
22017,261.0
22021,19.2
22025,237.4
22029,187.2
22031,6.0
22035,556.2
22039,6.3
22041,479.5
22043,46.6
22065,1143.6
22067,666.3
22069,74.0
22073,45.7
22077,14.6
22079,100.0
22081,6.0
22083,1257.9
22097,4.6
22107,2045.9
22123,66.1
22125,66.0
23001,11.2
23003,7.2
23005,11.1
23007,2.9
23009,3.8
23011,9.8
23013,11.2
23015,11.2
23017,33.6
23019,21.5
23021,2.8
23023,11.2
23025,4.2
23027,5.3
23029,11.2
23031,18.6
24001,4.4
24005,2.0
24013,7.3
24021,6.3
24023,5.7
24025,5.4
24027,3.7
24031,7.9
24043,51.5
25001,2.4
25003,2.4
25005,7.3
25007,2.4
25009,13.3
25011,32.5
25013,15.7
25015,16.7
25017,23.5
25019,2.4
25021,2.4
25023,10.0
25027,124.4
26001,61.95
26005,174.4
26007,64.25
26009,130.55
26011,19.25
26015,69.8
26017,16.049999999999997
26019,191.20000000000002
26021,585.9
26023,22.35
26025,32.95
26027,51.900000000000006
26029,138.5
26031,12.05
26035,31.2
26037,73.7
26039,0.4
26045,60.6
26047,16.7
26049,18.849999999999998
26051,26.650000000000002
26055,193.3
26057,115.6
26059,26.45
26063,75.15
26065,19.85
26067,33.45
26069,19.9
26073,42.9
26075,28.65
26077,31.450000000000003
26079,106.80000000000001
26081,393.7
26085,51.6
26087,29.55
26089,224.75
26091,27.65
26093,19.049999999999997
26099,40.9
26101,164.4
26105,1653.2
26107,173.35000000000002
26111,14.149999999999999
26113,8.2
26115,15.1
26117,108.85
26119,58.5
26121,973.4
26123,505.2
26125,29.049999999999997
26127,11472.5
26129,51.9
26133,80.55
26135,7.9
26137,58.75
26139,181.39999999999998
26141,19.349999999999998
26143,2.6500000000000004
26145,22.5
26147,13.3
26149,62.35
26151,122.75
26155,65.25
26157,37.2
26159,866.05
26161,32.4
26163,6.6
26165,105.25
27001,4.3
27003,2.0
27007,0.8
27009,4.3
27017,0.0
27019,12.0
27021,4.3
27025,7.8
27031,0.6
27035,4.3
27053,4.3
27057,4.3
27059,1.5
27061,1.1
27065,4.3
27067,4.3
27071,4.3
27075,0.9
27077,0.3
27085,3.4
27093,4.3
27095,3.7
27097,1.2
27115,4.3
27123,4.3
27129,3.5
27137,3.4
27139,4.3
27141,4.3
27143,2.7
27145,18.1
27153,3.5
27159,4.3
27163,47.6
27171,43.9
28001,657.4
28003,528.6
28007,90.1
28009,62.7
28011,127.0
28013,536.4
28015,1863.5
28017,244.3
28019,90.1
28021,966.3
28025,132.9
28027,846.1
28029,306.4
28031,306.4
28033,362.8
28035,68.1
28039,173.9
28041,121.7
28043,62.7
28049,1250.1
28051,3743.5
28053,778.2
28055,284.5
28057,376.6
28059,68.1
28063,306.4
28071,186.3
28077,95.3
28079,110.3
28081,1056.3
28083,1592.8
28087,1674.2
28089,425.3
28093,138.8
28095,912.9
28097,422.8
28103,2901.8
28105,132.9
28107,1710.5
28111,68.1
28115,110.4
28117,446.7
28119,233.8
28121,156.6
28123,81.7
28125,500.7
28129,306.4
28131,68.1
28133,752.0
28135,409.2
28137,319.4
28139,581.1
28141,1660.3
28143,310.4
28145,181.1
28149,2667.6
28151,826.6
28155,523.6
28159,132.9
28161,316.1
28163,1118.7
29009,0.2
29011,2.0
29013,0.8
29023,19.3
29037,0.2
29039,0.1
29043,0.0
29057,1.1
29069,3845.3
29077,0.1
29083,0.7
29095,0.1
29097,1.6
29101,0.5
29107,0.1
29109,0.5
29119,0.0
29133,20.3
29143,3391.2
29145,0.3
29155,1475.1
29185,0.5
29201,245.3
29207,2866.8
29209,0.1
29217,0.9
30001,151.2
30003,775.4
30007,375.9
30009,685.3
30013,980.7
30023,84.9
30027,2463.8
30029,359.4
30031,133.2
30037,341.9
30039,165.3
30043,46.6
30045,1344.0
30047,623.7
30049,427.7
30053,52.7
30057,170.6
30059,353.0
30061,27.6
30063,93.7
30065,381.3
30067,685.3
30069,278.8
30077,254.5
30081,260.8
30089,272.8
30093,2.4
30095,924.7
30097,435.8
30103,187.0
30107,407.0
30111,677.9
31001,38.4
31019,1230.7
31029,101.7
31035,205.9
31041,3028.1
31047,2277.3
31057,98.1
31059,214.1
31061,122.5
31063,75.7
31065,248.7
31067,493.4
31073,98.2
31077,799.9
31079,319.5
31083,100.3
31085,126.5
31087,95.7
31093,927.5
31095,357.1
31097,224.7
31099,72.9
31101,125.5
31111,615.4
31127,114.1
31129,335.8
31131,342.6
31133,282.5
31135,25.0
31137,80.8
31145,138.0
31147,200.8
31151,366.1
31163,1012.1
31169,304.1
31175,1254.2
31181,195.4
32001,544.0
32003,12.5
32005,224.0
32007,297.1
32009,76.8
32011,487.0
32013,1670.6
32015,395.9
32017,83.4
32019,607.9
32021,12.0
32023,52.8
32027,320.4
32029,1.9
32031,246.4
32033,287.1
32510,20.5
33001,2.8
33003,8.0
33005,4.8
33007,1.6
33009,8.0
33011,21.8
33013,8.0
33015,36.8
33017,4.1
33019,2.1
34001,3.8
34003,5.2
34005,7.6
34007,5.2
34009,5.2
34011,5.2
34013,5.2
34015,19.0
34019,15.9
34021,4.7
34023,3.0
34025,14.0
34027,10.2
34029,1.2
34031,5.2
34033,1.3
34035,2.1
34037,13.7
34041,13.6
35001,17.7
35003,25.3
35005,1318.6
35006,2.1
35007,515.9
35009,3802.1
35011,396.9
35013,1355.0
35015,1274.7
35017,6.0
35019,155.4
35021,138.1
35023,116.0
35025,1022.2
35027,30.0
35028,0.0
35029,97.75
35031,2.6
35033,419.7
35035,81.6
35037,2341.0
35039,62.1
35041,2432.0
35043,30.6
35045,216.5
35047,435.9
35049,49.6
35051,93.95
35053,115.4
35055,49.1
35057,485.9
35059,324.7
35061,69.3
36001,14.5
36003,5.8
36007,6.8
36009,5.8
36011,5.8
36013,4.6
36015,10.9
36017,1.8
36019,219.8
36021,129.6
36023,5.8
36025,4.9
36027,23.3
36029,2.0
36031,4.4
36033,1.3
36035,4.5
36037,0.2
36039,2.9
36041,4.4
36043,5.8
36045,5.2
36049,0.8
36051,6.0
36053,3.1
36055,73.0
36057,2.1
36059,0.1
36063,277.9
36065,19.0
36067,56.1
36069,6.0
36071,73.3
36073,486.5
36075,24.6
36077,13.2
36079,4.4
36081,4.4
36083,25.5
36087,4.4
36089,3.7
36091,24.6
36093,4.4
36095,18.2
36097,2.8
36099,4.8
36101,1.9
36103,22.2
36105,2.0
36107,5.8
36109,6.0
36111,315.1
36115,6.7
36117,2015.9
36119,4.4
36121,6.0
36123,11.1
37003,0.2
37005,0.1
37007,52.2
37013,231.6
37015,602.4
37017,47.1
37019,32.0
37025,35.8
37029,17.3
37031,15.3
37041,267.6
37045,35.8
37047,85.7
37049,71.7
37051,173.4
37059,15.3
37061,297.3
37065,402.7
37069,12.2
37073,289.3
37077,20.5
37079,143.1
37081,2.3
37083,1371.6
37085,345.4
37091,389.4
37093,296.5
37095,202.9
37101,114.0
37103,327.9
37105,31.1
37107,193.0
37109,35.8
37113,0.0
37117,915.1
37123,15.3
37125,35.8
37127,192.8
37131,1227.3
37133,151.7
37137,22.7
37139,17.3
37141,32.0
37143,167.9
37147,339.2
37151,15.3
37153,35.8
37155,565.2
37159,15.3
37161,2.7
37163,584.0
37165,196.8
37167,625.1
37171,0.6
37177,17.3
37179,157.6
37183,15.3
37185,12.2
37187,220.3
37191,111.2
37195,213.8
39005,1.9
39007,12.5
39029,38.150000000000006
39033,3.5
39035,3.5
39043,44.4
39055,10.2
39077,6.4
39085,4.95
39093,37.7
39099,28.9
39103,6.800000000000001
39123,6.4
39133,4.75
39139,20.1
39143,32.8
39147,3.0
39151,10.299999999999999
39153,7.5
39155,4.25
39169,15.15
39175,0.3
40003,571.8
40005,213.3
40007,6631.2
40009,3326.9
40011,1386.2
40013,261.9
40015,1334.2
40017,2367.5
40019,443.4
40025,3494.5
40027,144.4
40029,220.8
40031,1149.3
40033,477.4
40035,0.3
40037,66.6
40039,2225.3
40041,77.65
40043,395.3
40045,1627.8
40047,320.85
40049,1344.1
40051,2320.9
40053,1487.2
40055,356.4
40057,184.3
40059,1605.5
40065,737.3
40067,789.5
40069,110.7
40071,2425.95
40073,1292.9
40075,1080.3
40081,1270.4
40083,968.4
40085,151.9
40087,759.7
40089,4.3
40093,412.5
40095,56.9
40097,0.3
40099,185.4
40101,0.3
