fips,mass
01001,73.4
01003,555.35
01005,610.3499999999999
01007,206.3
01009,646.1
01011,299.8
01013,624.4000000000001
01015,206.3
01017,262.65
01019,558.1
01021,161.65
01023,42.2
01025,148.10000000000002
01027,206.3
01029,206.3
01031,556.0
01035,53.3
01037,4.9
01039,255.85000000000002
01041,227.2
01043,148.4
01045,521.35
01047,97.4
01049,558.1
01051,48.7
01053,330.29999999999995
01055,206.3
01057,640.15
01059,404.7
01061,682.95
01063,97.4
01065,97.4
01067,657.2
01069,788.55
01071,217.1
01073,81.1
01075,206.3
01079,2538.2
01081,262.65
01085,97.4
01087,97.4
01091,97.4
01095,206.3
01097,1356.6999999999998
01099,241.45
01101,98.2
01103,19.7
01105,97.4
01107,262.65
01109,470.15
01111,19.9
01113,220.64999999999998
01115,30.8
01117,18.1
01119,97.4
01121,155.6
01123,262.65
01125,206.3
01127,206.3
01129,98.15
01131,146.95
06007,399.6
06011,1089.7
06021,74.3
06029,373.8
06033,936.4
06039,46.4
06045,323.6
06101,163.3
06103,5.3
06107,13.9
06115,81.9
09001,35.2
09003,88.55
09005,29.1
09007,22.25
09009,81.15
09011,14.7
09013,12.8
09015,38.55
12001,756.6
12003,22.5
12005,86.1
12007,119.1
12009,46.3
12013,341.6
12019,5.6
12021,74.7
12023,128.5
12029,30.2
12031,102.6
12033,626.4
12035,74.7
12039,134.9
12041,74.7
12043,179.8
12045,157.6
12047,107.75
12053,1.9
12055,74.7
12057,74.7
12059,312.2
12061,260.9
12063,1647.8
12065,1283.8
12067,168.5
12069,6.9
12071,71.1
12073,157.6
12075,74.7
12077,3.4
12079,173.5
12081,93.5
12083,59.5
12086,174.9
12089,64.6
12091,191.9
12095,65.7
12097,24.1
12099,74.7
12101,34.5
12105,317.5
12107,129.1
12109,61.9
12113,721.7
12117,6.5
12119,74.7
12121,234.35000000000002
12123,0.7
12125,38.2
12127,74.7
12129,24.0
12131,206.0
12133,97.2
13001,900.8
13003,241.15
13005,118.5
13007,1412.4499999999998
13009,5.8
13011,22.4
13013,284.0
13015,1.9
13017,494.15
13019,3089.6
13021,5.8
13023,1.6
13025,22.7
13027,419.1
13029,176.1
13031,1053.1
13033,420.0
13035,5.8
13037,6703.35
13039,1.6
13043,1370.7
13045,562.2
13047,80.9
13049,176.1
13051,176.1
13053,79.1
13055,563.0
13057,7.7
13059,284.0
13061,629.2
13065,109.45
13067,284.0
13069,559.2
13071,2704.9
13073,420.0
13075,422.6
13077,562.2
13079,44.4
13081,2463.75
13083,0.9
13087,1040.25
13089,3.7
13091,7.2
13093,3030.4
13095,19367.25
13097,1.1
13099,604.0
13101,278.45
13103,420.0
13105,92.9
13107,1101.7
13109,633.8
13113,0.5
13115,562.4000000000001
13117,284.0
13119,1.1
13121,284.0
13123,6.9
13125,420.0
13127,2.3
13129,0.4
13131,4640.45
13133,5.8
13135,0.1
13137,0.3
13139,3.7
13141,6.1
13145,70.6
13147,92.9
13149,562.2
13151,562.2
13153,40.4
13155,1252.75
13157,34.7
13159,5.8
13161,416.35
13163,2864.5
13165,344.7
13167,5.8
13169,5.8
13171,168.2
13173,316.5
13175,4.2
13177,10362.35
13179,176.1
13181,11.4
13183,28.3
13185,2483.1
13189,420.0
13191,1.4
13193,13270.1
13195,5.7
13197,901.6
13199,562.2
13201,778.85
13205,23417.5
13207,0.6
13209,25.6
13211,2.3
13213,272.05
13217,5.8
13219,11.9
13221,92.9
13223,562.6500000000001
13225,293.5
13227,3.9
13229,1224.0
13231,81.4
13233,254.45
13235,46.4
13237,5.8
13239,28.05
13243,1833.4499999999998
13245,58.1
13247,5.8
13249,937.15
13251,2783.4
13253,786.35
