fips,mass
04001,18.4
04003,682.0
04005,5.4
04007,2.3
04012,135.4
04013,2886.2
04015,20.6
04017,20.6
04019,683.3
04021,681.8
04023,17.2
04025,6.1
04027,0.2
06019,448.4
06025,57243.4
06027,711.2
06029,16659.4
06037,131.1
06047,305.1
06049,31.6
06053,225.2
06065,27020.1
06067,127.0
06069,117.5
06077,847.7
06079,99.3
06083,355.8
06085,462.0
06093,81.0
06095,303.3
06099,169.1
06111,72.5
06113,157.5
08001,4149.3
08003,1164.1
08005,14.4
08007,0.45
08009,8.2
08011,8.2
08013,49.4
08015,1104.1
08017,31.9
08021,1164.1
08023,1177.8
08025,8.2
08029,362.0
08031,4034.4
08033,2040.45
08035,4034.4
08037,0.95
08039,1.7
08041,5.9
08045,1104.1
08047,1104.1
08051,0.45
08057,1104.1
08059,1.7
08061,29.4
08063,281.5
08067,20.15
08069,358.4
08071,52.4
08073,9.4
08075,73.1
08077,51.05
08081,1.35
08083,1064.75
08085,742.8
08087,4091.0
08089,108.1
08091,0.45
08095,4514.8
08097,0.0
08099,25.0
08101,174.3
08103,0.95
08105,1164.1
08107,1104.1
08109,8094.3
08113,1122.9
08115,1125.1
08119,4.1
08121,81.4
08123,5279.1
08125,5360.3
16001,1291.0
16003,0.4
16005,835.0
16007,236.4
16009,6809.1
16011,19723.3
16013,656.0
16015,18.6
16017,4.35
16019,5039.35
16021,2747.15
16023,310.1
16025,702.4
16027,18830.5
16029,893.8
16031,7859.4
16033,56.6
16035,2941.8
16037,481.1
16039,14411.9
16041,1099.45
16043,6475.65
16045,2802.3
16047,1236.4
16049,1611.1000000000001
16051,8990.8
16053,7460.7
16055,2823.75
16057,19212.2
16059,2.9499999999999997
16061,16799.5
16063,1084.6
16065,9746.25
16067,9071.1
16069,20870.65
16071,2881.25
16073,3363.5
16075,4129.7
16077,12916.5
16081,1308.1
16083,17098.3
16085,2361.3
16087,1619.8
17001,24.9
17007,49.8
17011,1.6
17015,114.6
17019,0.5
17023,29.6
17025,0.4
17029,29.6
17031,15.1
17035,29.6
17037,57.949999999999996
17041,29.6
17043,0.7
17045,0.8
17049,25.2
17051,0.8
17053,6.5
17057,0.3
17063,50.0
17067,24.9
17071,24.9
17073,114.6
17075,34.75
17085,114.6
17089,14.4
17091,5.2
17093,49.8
17095,0.3
17097,4.8
17099,12.0
17101,29.6
17103,224.5
17105,0.9
17107,0.8
17109,0.2
17111,49.8
17113,0.8
17115,0.4
17121,29.6
17123,29.6
17125,1142.2
17129,29.6
17131,114.6
17139,0.4
17141,114.6
17143,36.1
17147,34.3
17161,476.8
17173,0.4
17175,30.5
17177,1.6
17179,606.3
17183,0.5
17187,6.5
17195,115.05
17197,2.7
17201,3.2
17203,23.2
18001,0.4
18003,15.7
18005,265.7
18007,18.2
18011,15.7
18013,15.7
18015,2.1
18017,1.4
18019,15.7
18021,0.4
18023,15.7
18025,0.4
18027,2.0
18029,0.2
18031,15.7
18033,0.4
18035,2.9
18037,15.7
18039,26.6
18041,15.7
18043,0.4
18045,12.2
18047,0.4
18049,26.6
18051,15.7
18053,0.8
18055,14.7
18057,15.7
18059,4.1
18061,0.4
18063,15.7
18065,0.4
18067,15.7
18069,15.7
18071,0.4
18073,18.2
18075,43.5
18077,0.8
18079,0.2
18081,0.8
18083,15.7
18085,26.6
18087,15.7
18089,18.2
18091,18.2
18093,1.2
18095,2.4
18097,0.4
18099,0.7
18101,0.4
18103,26.6
18105,1.2
18107,15.7
18109,15.7
18111,51.0
18113,0.4
18115,1.1
18117,0.4
18119,0.4
18121,1.6
18123,0.4
18127,0.5
18129,40.2
18131,18.2
18133,0.2
18135,15.7
18137,15.7
18139,0.4
18141,0.7
18143,0.2
18145,0.4
18147,15.7
18149,18.2
18153,9.8
18155,0.4
18157,0.4
18159,15.7
18163,15.7
18165,20.4
18167,15.7
18169,0.7
18171,15.7
18173,15.7
18175,9.8
18177,0.8
18179,0.4
18181,18.2
18183,0.4
19005,2.6
19011,1.4
19013,2.6
19017,2.6
19019,2.6
19031,6.5
19037,3.2
19043,3.6999999999999997
19045,3.1
19051,2.1
19055,2.6
19057,0.2
19061,0.3
19065,0.3
19087,0.3
