fips,mass
01001,0.1
01003,8.4
01005,2.25
01007,0.1
01009,0.4
01011,0.0
01013,0.4
01015,0.2
01017,0.1
01019,0.0
01021,0.1
01025,0.0
01027,0.0
01029,0.0
01031,2.5999999999999996
01033,0.0
01035,0.2
01037,0.0
01039,1.4000000000000001
01041,0.75
01043,0.1
01045,2.75
01047,0.5
01049,0.1
01051,0.0
01053,3.5
01055,0.1
01057,0.0
01059,0.2
01061,3.8
01067,3.5
01069,4.7
01071,0.0
01073,0.2
01075,0.1
01077,0.0
01079,1.0
01081,0.0
01083,0.2
01085,0.2
01087,0.2
01089,0.1
01091,0.0
01093,0.1
01095,0.1
01097,1.7
01099,2.0
01103,0.1
01105,0.1
01107,0.1
01109,1.7
01111,0.0
01113,1.05
01115,0.1
01117,0.1
01119,0.0
01121,0.1
01123,0.1
01125,0.2
01127,0.0
01129,1.3
01131,0.0
01133,0.1
04001,8.25
04003,8.05
04005,3.15
04007,20.35
04009,1.85
04011,1.5499999999999998
04012,1.5
04013,60.15
04015,1.65
04017,6.1
04019,23.8
04021,27.25
04023,20.549999999999997
04025,3.1500000000000004
04027,9.05
05021,7.2
05031,20.2
05035,4.7
05037,0.3
05055,1.3
05067,0.5
05077,11.0
05085,1.2
05093,26.0
05095,0.7
05107,6.8
05111,6.5
05117,0.3
05123,5.9
05147,0.3
06007,566.9
06011,503.8
06013,74.9
06019,2745.8
06021,682.5
06025,2021.0
06029,1303.1
06031,237.7
06033,2.5
06037,13.0
06039,587.5
06045,36.2
06047,525.5
06049,8.1
06053,520.0
06057,0.0
06059,0.8
06061,6.4
06065,191.6
06067,23.2
06069,59.8
06071,0.1
06073,7.3
06077,668.9
06079,11.5
06081,2.0
06083,49.0
06085,197.8
06087,2.1
06089,0.2
06093,1.5
06095,92.1
06099,614.8
06101,988.9
06103,296.9
06107,771.0
06111,43.1
06113,348.4
06115,382.2
08001,43.550000000000004
08003,9.4
08005,4.55
08007,0.2
08009,4.4
08011,0.65
08013,2.7
08014,0.05
08015,9.100000000000001
08017,32.85
08021,9.4
08023,9.4
08025,0.0
08029,43.2
08031,15.8
08033,0.6
08035,0.8
08037,0.0
08039,3.6999999999999997
08041,4.45
08043,0.0
08045,9.8
08047,9.100000000000001
08051,0.0
08055,0.0
08057,9.100000000000001
08059,8.9
08061,57.55
08063,50.65
08067,0.8
08069,4.1
08071,0.0
08073,37.45
08075,52.8
08077,8.4
08081,0.0
08083,3.9
08085,34.6
08087,18.6
08089,0.4
08091,0.0
08095,20.5
08097,0.0
08099,2.1
08101,0.2
08103,0.0
08105,9.4
08107,9.3
08109,65.2
08113,9.3
08115,43.7
08119,0.0
08121,19.3
08123,69.1
08125,34.6
09001,0.5
09003,2.9000000000000004
09005,0.65
09007,0.4
09009,1.3
09011,0.30000000000000004
09013,0.55
09015,0.6
12001,1.55
12003,10.3
12005,11.4
12007,4.800000000000001
12011,8.0
12013,2.55
12015,12.1
12017,11.8
12019,7.449999999999999
12021,8.0
12023,3.3000000000000003
12027,8.0
12029,3.5999999999999996
12031,12.2
12033,1.9000000000000001
12035,6.95
12039,2.5
12041,12.75
12043,8.0
12045,11.649999999999999
12047,14.200000000000001
12049,8.0
12051,8.0
12053,11.8
12055,8.0
12057,5.300000000000001
12059,2.7
12061,0.0
12063,43.150000000000006
12065,6.65
12067,8.15
12069,7.3
12071,0.2
12073,1.35
12075,15.5
12077,10.6
12079,16.45
12081,26.1
12083,4.7
12085,8.0
12086,138.5
12089,0.3
12091,0.6499999999999999
12093,8.6
12095,11.8
12097,11.8
12099,1185.2
12101,12.35
12103,0.1
12105,0.4
12107,4.699999999999999
12109,59.3
12113,10.65
12117,11.8
12119,0.75
12121,20.15
12123,10.6
12125,4.800000000000001
12127,0.25
12129,0.2
12131,1.4
12133,1.75
13001,55.55
13003,3.7
13005,16.65
13007,5.6
13013,0.0
13015,0.1
13017,5.9
13019,13.6
13021,0.7
13023,2.0
13025,0.4
13027,17.75
13029,1.4500000000000002
13031,13.8
13033,11.4
13037,27.5
13039,0.25
13043,0.7
13045,0.8500000000000001
13047,0.0
13049,0.0
13051,0.6
13053,0.2
13055,1.3
13057,0.1
13059,0.0
13061,2.8
13063,0.3
13065,1.0499999999999998
13067,0.0
13069,3.45
13071,52.95
13075,3.5
13077,1.35
13079,0.45
13081,9.850000000000001
13083,0.0
13085,0.1
13087,4.25
13089,0.0
13091,2.5
13093,17.65
13095,75.85
13097,0.4
13099,2.65
13101,8.95
13103,2.8
13107,3.0
13109,8.05
13111,1.5
13113,0.4
13115,0.0
13117,0.1
13121,0.1
13123,0.0
13125,0.1
13127,0.0
13129,0.1
13131,21.65
13133,0.4
13135,1.5
13139,1.5
13141,0.0
13143,0.4
13145,0.1
13149,0.8500000000000001
13151,0.8500000000000001
13153,0.9
13155,5.949999999999999
13157,0.1
13159,0.25
13161,3.8499999999999996
13163,4.8
13165,2.9
13167,1.2999999999999998
13169,0.4
13171,1.35
13173,1.75
13175,2.9
13177,41.05
13179,0.25
13183,0.15
13185,23.4
13187,0.1
13191,0.3
13193,18.4
13197,1.7
13199,0.8500000000000001
13201,3.5
13205,93.95
13207,0.1
13209,1.25
13211,0.95
13215,0.3
13217,0.35
13219,0.1
13223,0.0
13225,0.5
13227,1.5
13229,22.799999999999997
13231,1.0
13233,0.0
13235,4.75
13237,1.15
13239,0.1
13243,8.9
13247,0.0
13249,1.3
13251,6.7
13253,3.15
13255,0.8500000000000001
13259,2.7
13261,3.55
13263,1.25
13265,0.4
13267,14.2
13269,1.25
13271,4.35
13273,12.350000000000001
13275,3.65
13277,9.3
13279,17.200000000000003
13281,0.0
13283,0.75
13285,1.05
13287,8.450000000000001
13289,1.2
13291,1.5
13293,1.25
13295,0.0
13297,0.0
13299,9.75
13303,1.6500000000000001
13305,6.8
13307,3.05
13309,0.6
13311,0.1
13313,0.0
13315,5.3
13319,0.45
13321,5.8
16001,11.75
16003,0.0
16005,2.0
16007,0.5
16009,9.5
16011,66.7
16013,25.65
16015,0.0
16017,0.7
16019,10.149999999999999
16021,5.6
16023,0.6
16025,24.1
16027,97.95
16029,1.7
16031,80.0
16033,0.1
16035,5.4
16037,1.0
16039,77.55
16041,4.3
16043,12.95
16045,11.350000000000001
16047,33.3
16049,0.3
16051,18.9
16053,86.44999999999999
