fips,mass
01001,2630.9
01003,11804.3
01005,1925.7
01009,565.2
01013,377.9
01015,1315.4
01017,201.2
01019,6579.9
01021,201.2
01023,644.2
01025,644.2
01031,3563.0
01033,972.6
01035,10922.1
01039,3778.0
01041,188.5
01043,151.4
01045,3006.6
01047,4015.0
01049,344.9
01051,3919.0
01053,18909.2
01055,470.3
01057,1734.3
01059,610.2
01061,6356.9
01065,212.0
01067,5608.0
01069,4906.3
01071,864.6
01075,201.2
01077,3433.4
01079,3517.6
01081,296.0
01083,5248.7
01085,1149.4
01087,3515.9
01089,5705.1
01091,1038.6
01093,125.0
01095,151.4
01097,7676.7
01099,16075.5
01101,1335.5
01103,412.5
01105,754.3
01107,956.0
01109,1276.5
01111,201.2
01113,1329.8
01117,1534.1
01119,189.8
01121,1627.4
01123,201.2
01125,428.2
01127,201.2
01129,3663.8
01131,644.2
04001,0.3
04003,24.9
04005,0.2
04007,0.1
04009,242.2
04011,1.6
04012,101.6
04013,257.4
04015,32.4
04017,0.2
04019,108.7
04021,814.8
04023,0.1
04025,1.1
04027,113.4
05003,5564.3
05017,5988.7
05019,491.9
05021,19138.7
05031,53491.2
05035,8756.0
05037,486.7
05041,4600.1
05043,2529.7
05055,3322.3
05067,1258.1
05069,1603.0
05073,200.6
05077,20325.9
05079,5324.2
05081,160.7
05085,2208.6
05091,160.7
05093,68804.0
05095,1370.6
05107,12613.1
05111,17112.2
05117,486.7
05123,10811.7
05147,486.7
06007,9057.2
06009,33.0
06011,3695.1
06013,17.4
06019,48015.7
06021,7927.2
06025,1288.6
06029,11118.8
06031,46024.1
06037,0.7
06039,1497.0
06047,33672.4
06053,163.4
06059,1.0
06061,341.6
06065,3101.5
06067,341.4
06069,5.7
06073,91.4
06077,12766.2
06079,69.3
06083,2.8
06085,69.0
06089,26.5
06095,769.5
06099,4032.3
06101,3332.5
06103,4333.1
06107,12662.2
06111,54.0
06113,2210.5
06115,2391.3
12001,374.9
12013,3731.1
12023,76.2
12033,4775.8
12039,656.7
12041,26.4
12047,166.3
12059,1789.7
12063,17662.7
12065,765.3
12067,765.0
12069,18.8
12079,51.4
12083,51.4
12089,2.1
12091,1270.2
12107,10.6
12113,7820.4
12119,11.3
12121,454.3
12127,23.6
12131,1552.6
12133,743.7
13001,20672.2
13003,8427.2
13005,8075.55
13007,8378.6
13013,142.0
13015,1446.8
13017,4781.8
13019,12580.7
13023,3311.5
13025,20.1
13027,20644.6
13029,159.7
13031,19588.2
13033,10916.9
13037,12834.5
13043,2970.6
13049,106.3
13055,460.9
13061,5070.2
13065,295.5
13069,23729.5
13071,26785.7
13075,11498.7
13079,173.7
13081,18469.2
13087,29123.6
13091,8431.7
13093,37394.0
13095,1616.1
13099,18746.4
13101,834.3
13103,2863.1
13105,528.0
13107,6275.4
13109,3137.6
13113,9.3
13115,252.2
13123,0.3
13125,360.3
13129,252.2
13131,13964.5
13153,2737.3
13155,17373.3
13161,9934.5
13163,4143.9
13165,4406.7
13167,1651.3
13171,0.8
13173,5710.4
13175,6755.0
13177,9956.3
13183,314.3
13185,1258.0
13189,84.1
13193,626.8
13195,36.0
13197,41.0
13201,12278.1
13205,24634.8
13209,5134.0
13211,1335.8
13217,173.7
13219,142.0
13225,994.6
13229,10473.900000000001
13233,625.3
13235,6458.9
13237,173.7
13239,170.0
13243,8236.9
13249,22.9
13251,10005.5
13253,15476.4
13259,537.4
13261,17811.4
13267,4391.75
13269,9.3
13271,2928.4
13273,18431.4
13275,25962.9
13277,17159.1
13279,4891.5
13283,1753.3
13287,12245.2
13289,4027.4
13297,142.0
13299,3581.3
13301,495.5
13303,2357.5
13305,3342.6000000000004
13307,5973.0
13309,1402.1
13315,13082.5
13317,572.1
13319,173.7
13321,29158.8
16001,0.6
16003,2.4
16005,2.4
16011,2.4
16013,2.4
16015,2.4
16019,0.3
16023,0.0
16025,0.0
16027,2.4
16031,0.2
16037,0.0
16039,0.0
16041,2.4
16043,2.4
16045,1.3
16047,2.4
16051,0.2
16053,2.4
16059,2.4
16065,0.1
16067,0.1
16071,2.4
16073,2.4
16075,2.4
16077,0.1
16081,2.4
16083,0.3
16087,2.4
18039,0.0
18049,0.1
18085,0.1
18089,0.1
18091,0.1
18099,0.1
18127,0.1
18131,0.1
18141,0.0
18149,0.1
18169,0.0
18181,0.0
20007,2917.0
20015,212.0
20033,48.9
20035,3824.6
20047,170.5
20057,129.1
20067,83.1
20069,371.6
20075,129.1
20077,3023.9
20079,727.2
20081,129.1
20093,112.0
20095,1537.0
20097,1210.1
20115,125.1
20129,218.0
20145,170.5
20151,6537.5
20155,557.4
20159,125.1
20173,493.1
20175,903.4
20185,558.2
20189,3246.0
20191,7766.9
22003,369.6
22009,1819.2
22015,886.8
22017,5950.5
22021,4212.2
22025,7306.2
22029,5761.1
22031,136.6
22035,6012.1
22039,193.4
22041,5183.2
22043,1434.1
22065,12362.0
22067,7203.0
22069,1416.3
22073,10020.4
22077,450.5
22079,3078.3
22081,136.6
22083,13597.8
22097,141.5
22107,22117.0
22123,714.8
22125,156.0
24005,0.7
24013,2.9
24021,4.4
24025,4.8
24027,2.9
24031,4.7
24043,59.8
26001,0.6
26005,24.0
26007,0.3
26009,153.5
26011,0.0
26015,1.7
26017,2.1
26019,42.3
26021,126.6
26023,1.2
26025,0.5
26027,2.8
26029,0.8
26031,0.0
26035,0.3
26037,1.7
26045,0.5
26047,0.6
26049,0.8
26051,1.2
26055,147.0
26057,1.5
26059,1.7
26063,0.4
26065,1.7
26067,1.3
26069,0.1
26073,0.8
26075,1.2
26077,2.1
26079,0.2
26081,18.9
26085,1.4
26087,0.9
26089,361.4
26091,0.5
26093,1.2
26099,0.9
26101,23.7
26105,354.3
26111,0.8
26115,0.8
26117,0.4
26119,0.0
26121,4.7
26123,12.2
26125,0.8
26127,1296.3
26129,0.1
26133,0.8
26139,12.5
26145,0.4
26147,2.6
26149,1.7
26151,0.8
26155,0.5
26157,0.8
26159,66.2
26161,0.8
26163,1.2
26165,0.2
28001,880.4
28003,870.7
28007,128.1
28009,41.2
28011,2595.1
28013,352.1
28015,2651.2
28017,829.5
28019,128.1
28021,1294.2
28025,451.4
28027,17288.1
28029,410.3
28031,264.8
28033,238.2
28035,398.7
28039,1017.6
28041,712.3
28043,41.2
28049,1674.3
28051,5326.1
28053,10268.8
28055,3753.9
28057,620.3
28059,398.7
28063,410.3
28071,122.3
28077,82.3
28079,157.0
28081,1740.0
28083,21018.4
28087,5685.7
28089,605.2
28093,91.1
28095,3100.4
28097,601.5
28103,9854.6
28105,451.4
28107,1122.8
28111,398.7
28115,181.9
28117,735.9
28119,4777.7
28121,222.8
28123,116.3
28125,6607.4
28129,264.8
28131,398.7
28133,9922.8
28135,8362.3
28137,209.6
28139,957.3
28141,2735.1
28143,6342.4
28145,298.3
28149,3572.7
28151,10906.7
28155,744.9
28159,451.4
28161,207.5
28163,14761.8
29023,218.7
29069,43479.3
29133,229.5
29143,38344.7
29155,16679.7
29201,2773.7
29207,32415.4
32003,0.0
32009,0.0
32017,0.0
32023,0.0
35005,688.4
35009,1556.4
35013,2488.4
35015,748.1
35023,21.4
35025,3504.9
35029,27.0
35037,675.0
35041,1218.6
35051,21.4
37001,35.4
37003,24.5
37005,125.2
37007,25.5
37009,8.0
37011,105.2
37013,6589.2
37015,8952.7
37017,511.35
37019,349.45
37021,2.1
37025,17.5
37027,1.3
37029,246.8
37031,430.3
37033,53.4
37037,51.8
37041,3832.3
37043,2.1
37045,24.4
37047,982.1500000000001
37049,2159.8
37051,1926.85
37057,20.9
37059,112.75
37061,3271.6499999999996
37063,5.6
37065,6217.5
37067,11.6
37069,286.8
37073,4138.7
37075,0.1
37077,430.6
