fips,mass
04001,0.5
04003,120.2
04005,0.2
04007,0.5
04012,119.7
04013,161.7
04017,1.0
04019,0.5
04021,0.2
04023,0.5
04025,1.0
04027,120.2
06019,976.7
06025,838.6
06031,227.9
06039,31.7
06047,67.6
06049,45.4
06065,189.6
06077,1.1
06093,47.2
08013,364.4
08015,0.1
08037,0.2
08051,0.8500000000000001
08069,780.5
08075,3097.1
08081,0.6
08087,785.1
08107,0.8500000000000001
08115,229.4
08119,2.3499999999999996
08123,7515.0
16001,13.4
16003,13.2
16005,13.1
16007,0.2
16009,13.1
16011,0.5
16013,0.7
16017,1.0
16019,0.3
16021,0.3
16025,13.2
16027,3367.2
16037,0.5
16039,13.9
16043,4.1
16045,0.5
16049,0.3
16051,13.1
16053,13.1
16055,0.5
16057,0.5
16059,13.1
16065,0.2
16067,13.1
16069,0.3
16073,0.7
16075,310.7
16081,13.2
16083,13.2
16085,13.2
16087,471.0
26003,3.55
26011,11.4
26017,53.8
26037,1.0
26041,3.55
26043,0.3
26049,0.8
26051,5.6
26057,54.3
26063,273.0
26065,1.5
26067,1.0
26069,0.8
26073,1.2
26087,6.2
26097,3.55
26111,17.9
26117,4.5
26119,1.0
26129,1.0
26145,69.0
26147,7.7
26151,116.2
26153,3.55
26155,2.7
26157,73.5
27005,178.8
27009,25.8
27011,59.9
27015,25.8
27023,6021.0
27027,1595.5
27033,38.4
27051,2248.3
27067,1544.0
27069,860.2
27073,59.9
27083,61.6
27085,142.9
27087,110.1
27089,1610.1
27093,182.7
27103,25.8
27107,1611.7
27111,59.9
27113,12.5
27115,4.9
27119,3453.3
27121,355.8
27125,59.3
27127,695.2
27129,3740.9
27135,12.5
27143,241.6
27145,256.9
27149,1033.3
27151,988.6
27155,1036.9
27167,7075.5
27173,367.1
30017,18.6
30021,159.4
30055,32.1
30079,32.1
30083,1053.8
30085,82.9
30087,174.0
31007,308.9
31013,10826.8
31029,605.5
31033,610.7
31049,308.9
31069,308.9
31101,308.9
31105,308.9
31123,3001.3
31135,553.8
31157,5058.1
31161,2745.1
31165,446.1
32001,0.3
32003,1.4
32007,0.1
32017,36.1
32019,1546.5
32023,0.0
32031,0.5
38003,7.7
38017,595.4
38035,318.6
38039,2.8
38045,161.4
38053,324.9
38067,475.6
38077,2567.9
38083,38.6
38091,4.4
38097,964.8
38099,442.5
38105,81.4
41001,26.6
41003,2.5
41005,35.1
41007,0.5
41009,0.6
41011,23.9
41013,0.9
41015,23.9
41017,2.8
41019,4.8
41021,23.3
41023,7.3
41025,0.3
41027,1.1
41029,4.8
41031,1.2
41033,1.3
41035,34.0
41037,0.6
41039,7.0
41041,0.4
41043,13.7
41045,8329.7
41047,396.3
41049,3909.2
41051,1.3
41053,0.8
41057,0.8
41059,1156.9
41061,25.9
41063,1.2
41065,23.3
41067,1.5
41071,3.0
53001,70.7
53005,923.3
53007,0.1
53009,1.8
53011,0.8
53013,0.0
53015,0.2
53021,228.4
53025,440.6
53027,0.3
53029,1.0
53031,0.3
53033,10.5
53035,1.5
53037,0.1
53039,0.4
53041,0.5
53045,0.4
53047,0.2
53049,0.3
53051,0.1
53053,2.3
53055,0.5
53057,2.5
53061,3.0
53063,0.2
53065,0.5
53067,3.8
53069,0.3
53071,97.1
53073,2.8
53075,0.1
53077,0.6
56015,420.9
56021,420.9
56031,1159.9
