fips,mass
04001,0.9
04003,391.2
04005,0.0
04007,1.3
04009,166.8
04011,50.0
04012,56.75
04013,204.89999999999998
04015,12.1
04017,8.3
04019,22.25
04021,413.6
04023,0.9
04025,3.1
04027,26.5
06007,280.3
06009,0.2
06011,266.2
06013,27.1
06019,8320.0
06021,259.5
06029,4209.2
06031,2320.2
06033,0.8
06035,3.3
06037,1.0
06039,5335.8
06045,2.2
06047,4829.8
06053,699.2
06055,16.7
06057,0.4
06059,8.7
06061,30.6
06065,14.2
06067,258.3
06069,67.1
06071,29.0
06073,41.3
06077,2061.8
06079,164.1
06083,50.9
06085,25.0
06087,10.9
06089,25.8
06093,75.9
06095,67.1
06097,16.7
06099,4593.5
06101,31.8
06103,183.8
06107,2749.8
06111,46.2
06113,227.1
06115,6.3
08009,35.6
08011,8.7
08025,0.2
08043,0.2
08055,0.2
08071,0.2
08089,7.3
08099,23.9
08101,3.7
16001,0.1
16003,0.1
16009,0.1
16017,0.5
16021,0.0
16027,0.1
16035,0.1
16045,0.1
16049,0.5
16055,0.1
16057,0.2
16061,0.4
16069,5.1
16073,0.1
16075,0.0
16079,0.1
16087,0.1
20007,7.1
20025,1.7
20033,1.8
20047,40.2
20055,138.3
20057,50.2
20063,69.6
20067,83.7
20069,88.5
20071,40.5
20075,19.9
20077,2.6
20079,52.4
20081,106.3
20083,20.5
20093,52.8
20095,7.8
20097,21.5
20101,14.6
20109,62.0
20119,73.2
20129,32.4
20135,12.5
20145,36.5
20151,35.4
20155,36.4
20171,59.4
20173,37.0
20175,68.1
20185,48.7
20187,84.5
20189,128.3
20191,44.9
20195,13.2
20199,48.8
20203,56.1
24005,0.3
24013,1.3
24021,2.0
24025,2.2
24027,1.3
24031,2.1
24043,26.7
32003,0.1
32009,0.0
32017,0.0
32023,0.1
35005,6.7
35007,0.0
35009,6.3
35011,0.3
35013,1.8
35015,2.5
35025,5.2
35033,0.0
35037,0.6
35041,7.3
35047,0.0
35057,1.3
35059,2.5
37003,0.0
37013,1.3
37015,3.0
37029,0.1
37031,0.1
37041,1.3
37049,0.4
37059,0.1
37065,2.0
37069,0.1
37073,1.4
37077,0.1
37079,0.8
37081,0.0
37083,6.7
37091,1.9
37095,1.1
37101,0.6
37103,1.8
37105,0.2
37107,1.1
37117,4.5
37127,0.9
37131,6.0
37137,0.1
37139,0.1
37143,0.8
37147,1.9
37151,0.1
37159,0.1
37177,0.1
37183,0.1
37185,0.1
37187,1.1
37191,0.6
37195,1.2
40007,2.4
40009,0.1
40011,0.2
40025,11.0
40039,0.8
40043,0.4
40045,0.5
40059,0.6
40129,0.2
40139,61.3
40149,0.9
41001,14.7
41003,0.9
41005,1.9
41009,0.4
41011,2.2
41013,9.5
41015,2.2
41017,9.5
41019,0.2
41021,11.6
41023,9.5
41027,558.1
41029,2.2
41033,0.1
41037,9.5
41039,1.5
41041,9.5
41043,1.8
41045,0.0
41047,9.5
41049,11.6
41051,0.5
41053,0.6
41055,1.8
41057,0.0
41059,15.9
41061,9.1
41063,5.9
41065,8.6
41067,1.0
41069,9.5
41071,0.6
48003,0.1
48011,1.4
48015,3.2
48017,4.4
48021,0.2
48025,4.9
48027,33.0
48029,4.5
48033,0.1
48035,2.2
48045,0.2
48051,4.2
48053,0.2
48055,8.5
48065,11.5
48069,24.4
48079,5.7
48085,11.6
48087,0.3
48089,6.7
48091,0.2
48095,0.5
48097,1.8
48099,1.0
48101,0.1
48107,0.7
48111,33.6
48113,0.2
48115,0.9
48117,18.7
48119,5.0
48121,0.8
48123,2.6
48125,0.1
