fips,mass
12023,218.1
12067,487.0
12089,18.4
12121,218.1
13001,4469.7
13003,3245.4
13005,156.9
13017,1401.1
13019,10736.9
13027,7891.8
13029,114.2
13031,355.9
13065,1358.2
13069,12709.8
13071,4889.5
13075,3624.2
13091,1028.1
13101,1358.2
13103,144.8
13107,230.4
13131,1028.1
13155,2101.6
13161,1358.2
13173,4932.4
13185,1358.2
13205,2243.0
13229,8479.5
13251,355.9
13267,1028.1
13275,1028.1
13277,2609.2
13283,1028.1
13305,3923.2
13321,2860.8
17047,147.4
17191,523.1
17193,679.3
18019,23.0
18027,76.2
18029,1.3
18047,2.0
18061,10.5
18071,33.4
18077,25.4
18079,4.4
18083,106.8
18115,6.9
18117,12.7
18137,6.7
18143,1.3
18147,204.0
18155,41.3
18175,10.5
21001,152.7
21003,437.1
21005,69.7
21007,146.2
21009,694.4
21011,29.3
21015,10.1
21017,169.7
21021,43.6
21023,116.4
21025,15.7
21027,445.9
21029,4.1
21031,12.1
21033,1275.3
21035,4733.6
21037,10.0
21039,287.6
21041,3.1
21043,8.6
21045,86.0
21047,14121.5
21049,176.1
21051,94.7
21053,4.6
21057,5.1
21059,7046.5
21061,11.2
21063,1.0
21065,0.0
21067,99.8
21069,148.5
21073,76.0
21077,68.3
21079,235.5
21081,102.4
21083,3635.6
21085,58.4
21087,542.8
21089,11.2
21091,368.1
21093,52.7
21097,354.6
21099,229.7
21101,593.7
21103,179.1
21105,235.3
21107,349.1
21109,6.1
21111,11.2
21113,46.6
21115,0.0
21117,24.0
21123,108.3
21125,22.7
21127,1.7
21135,54.4
21137,62.1
21141,3526.8
21143,360.4
21145,181.1
21149,1054.5
21151,58.0
21153,11.2
21155,139.5
21157,67.2
21161,202.5
21163,63.1
21165,11.2
21167,65.1
21169,475.2
21171,316.7
21173,69.1
21175,12.9
21177,2139.8
21179,128.5
21181,294.8
21183,446.5
21185,4.1
21187,235.5
21189,20.0
21191,79.1
21195,0.1
21197,2.6
21199,29.1
21201,3.1
21203,1.4
21205,2.3
21207,12.1
21209,134.5
21211,217.1
21213,1458.2
21215,112.8
21217,109.1
21219,5614.4
21221,3129.6
21223,80.8
21225,7.1
21227,58.1
21229,39.3
21231,8.7
21233,496.4
21237,11.2
21239,162.8
29023,77.25
29031,28.6
37001,2028.4
37003,1151.9
37005,287.3
37009,18.6
37011,244.1
37013,1872.0
37015,9800.5
37017,1729.6
37019,1729.6
37021,9.4
37027,3.1
37033,3063.3
37037,1292.3
37041,455.9
37043,9.4
37045,1563.9
37047,19171.5
37049,2954.4
37051,20010.4
37057,520.7
37059,355.9
37061,24148.2
37063,320.6
37065,12838.7
37067,665.1
37069,4510.5
37073,398.2
37075,0.6
37077,4612.9
37079,6292.7
37081,3148.4
37083,8533.5
37085,83142.4
37087,95.5
37091,7365.9
37093,1847.4
37095,620.2
37097,352.1
37099,0.7
37101,14594.2
37103,1230.2
37105,5631.9
37107,7745.7
37115,39.3
37117,10933.3
37121,26.2
37123,1563.9
37125,17352.4
37127,23583.2
37131,455.9
37133,9538.6
37135,1464.5
37137,222.2
37141,1729.6
37145,6773.0
37147,9373.1
37151,1395.3
37153,1602.3
37155,23573.2
37157,6971.2
37161,1.3
37163,98449.5
37169,2101.6
37171,4126.1
37179,359.7
37181,3253.5
37183,9286.0
37185,1862.2
37187,760.2
37189,38.6
37191,10822.5
37193,244.1
37195,14278.2
37197,3989.1
37199,65.6
39001,763.5
39015,412.8
39053,39.3
39071,322.0
39079,1.4
39087,0.6
39131,14.7
39145,3.6
45023,13.9
45025,1201.7
45027,637.4000000000001
45031,3093.8
45033,2079.6
45041,3605.1
45043,6093.8
45051,62182.2
45063,695.9
45067,4909.1
45069,3070.8
45075,1891.85
45085,695.9
45089,5514.2
47003,61.5
47009,23.5
47011,24.9
47015,24.9
47019,24.9
47021,1985.0
47025,211.2
47027,1897.4
47029,28.2
47035,2.3
47041,32.8
47043,891.6
47049,0.5
47055,45.2
47057,62.6
47059,79.8
47063,24.9
47067,9.4
47073,200.2
47079,1190.4
47081,24.9
47083,24.9
47087,21.9
47089,24.9
47091,17.2
47093,15.6
47099,21.9
47103,24.9
47105,24.9
47107,87.6
47111,8598.6
47117,20.3
47119,24.9
47123,381.7
47125,3849.6
47127,24.9
47129,2.3
47133,2.0
47137,6.9
47141,3.6
47143,16.1
47145,24.9
47147,7667.9
47149,24.9
47155,7.8
47159,2011.6
47161,588.2
47163,24.9
47165,1867.7
47169,197.1
47173,24.9
47177,6.7
47179,483.4
47183,440.2
47185,6.0
47187,24.9
47189,24.9
51007,618.05
51011,367.0
51025,4216.0
51031,55.8
51037,695.7
51049,55.8
51053,2942.4
51067,1304.9
51077,45.2
51081,1708.1
51083,2321.1
51089,252.7
51105,142.3
51111,3351.9
51117,10990.4
51121,45.2
51135,38.4
51141,232.8
51143,6573.5
51147,55.8
51149,374.6
51167,31.3
51169,20.3
51173,45.2
51183,835.3
51191,123.6
51197,22.4
