fips,mass
04001,8.5
04003,50.7
04005,0.0
04007,2.0
04009,6.7
04011,0.2
04013,1.2
04015,8.6
04017,0.0
04019,8.5
04021,0.2
04023,8.5
04025,9.9
06005,1.8
06007,0.1
06011,31.5
06013,35.1
06017,3.1
06019,2375.8
06021,15.9
06023,4.3
06025,5.4
06029,6816.3
06031,162.8
06033,132.2
06037,15.4
06039,598.2
06041,5.4
06045,322.1
06047,1321.6
06053,3019.2
06055,1057.3
06057,0.0
06059,88.5
06065,372.2
06067,178.4
06069,72.9
06073,66.4
06077,1014.9
06079,1879.8
06081,9.0
06083,5499.2
06085,38.6
06087,761.4
06095,5.9
06097,5402.7
06099,240.4
06101,2.0
06107,3304.1
06111,3609.2
06113,170.5
12001,5.7
12007,17.4
12009,1.8
12011,1.6
12015,25.4
12017,17.4
12021,55.9
12023,3.6
12027,14.4
12029,14.4
12031,14.4
12041,18.4
12049,14.4
12053,17.4
12055,77.4
12057,2961.4
12061,3.9
12067,2.3
12069,17.4
12071,14.4
12081,14.4
12083,17.4
12085,53.1
12086,1.5
12089,0.9
12095,19.0
12097,17.4
12101,17.4
12105,17.4
12107,0.2
12109,17.4
12111,14.4
12115,14.4
12117,16.1
12119,4.3
12121,0.9
12125,17.4
12127,0.4
32001,0.3
32003,1.1
32005,0.3
32009,0.3
32017,0.4
32019,0.1
32023,1.1
32031,0.3
41003,49.9
41005,696.1
41007,15.6
41009,5.2
41011,16.8
41013,2.7
41015,16.8
41017,12.8
41019,21.2
41023,2.7
41027,16.8
41029,3.7
41031,10.1
41033,13.6
41035,0.2
41037,10.1
41039,22.6
41041,11.9
41043,26.0
41045,2.7
41047,821.8
41049,0.2
41051,246.9
41053,26.0
41057,0.4
41065,1.4
41067,581.5
41069,0.0
41071,148.9
53009,8.6
53011,86.1
53015,48.7
53027,18.1
53029,4.8
53031,17.6
53033,12.2
53035,12.4
53041,10.9
53045,7.4
53049,6.9
53053,33.4
53055,8.9
53057,72.9
53059,6.9
53061,10.1
53067,19.6
53069,6.9
53073,1789.7
