fips,mass
04001,2.4
04003,4.8
04005,4.8
04007,2.3499999999999996
04009,5.8
04011,4.5
04013,26.85
04015,9.6
04017,0.44999999999999996
04019,0.2
04021,9.4
04023,2.4
04025,1.1
04027,301.70000000000005
06001,8.9
06005,0.0
06007,8.2
06011,103.0
06013,98.0
06017,1.6
06019,1820.3
06021,108.3
06023,0.9
06025,473.9
06029,3445.4
06031,701.7
06037,8.0
06039,613.6
06047,195.9
06053,569.7
06055,5.0
06059,4.6
06061,0.7
06065,977.0
06067,123.5
06069,89.1
06071,167.9
06073,367.3
06077,1784.4
06079,393.8
06083,1125.2
06085,202.0
06087,93.3
06093,64.2
06095,74.0
06097,29.0
06099,312.0
06101,64.8
06103,119.8
06107,4479.5
06111,1345.6
06113,27.4
06115,3.2
09001,3.2
09003,8.0
09005,2.6
09007,2.0
09009,7.3
09011,1.3
09013,1.2
09015,3.5
12001,32.15
12003,0.0
12007,25.35
12009,60.9
12011,0.5
12015,295.1
12017,31.65
12019,0.1
12021,295.1
12023,0.8
12027,3332.6
12029,0.0
12031,0.0
12035,0.8
12041,2.75
12043,287.4
12047,0.8
12049,2667.0
12051,4675.6
12053,10.450000000000001
12055,2907.2
12057,35.45
12061,2440.0
12067,25.0
12069,54.45
12071,320.6
12075,4.05
12081,279.5
12083,9.95
12085,1000.0
12086,268.5
12089,0.0
12093,298.3
12095,20.85
12097,37.35
12099,355.1
12101,21.35
12103,25.55
12105,502.04999999999995
12107,7.75
12109,0.25
12111,2382.9
12115,289.9
12117,10.450000000000001
12119,30.950000000000003
12121,0.0
12123,0.8
12127,7.0
16001,3.4
16027,3.5
16039,1.8
16045,4.1
16073,0.0
16075,3.4
16087,3.4
17001,3.3
17005,3.7
17007,0.3
17009,24.0
17011,3.7
17013,3.7
17015,3.7
17017,3.7
17019,1.4
17021,0.4
17023,1.3
17025,1.3
17029,1.3
17031,0.5
17033,0.8
17035,1.3
17037,0.9
17039,1.2
17041,0.1
17043,0.1
17045,1.3
17051,0.5
17057,24.0
17063,0.5
17071,24.0
17073,4.2
17075,0.0
17083,0.0
17085,3.7
17089,1.8
17091,1.5
17093,0.7
17095,24.0
17097,0.5
17099,1.5
17101,1.3
17103,0.1
17105,1.3
17107,1.9
17109,1.3
17111,1.5
17113,0.3
17115,1.9
17117,0.6
17119,4.7
17121,1.3
17123,1.1
17125,72.7
17129,1.9
17131,3.7
17135,3.7
17137,0.2
17139,9.3
17141,0.5
17143,21.6
17147,1.1
17149,3.7
17155,3.7
17159,1.3
17161,1.4
17167,3.8
17169,24.0
17171,3.7
17173,0.1
17175,13.5
17177,0.2
17179,63.4
17183,1.3
17195,3.7
17197,1.1
17201,1.1
17203,9.6
18015,0.05
18017,2.4
18039,1.85
18049,0.35
18073,3.4
18085,0.05
18089,0.5
18091,1.45
18099,1.75
18103,1.45
18111,2.9
18127,0.15
18131,1.3
18141,1.45
18149,1.45
18169,0.2
18181,1.45
19005,0.2
19013,0.3
19017,0.2
19019,0.8
19037,2.5
19043,0.3
19051,1.0
19055,0.2
19057,0.0
19061,0.2
19065,0.2
19087,0.3
19089,1.2
19101,0.2
19107,0.3
19111,0.3
19115,0.3
19123,0.3
19177,0.3
19179,0.3
19183,0.4
19191,0.6
21033,0.2
21047,3.7
21055,0.2
21059,1.3
21091,0.2
21101,0.2
21107,0.2
21141,0.3
21149,0.3
21177,0.2
21183,0.1
21213,0.2
21219,2.0
21225,0.2
21233,0.2
24001,2.2
24005,2.4
24013,10.3
24021,6.0
24023,2.2
24025,3.8
24027,3.0
24031,9.8
24043,3.9
25001,0.5
25003,0.5
25005,1.6
25007,0.5
25009,2.8
25011,6.9
25013,3.4
25015,3.6
25017,5.0
25019,0.5
25021,0.5
25023,2.1
25027,26.6
26001,2.5
26005,24.05
26007,1.2
26009,76.5
26011,2.3
26015,0.6
26017,2.8
26019,32.85
26021,93.89999999999999
26023,1.45
26025,0.8
26027,12.15
26029,7.2
26031,1.0
26035,1.7
26037,1.25
26045,1.9500000000000002
26047,1.0
26049,6.4
26051,2.5
26055,84.1
26057,2.9
26059,1.45
26063,2.4
26065,1.5999999999999999
26067,4.6000000000000005
26069,2.5
26073,2.7
26075,1.0
26077,2.9
26079,0.9
26081,216.5
26085,2.7
26087,5.3
26089,158.55
26091,1.6
26093,4.6
26099,17.3
26101,20.75
26105,347.7
26107,2.3
26111,2.7
26113,1.6
26115,4.2
26117,38.8
26119,2.3
26121,104.2
26123,57.1
26125,13.4
26127,1223.0
26129,2.3
26133,2.6
26135,0.2
26137,2.3
26139,92.05
26141,2.5
26143,0.0
26145,1.3
26147,0.5
26149,1.55
26151,1.8
26155,2.1
26157,0.5
26159,72.4
26161,6.5
26163,1.6
26165,0.6000000000000001
27001,18.45
27003,0.65
27017,0.1
27025,17.8
27031,0.2
27035,0.75
27037,299.0
27039,16.9
27045,31.0
27049,63.2
27053,2.05
27055,16.4
27059,0.35
27065,0.95
27075,0.3
