fips,mass
01001,53.9
01003,69.3
01005,304.8
01007,166.9
01009,1.5
01011,220.1
01013,286.3
01015,166.9
01017,166.9
01019,166.9
01021,101.0
01023,20.1
01025,69.3
01027,166.9
01029,166.9
01031,235.3
01033,71.5
01035,20.7
01037,4.0
01039,94.4
01041,118.5
01043,120.1
01045,199.6
01047,71.5
01049,166.9
01051,35.7
01053,76.6
01055,166.9
01057,225.7
01059,37.3
01061,241.1
01063,71.5
01065,71.5
01067,249.3
01069,260.9
01071,166.9
01073,65.6
01075,166.9
01077,71.5
01079,71.5
01081,166.9
01083,71.5
01085,71.5
01087,71.5
01089,71.5
01091,71.5
01093,46.5
01095,166.9
01097,604.9
01099,69.3
01101,72.1
01103,32.0
01105,71.5
01107,166.9
01109,235.3
01111,16.1
01113,94.4
01115,24.9
01117,14.6
01119,71.5
01121,125.9
01123,166.9
01125,166.9
01127,166.9
01129,17.0
01131,69.3
01133,71.5
05005,0.0
05007,1.9
05009,1.9
05015,0.0
05023,0.8
05029,6.1
05033,0.5
05045,0.8
05047,0.1
05049,0.0
05051,0.8
05053,0.8
05057,3.2
05059,0.2
05061,0.8
05065,0.8
05071,0.5
05073,1.6
05081,74.1
05083,0.0
05087,0.0
05091,0.8
05097,0.8
05105,0.8
05113,0.5
05115,0.5
05119,3.5
05125,0.0
05127,0.0
05131,0.5
05133,0.0
05135,0.0
05137,0.8
05141,0.8
05143,1.9
05149,0.1
08001,53.1
08003,140.8
08007,0.0
08013,47.8
08015,65.9
08021,140.8
08023,140.8
08029,0.2
08033,0.1
08037,0.1
08043,0.0
08045,65.9
08047,65.9
08051,0.0
08055,0.0
08057,65.9
08059,0.0
08063,25.9
08067,0.1
08069,102.19999999999999
08075,405.2
08077,0.5
08081,0.1
08083,0.2
08085,0.2
08087,136.7
08091,0.0
08095,75.4
08097,0.0
08101,0.1
08103,0.1
08105,140.8
08107,65.9
08109,979.1
08113,65.9
08115,37.55
08119,0.2
08121,25.9
08123,1017.0999999999999
08125,238.4
12001,477.4
12003,12.9
12005,33.2
12007,75.1
12009,29.2
12013,47.7
12019,3.6
12021,47.1
12023,44.6
12029,10.3
12031,56.3
12033,130.1
12035,47.1
12039,47.7
12041,47.1
12043,113.5
12045,47.7
12047,6.6
12053,1.2
12055,47.1
12057,47.1
12059,47.7
12061,164.6
12063,119.7
12065,469.8
12067,27.0
12069,4.4
12071,44.9
12073,47.7
12075,47.1
12077,1.3
12079,46.6
12081,59.0
12083,37.6
12086,110.3
12089,37.1
12091,47.7
12095,41.4
12097,15.2
12099,47.1
12101,21.8
12105,200.3
12107,81.5
12109,39.0
12113,45.2
12117,4.1
12119,47.1
12121,46.6
12123,0.4
12125,24.1
12127,47.1
12129,9.2
12131,47.7
12133,12.0
13001,276.0
13003,72.3
13005,36.3
13007,180.4
13009,11.3
13011,25.6
13013,233.1
13015,1.5
13017,323.4
13019,2168.4
13021,11.3
13023,3.2
13025,6.9
13027,188.9
13029,54.0
13031,1174.6
13033,468.5
13035,11.3
13037,971.2
13039,0.5
13043,1528.9
13045,455.0
13047,65.5
13049,54.0
13051,54.0
13053,64.0
13055,455.0
13057,6.3
13059,233.1
13061,83.5
13065,81.5
13067,233.1
13069,188.9
13071,1794.5
13073,468.5
13075,214.6
13077,455.0
13079,86.6
13081,1767.8
13087,83.5
13089,3.0
13091,14.1
13093,2135.6
13095,2907.0
13097,0.9
13099,46.2
13101,188.9
13103,468.5
13105,106.1
13107,1228.9
13109,194.2
13113,0.4
13115,455.0
13117,233.1
13119,1.2
13121,233.1
13123,5.7
13125,468.5
13127,0.7
13131,676.3
13133,11.3
13135,0.1
13137,0.3
13139,3.0
13141,11.9
13145,57.1
13147,106.1
13149,455.0
13151,455.0
13153,78.9
13155,766.6
13157,28.5
13159,11.3
13161,188.9
13163,3195.0
13165,384.5
13167,11.3
13169,11.3
13171,133.3
13173,188.9
13175,8.3
13177,1530.2
13179,54.0
13181,13.0
13183,8.7
13185,1854.7
13189,468.5
13191,0.4
13193,9866.6
13195,6.5
13197,455.0
13199,455.0
13201,83.5
13205,3461.4
13207,1.2
13209,49.9
13211,4.4
13213,219.8
13217,11.3
13219,9.8
13221,106.1
13223,455.0
13225,573.0
13227,3.2
13229,375.1
13231,65.9
13233,205.7
13235,90.5
13237,11.3
13239,3.8
13243,247.9
13245,64.8
13247,11.3
13249,455.0
13251,3104.5
13253,83.5
13255,455.0
13257,0.1
13259,83.5
13261,83.5
13263,455.0
13265,11.3
13267,697.5
13269,127.4
13271,597.6
13273,423.8
13275,83.5
13277,728.9
13279,125.6
13283,0.8
13285,455.0
13287,1432.2
13289,11.3
13293,455.0
13295,79.1
13297,233.1
13299,54.0
13301,227.7
13303,57.9
13305,100.2
13307,83.5
13309,1.2
13315,708.8
13317,2.0
13319,11.3
13321,372.0
16001,0.2
16003,0.0
16005,3.5
16007,1.0
16009,136.5
16011,82.9
16013,4.7
16015,0.0
16017,0.2
16019,20.6
16021,136.5
16023,1.3
16025,4.7
16027,9.0
16029,3.5
16031,4.7
16033,0.2
16035,136.5
16037,2.0
16039,16.1
16041,3.5
16043,26.4
16045,3.5
16047,6.2
16049,0.0
16051,38.1
16053,13.8
16055,136.5
16057,0.0
16059,0.0
16063,4.7
16065,40.7
16067,46.9
16069,136.5
16071,11.8
16073,1.4
16075,4.5
16077,54.0
16081,5.3
16083,15.5
16085,3.5
17007,3.4
17011,3.4
17015,3.4
17031,0.0
17037,3.4
17043,0.1
17063,2.9
17073,3.4
17077,0.0
17085,0.0
17087,0.3
17089,0.1
17093,0.1
17097,0.1
17099,0.0
17103,3.4
17111,0.8
17131,3.7
17133,1.7
17141,0.0
17145,3.4
17153,3.4
17155,3.4
17157,0.0
17161,3.4
17163,0.1
17177,3.4
17181,0.1
17189,3.4
17195,5.0
17197,0.2
17199,3.4
17201,3.4
18001,0.1
18003,2.5
18005,0.0
18011,0.0
18015,0.1
18017,0.0
18023,2.5
18031,0.1
18033,0.0
18039,0.2
18049,0.0
18053,1.6
18057,2.5
18059,0.0
18063,0.0
18067,2.5
18069,2.5
18073,2.5
18081,2.5
18085,0.0
18087,71.1
18089,0.9
18091,2.5
18095,2.5
18097,0.0
18099,2.5
18103,2.5
18107,0.0
18109,0.0
18111,1.6
18113,0.0
18119,2.5
18121,0.2
18127,2.5
18131,2.5
18133,2.5
18139,2.5
18141,0.1
18145,0.0
18149,2.5
18157,0.0
18165,0.7
18167,2.5
18169,0.0
18179,0.0
18181,2.2
18183,0.2
19001,0.0
19003,0.2
19005,0.0
19009,0.0
19013,0.1
19017,0.0
19019,0.0
19021,0.0
19023,0.5
19025,0.0
19027,0.0
19029,0.0
19033,0.0
19035,0.0
19037,0.0
19041,0.0
19043,0.0
19055,0.0
19059,0.0
19061,0.0
19063,0.0
19065,0.0
19067,0.0
