fips,mass
12001,133.9
12003,0.1
12007,131.6
12009,22.6
12011,0.1
12015,133.9
12017,131.6
12019,0.1
12021,133.9
12023,4.2
12027,1580.2
12029,0.2
12031,0.2
12035,4.2
12041,0.2
12043,131.6
12047,4.2
12049,1260.9
12051,2215.3
12053,20.1
12055,1375.0
12057,151.4
12061,820.5
12067,131.6
12069,251.2
12071,146.1
12075,4.2
12081,132.7
12083,46.3
12085,468.8
12086,127.5
12089,0.2
12093,135.4
12095,109.2
12097,161.0
12099,131.6
12101,77.3
12103,133.9
12105,2328.5
12107,5.7
12109,1.1
12111,682.4
12115,131.4
12117,20.0
12119,127.4
12121,0.0
12123,4.2
12127,29.7
