fips,mass
06019,0.0
06073,0.0
08015,5.9
08037,0.0
08047,5.9
08051,0.0
08057,5.9
08081,0.0
08097,0.0
08103,0.0
08107,5.9
08119,0.0
12001,0.1
12003,6.6
12007,8.8
12009,15.2
12015,15.2
12017,8.8
12019,0.3
12021,15.2
12023,0.0
12027,0.0
12029,0.0
12031,6.6
12035,8.8
12041,0.0
12047,3.7
12049,30.6
12053,8.8
12055,12.4
12057,8.8
12061,0.0
12069,0.0
12071,15.2
12075,9.9
12079,6.6
12081,15.2
12083,0.0
12085,15.2
12086,15.2
12089,0.0
12093,15.2
12095,8.8
12097,8.8
12099,15.2
12101,8.8
12105,0.0
12107,8.8
12109,101.2
12117,8.8
12119,0.0
12121,6.6
12123,6.6
12125,8.8
12127,0.0
16001,1.2
16003,0.0
16005,2.2
16007,0.6
16009,29.6
16011,52.1
16013,6.3
16015,0.2
16017,0.0
16019,12.9
16021,29.6
16023,0.8
16025,6.3
16027,57.9
16029,2.2
16031,6.3
16033,0.2
16035,29.6
16037,1.3
16039,103.2
16041,2.2
16043,16.6
16045,22.7
16047,8.3
16049,0.0
16051,24.0
16053,18.6
16055,29.6
16057,0.0
16059,0.0
16063,6.3
16065,25.6
16067,62.9
16069,29.6
16071,7.4
16073,8.8
16075,28.6
16077,34.0
16081,3.3
16083,20.8
16085,22.7
30001,0.1
30029,0.1
30031,4.9
30043,0.1
30047,0.9
30053,0.1
30057,0.3
30063,0.0
30081,0.0
30089,0.0
32001,0.0
32007,0.2
32019,0.0
32031,0.0
32033,3.7
41001,33.4
41003,0.1
41005,0.3
41007,0.4
41009,0.0
41011,0.4
41013,0.5
41015,0.4
41017,0.2
41019,0.0
41023,0.5
41025,0.0
41027,0.0
41029,0.1
41031,4.1
41033,0.4
41035,61.1
41037,0.0
41039,0.1
41041,0.4
41043,0.1
41045,13.4
41047,0.1
41049,13.0
41051,0.4
41053,0.0
41057,0.0
41059,114.8
41061,3.6
41063,0.5
41065,0.0
41067,0.1
41071,0.0
49003,0.0
49005,0.1
49007,0.0
49011,0.0
49013,0.0
49015,0.0
49019,0.0
49027,0.0
49029,0.0
49033,0.0
49035,0.0
49037,0.15000000000000002
49039,0.1
49041,0.1
49043,0.15000000000000002
49045,0.1
49047,0.0
49049,0.0
49051,0.15000000000000002
49057,0.0
53001,151.8
53005,33.3
53007,0.0
53009,0.0
53011,0.0
53013,4.9
53015,0.3
53017,0.0
53019,43.5
53021,209.0
53025,328.0
53027,0.0
53029,0.0
53031,0.0
53033,0.0
53035,0.0
53037,0.3
53039,0.0
53041,0.0
53043,2.7
53045,0.0
53047,0.0
53049,0.0
53051,0.2
53053,0.0
53055,0.0
53057,7.8
53059,0.3
53061,0.8
53063,43.5
53065,43.5
53067,0.0
53069,0.0
53071,129.4
53073,1.3
53075,0.0
53077,0.8
56007,0.0
